Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,7.140915,7.225020,7.140915,7.140915,1.986254,22971
1970-01-05,7.140915,7.209000,7.048800,7.056810,1.962859,25968
1970-01-06,7.056810,7.108875,7.008750,7.008750,1.949491,92884
1970-01-07,6.956685,6.956685,6.940665,6.948675,1.932780,73908
1970-01-08,6.948675,7.008750,6.916635,6.932655,1.928324,57928
1970-01-09,6.908625,6.908625,6.840540,6.856560,1.907159,62921
1970-01-12,6.848550,6.848550,6.808500,6.808500,1.893791,81898
1970-01-13,6.808500,6.856560,6.756435,6.856560,1.907159,58926
1970-01-14,6.856560,6.856560,6.808500,6.808500,1.893791,57928
1970-01-15,6.808500,6.824520,6.756435,6.824520,1.898247,79900
1970-01-16,6.824520,6.856560,6.756435,6.856560,1.907159,91885
1970-01-19,6.848550,6.848550,6.740415,6.740415,1.874854,94881
1970-01-20,6.740415,6.824520,6.740415,6.824520,1.898247,19975
1970-01-21,6.840540,7.008750,6.840540,6.964695,1.937237,32959
1970-01-22,6.964695,7.156935,6.956685,7.040790,1.958402,184769
1970-01-23,7.040790,7.040790,6.908625,6.908625,1.921641,34956
1970-01-26,6.856560,6.856560,6.732405,6.808500,1.893791,86891
1970-01-27,6.808500,6.824520,6.648300,6.648300,1.849232,37953
1970-01-28,6.648300,6.708375,6.640290,6.640290,1.847004,114856
1970-01-29,6.640290,6.640290,6.524145,6.524145,1.814699,142821
1970-01-30,6.524145,6.608250,6.516135,6.516135,1.812469,40949
1970-02-02,6.516135,6.624270,6.516135,6.548175,1.834063,43945
1970-02-03,6.548175,6.656310,6.524145,6.656310,1.864349,98876
1970-02-04,6.656310,6.656310,6.540165,6.556185,1.836308,238702
1970-02-05,6.556185,6.556185,6.524145,6.524145,1.827334,42946
1970-02-06,6.524145,6.532155,6.524145,6.524145,1.827334,42946
1970-02-09,6.556185,6.656310,6.556185,6.640290,1.859864,31960
1970-02-10,6.640290,6.656310,6.624270,6.624270,1.855376,19975
1970-02-11,6.624270,6.840540,6.624270,6.840540,1.915951,40949
1970-02-12,6.840540,6.864570,6.808500,6.808500,1.906976,124844
1970-02-13,6.808500,6.808500,6.764445,6.808500,1.906976,25968
1970-02-16,6.808500,6.824520,6.756435,6.756435,1.892393,42946
1970-02-17,6.756435,6.808500,6.748425,6.748425,1.890152,27965
1970-02-18,6.756435,6.864570,6.756435,6.816510,1.909220,71910
1970-02-19,6.864570,7.008750,6.864570,6.956685,1.948482,44944
1970-02-20,7.008750,7.056810,7.008750,7.008750,1.963064,33958
1970-02-24,7.008750,7.024770,6.956685,6.956685,1.948482,45943
1970-02-25,6.956685,7.064820,6.956685,7.064820,1.978768,54931
1970-02-26,7.064820,7.217010,7.064820,7.217010,2.021396,54931
1970-02-27,7.225020,7.333155,7.225020,7.325145,2.051682,54931
1970-03-02,7.325145,7.341165,7.257060,7.309125,2.047195,89888
1970-03-03,7.309125,7.325145,7.209000,7.233030,2.025884,48939
1970-03-04,7.257060,7.317135,7.257060,7.317135,2.049440,82896
1970-03-05,7.317135,7.409250,7.309125,7.333155,2.053925,254682
1970-03-06,7.349175,7.357185,7.349175,7.349175,2.058413,39950
1970-03-09,7.333155,7.333155,7.249050,7.265070,2.034858,103870
1970-03-10,7.265070,7.325145,7.257060,7.257060,2.032613,61923
1970-03-11,7.257060,7.309125,7.241040,7.241040,2.028127,38951
1970-03-12,7.241040,7.241040,7.156935,7.156935,2.004570,83895
1970-03-13,7.156935,7.156935,7.108875,7.108875,1.991108,91885
1970-03-16,7.108875,7.108875,7.024770,7.024770,1.967553,59925
1970-03-17,7.024770,7.024770,6.956685,6.956685,1.948482,134831
1970-03-18,6.956685,6.964695,6.956685,6.964695,1.950725,129838
1970-03-19,6.956685,6.956685,6.808500,6.808500,1.906976,1033708
1970-03-20,6.808500,6.824520,6.740415,6.740415,1.887908,152809
1970-03-23,6.740415,6.764445,6.724395,6.732405,1.885664,72909
1970-03-24,6.756435,6.864570,6.756435,6.824520,1.911464,79900
1970-03-25,6.856560,7.209000,6.856560,7.132905,1.997839,300624
1970-03-26,7.132905,7.140915,7.008750,7.040790,1.972038,90886
1970-03-30,7.040790,7.108875,7.008750,7.108875,1.991108,75905
1970-03-31,7.064820,7.064820,7.048800,7.048800,1.974282,73908
1970-04-01,7.116885,7.148925,7.116885,7.116885,1.993352,70911
1970-04-02,7.132905,7.209000,7.132905,7.209000,2.019151,190762
1970-04-03,7.209000,7.241040,7.148925,7.156935,2.004570,59925
1970-04-06,7.156935,7.156935,7.140915,7.140915,2.000083,83895
1970-04-07,7.140915,7.156935,7.116885,7.116885,1.993352,40949
