Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,9.950000,9.960000,9.780000,9.780000,9.780000,2400
2021-05-11,9.821000,9.821000,9.750000,9.750000,9.750000,2500
2021-05-12,9.740000,9.740000,9.710000,9.710000,9.710000,400
2021-05-13,9.710000,9.710000,9.690000,9.690000,9.690000,16100
2021-05-14,9.690000,9.800000,9.660000,9.760000,9.760000,21700
2021-05-17,9.715000,9.750000,9.680000,9.750000,9.750000,700
2021-05-18,9.750000,9.750000,9.721000,9.721000,9.721000,700
2021-05-19,9.690000,9.700000,9.650000,9.650000,9.650000,2900
2021-05-20,9.670000,9.690000,9.650000,9.660000,9.660000,2000
2021-05-21,9.720000,9.720000,9.640000,9.650000,9.650000,10500
2021-05-24,9.660000,9.680000,9.650000,9.650000,9.650000,22000
2021-05-25,9.650000,9.660000,9.620000,9.640000,9.640000,6100
2021-05-26,9.705000,9.705000,9.630000,9.640000,9.640000,11000
2021-05-27,9.740000,9.740000,9.650000,9.650000,9.650000,2300
2021-05-28,9.650000,9.650000,9.650000,9.650000,9.650000,0
