Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,24.889999,25.010000,24.889999,24.990000,23.677290,62300
2016-11-08,27.010000,27.010000,25.010000,25.200001,23.876261,20300
2016-11-09,25.120001,25.430000,25.120001,25.430000,24.094177,18600
2016-11-10,25.590000,25.590000,25.480000,25.549999,24.207872,19000
2016-11-11,25.540001,25.700001,25.540001,25.700001,24.349997,18400
2016-11-14,25.920000,25.940001,25.836000,25.940001,24.577389,20100
2016-11-15,25.959999,26.120001,25.959999,26.120001,24.747932,20400
2016-11-16,26.059999,26.080000,26.010000,26.010000,24.643711,18400
2016-11-17,26.131001,26.230000,26.110001,26.230000,24.852154,12400
2016-11-18,26.280001,26.280001,26.219999,26.240000,24.861628,12500
2016-11-21,26.309999,26.360001,26.285000,26.340000,24.956377,14400
2016-11-22,26.559999,26.590000,26.520000,26.590000,25.193241,13100
2016-11-23,26.590000,26.629999,26.559000,26.590000,25.193241,15300
2016-11-25,26.750000,26.750000,26.750000,26.750000,25.344837,10000
2016-11-28,26.690001,26.690001,26.590000,26.620001,25.221668,13500
2016-11-29,26.629999,26.730000,26.618999,26.700001,25.297466,12800
2016-11-30,28.030001,28.030001,26.500000,26.500000,25.107971,9800
2016-12-01,26.559999,26.577999,26.480000,26.507999,25.115549,8500
2016-12-02,26.650000,26.650000,26.530001,26.559999,25.164820,8600
2016-12-05,26.680000,26.690001,26.620001,26.680000,25.278515,8700
2016-12-06,26.690001,26.770000,26.657000,26.760000,25.354311,9400
2016-12-07,26.860001,27.260000,26.848000,27.240000,25.809099,10800
2016-12-08,27.600000,27.600000,27.240000,27.360001,25.922796,7300
2016-12-09,27.389999,27.420000,27.379999,27.420000,25.979643,6500
2016-12-12,27.389999,27.430000,27.299000,27.360001,25.922796,9800
2016-12-13,27.549999,27.549999,27.379999,27.510000,26.064917,8900
2016-12-14,27.430000,27.500000,27.240000,27.260000,25.828047,10700
2016-12-15,27.450001,27.466999,27.370001,27.370001,25.932270,5500
2016-12-16,27.430000,27.430000,27.309999,27.309999,25.875422,5700
2016-12-19,27.379999,27.430000,27.341000,27.430000,25.989120,9200
2016-12-20,27.480000,27.570000,27.480000,27.540001,26.093342,16700
2016-12-21,27.590000,27.590000,27.500000,27.504999,26.060177,7200
2016-12-22,27.400000,27.420000,27.299999,27.309999,25.875422,7000
2016-12-23,27.350000,27.350000,27.320000,27.320000,25.884897,4100
2016-12-27,27.429001,27.469999,27.400000,27.440001,25.998594,11100
2016-12-28,27.350000,27.350000,27.150000,27.150000,25.769840,4700
2016-12-29,27.200001,27.200001,27.090000,27.150000,25.769840,3800
2016-12-30,27.129999,27.129999,26.969999,26.969999,25.598993,4100
