Date,Open,High,Low,Close,Adj Close,Volume
2008-02-11,16.350000,16.350000,14.400000,14.400000,4.604104,884900
2008-02-12,14.600000,14.800000,12.960000,13.600000,4.348320,1269700
2008-02-13,13.900000,14.130000,13.000000,13.790000,4.409067,217200
2008-02-14,13.900000,14.200000,13.390000,13.400000,4.284372,532800
2008-02-15,13.300000,13.450000,12.800000,13.180000,4.214032,390500
2008-02-19,13.020000,13.400000,12.950000,13.250000,4.236414,78100
2008-02-20,12.950000,13.200000,12.900000,13.000000,4.156481,781800
2008-02-21,12.680000,12.980000,12.260000,12.450000,3.980630,257200
2008-02-22,12.440000,13.140000,12.400000,13.040000,4.169271,542700
2008-02-25,12.850000,13.940000,12.850000,13.670000,4.370701,305200
2008-02-26,13.750000,13.860000,13.130000,13.340000,4.265191,425600
2008-02-27,13.190000,13.190000,12.510000,12.700000,4.060563,187300
2008-02-28,12.810000,12.810000,12.390000,12.410000,3.967841,84500
2008-02-29,12.810000,12.810000,12.150000,12.170000,3.891106,94400
2008-03-03,12.150000,12.210000,12.050000,12.180000,3.894305,141200
2008-03-04,12.250000,12.260000,11.550000,11.750000,3.756820,95400
2008-03-05,11.650000,11.770000,11.600000,11.730000,3.750425,89100
2008-03-06,11.600000,11.780000,11.600000,11.750000,3.756820,205800
2008-03-07,11.650000,11.800000,11.550000,11.650000,3.724846,187600
2008-03-10,11.770000,11.780000,11.260000,11.550000,3.692873,245100
2008-03-11,11.840000,12.200000,11.400000,11.410000,3.648113,159500
2008-03-12,11.490000,11.670000,11.320000,11.320000,3.619336,173300
2008-03-13,11.250000,11.650000,11.100000,11.510000,3.680085,168800
2008-03-14,11.500000,11.550000,11.020000,11.440000,3.657704,152700
2008-03-17,11.000000,11.150000,10.770000,10.900000,3.485051,84500
2008-03-18,11.800000,11.800000,10.520000,10.920000,3.491444,152900
2008-03-19,11.130000,11.290000,10.660000,10.660000,3.408314,74500
2008-03-20,10.670000,11.820000,10.450000,11.510000,3.680085,281600
2008-03-24,11.100000,11.870000,10.990000,11.230000,3.590561,72000
2008-03-25,10.800000,12.200000,10.750000,11.940000,3.817569,70100
2008-03-26,11.900000,11.900000,11.270000,11.620000,3.715255,43200
2008-03-27,11.720000,11.750000,11.170000,11.380000,3.638520,44000
2008-03-28,11.380000,11.540000,11.270000,11.350000,3.628928,28000
2008-03-31,11.500000,11.710000,11.300000,11.430000,3.654506,125900
2008-04-01,11.380000,11.850000,11.330000,11.740000,3.753623,39500
2008-04-02,11.740000,11.750000,11.020000,11.080000,3.542601,111600
2008-04-03,11.130000,11.580000,10.950000,11.100000,3.548996,204500
2008-04-04,11.150000,11.560000,10.850000,11.020000,3.523419,182900
2008-04-07,10.960000,11.500000,10.810000,11.030000,3.526615,105700
2008-04-08,11.100000,11.120000,10.730000,10.790000,3.449879,63800
2008-04-09,10.710000,10.880000,10.410000,10.480000,3.350763,106100
2008-04-10,10.500000,10.720000,10.150000,10.410000,3.328384,132400
2008-04-11,10.350000,10.450000,10.240000,10.410000,3.328384,102500
2008-04-14,10.410000,10.770000,10.360000,10.670000,3.411512,57900
2008-04-15,10.670000,11.180000,10.640000,11.110000,3.552193,44400
2008-04-16,11.380000,11.430000,11.200000,11.290000,3.609744,89600
2008-04-17,11.070000,11.800000,11.070000,11.680000,3.734440,237400
2008-04-18,11.970000,12.030000,11.400000,11.970000,3.827161,109800
2008-04-21,11.820000,11.820000,10.510000,10.970000,3.507431,218500
2008-04-22,11.040000,11.040000,10.420000,10.550000,3.373145,167800
2008-04-23,10.570000,10.700000,9.500000,9.690000,3.098178,74600
2008-04-24,9.810000,10.000000,9.600000,9.740000,3.114164,54100
2008-04-25,9.800000,10.180000,9.730000,10.150000,3.245254,124100
2008-04-28,10.170000,10.970000,9.620000,10.210000,3.264436,93700
2008-04-29,10.220000,10.220000,9.870000,9.900000,3.165320,56500
2008-04-30,9.910000,9.990000,9.700000,9.750000,3.117362,33500
2008-05-01,9.850000,10.180000,9.560000,9.600000,3.069402,80000
2008-05-02,9.600000,9.600000,9.090000,9.150000,2.925524,108700
2008-05-05,9.150000,9.240000,9.100000,9.200000,2.941511,46600
2008-05-06,9.140000,9.250000,9.140000,9.160000,2.928721,84400
2008-05-07,9.160000,9.210000,8.670000,8.770000,2.804028,147200
2008-05-08,8.770000,8.970000,8.600000,8.600000,2.749673,84400
2008-05-09,8.750000,8.800000,8.510000,8.610000,2.752870,130000
2008-05-12,8.610000,9.140000,8.610000,8.950000,2.861577,103900
2008-05-13,8.900000,8.940000,8.590000,8.650000,2.765660,99900
2008-05-14,8.620000,8.700000,8.320000,8.410000,2.768952,170000
2008-05-15,8.400000,8.570000,8.120000,8.230000,2.709687,210900
2008-05-16,8.330000,8.430000,8.020000,8.390000,2.762367,60700
2008-05-19,8.310000,8.600000,8.260000,8.400000,2.765659,86800
2008-05-20,8.450000,8.450000,8.000000,8.070000,2.657008,177300
2008-05-21,8.010000,8.050000,7.440000,7.490000,2.466046,205000
2008-05-22,7.500000,7.640000,7.440000,7.510000,2.472632,192400
2008-05-23,7.460000,8.340000,7.460000,8.100000,2.666886,670200
2008-05-27,7.950000,8.090000,7.610000,8.020000,2.640546,150200
2008-05-28,8.000000,8.240000,7.940000,8.240000,2.712980,81500
2008-05-29,8.300000,8.800000,8.050000,8.700000,2.864432,107900
2008-05-30,8.720000,9.500000,8.470000,9.500000,3.127829,103800
2008-06-02,9.150000,9.450000,8.800000,9.260000,3.048810,106800
2008-06-03,9.360000,9.600000,9.150000,9.460000,3.114659,269100
2008-06-04,9.510000,9.510000,9.200000,9.380000,3.088319,160400
2008-06-05,9.280000,9.580000,9.250000,9.480000,3.121245,118700
2008-06-06,9.400000,9.500000,9.230000,9.420000,3.101489,138000
2008-06-09,9.420000,9.440000,9.170000,9.200000,3.029056,96800
2008-06-10,9.100000,9.100000,8.580000,8.630000,2.841386,113800
2008-06-11,8.480000,8.480000,7.960000,8.100000,2.666886,187600
2008-06-12,8.050000,8.170000,7.910000,8.030000,2.643838,157600
2008-06-13,8.090000,8.190000,7.780000,7.970000,2.624084,220300
2008-06-16,7.950000,7.950000,7.450000,7.670000,2.525310,128400
2008-06-17,7.670000,7.710000,7.580000,7.680000,2.528602,245700
2008-06-18,7.660000,7.740000,7.290000,7.480000,2.462754,320200
2008-06-19,7.410000,7.530000,6.960000,7.010000,2.308009,434300
2008-06-20,6.990000,7.120000,6.450000,6.700000,2.205942,359700
2008-06-23,6.690000,6.850000,6.450000,6.450000,2.123631,238400
2008-06-24,6.450000,6.510000,6.050000,6.060000,1.995226,188100
2008-06-25,6.030000,6.760000,6.030000,6.610000,2.176311,378300
2008-06-26,6.490000,6.590000,6.020000,6.020000,1.982056,154500
2008-06-27,6.030000,6.030000,5.510000,5.700000,1.876697,805000
2008-06-30,5.940000,6.010000,5.540000,5.700000,1.876697,207400
2008-07-01,5.650000,5.880000,5.260000,5.320000,1.751584,196400
2008-07-02,5.450000,5.600000,4.930000,5.280000,1.738414,342200
2008-07-03,5.180000,5.480000,4.580000,5.450000,1.794386,133800
2008-07-07,5.420000,5.490000,4.850000,5.250000,1.728537,189500
2008-07-08,5.260000,6.530000,5.230000,6.350000,2.090707,274900
2008-07-09,6.290000,6.460000,5.960000,5.970000,1.965594,89200
2008-07-10,5.870000,6.260000,5.770000,5.880000,1.935961,69600
2008-07-11,5.760000,6.430000,5.700000,6.090000,2.005103,202700
2008-07-14,6.150000,6.250000,5.780000,5.860000,1.929376,60500
2008-07-15,5.750000,6.200000,5.690000,5.810000,1.912914,110100
2008-07-16,5.710000,6.090000,5.080000,6.090000,2.005103,203700
2008-07-17,6.060000,6.250000,5.700000,5.900000,1.942546,64600
2008-07-18,5.760000,6.140000,5.750000,5.830000,1.919499,51100
2008-07-21,5.800000,5.920000,5.710000,5.870000,1.932669,38700
2008-07-22,5.780000,6.430000,5.780000,6.380000,2.100585,167300
2008-07-23,6.450000,6.710000,6.240000,6.600000,2.173018,101200
2008-07-24,6.610000,6.740000,6.450000,6.530000,2.149971,128600
2008-07-25,6.600000,6.720000,6.250000,6.400000,2.107169,106700
2008-07-28,6.000000,6.140000,5.900000,5.980000,1.968886,52100
2008-07-29,5.680000,5.680000,4.880000,5.210000,1.715367,269600
2008-07-30,5.220000,5.390000,5.040000,5.300000,1.744999,152100
2008-07-31,5.170000,5.400000,5.150000,5.400000,1.777924,153400
2008-08-01,5.450000,5.450000,4.960000,5.140000,1.692320,115900
2008-08-04,5.120000,5.430000,4.950000,5.070000,1.669273,75400
2008-08-05,5.070000,5.440000,4.940000,5.430000,1.787801,167700
2008-08-06,5.480000,5.560000,4.980000,5.440000,1.791093,139300
2008-08-07,5.300000,5.300000,4.850000,5.000000,1.646226,103100
2008-08-08,5.030000,5.200000,4.950000,5.090000,1.675858,200200
2008-08-11,5.070000,5.540000,5.000000,5.080000,1.672565,173700
2008-08-12,5.220000,5.270000,5.080000,5.270000,1.735122,135900
2008-08-13,5.150000,5.210000,4.930000,5.100000,1.762773,149700
2008-08-14,5.120000,5.330000,5.010000,5.230000,1.807706,77200
2008-08-15,5.350000,5.350000,4.940000,5.200000,1.797337,97700
2008-08-18,5.200000,5.300000,5.070000,5.200000,1.797337,111600
2008-08-19,5.070000,5.290000,5.020000,5.070000,1.752404,74100
2008-08-20,5.050000,5.260000,4.960000,5.040000,1.742034,133600
2008-08-21,5.050000,5.130000,4.890000,4.970000,1.717839,70500
2008-08-22,4.950000,5.040000,4.770000,4.870000,1.683275,304100
2008-08-25,4.880000,4.880000,4.670000,4.670000,1.614147,274100
2008-08-26,4.740000,4.820000,4.680000,4.740000,1.638342,104500
2008-08-27,4.740000,4.830000,4.680000,4.710000,1.627973,189700
2008-08-28,4.710000,5.080000,4.680000,5.020000,1.735122,129600
2008-08-29,4.890000,4.950000,4.790000,4.850000,1.676362,168600
2008-09-02,4.990000,5.100000,4.910000,5.010000,1.731666,118500
2008-09-03,4.970000,5.280000,4.950000,5.240000,1.811163,149900
2008-09-04,5.200000,5.290000,5.140000,5.190000,1.793881,92200
