Date,Open,High,Low,Close,Adj Close,Volume
2009-11-17,24.920000,24.990000,24.900000,24.959999,15.102354,274100
2009-11-18,24.930000,24.930000,24.820000,24.850000,15.035793,71900
2009-11-19,24.990000,24.990000,24.930000,24.959999,15.102354,57700
2009-11-20,24.980000,25.010000,24.870001,25.010000,15.132609,97300
2009-11-23,24.920000,24.990000,24.900000,24.900000,15.066049,20900
2009-11-24,24.950001,24.950001,24.889999,24.920000,15.078149,88100
2009-11-25,25.000000,25.080000,24.980000,25.080000,15.174953,39100
2009-11-27,25.100000,25.110001,25.090000,25.100000,15.187061,16000
2009-11-30,25.000000,25.150000,24.950001,25.129999,15.205214,27000
2009-12-01,25.049999,25.049999,24.860001,24.950001,15.096303,193600
2009-12-02,24.950001,25.090000,24.950001,25.080000,15.174953,40600
2009-12-03,24.980000,24.980000,24.830000,24.850000,15.035793,125400
2009-12-04,24.820000,24.820000,24.500000,24.680000,14.932943,75400
2009-12-07,24.700001,24.740000,24.629999,24.700001,14.945038,79500
2009-12-08,24.830000,24.850000,24.780001,24.799999,15.005535,28400
2009-12-09,24.799999,24.850000,24.700001,24.709999,14.951098,131300
2009-12-10,24.629999,24.719999,24.549999,24.680000,14.932943,128800
2009-12-11,24.540001,24.600000,24.450001,24.570000,14.866382,167300
2009-12-14,24.600000,24.600000,24.500000,24.580000,14.872437,151400
2009-12-15,24.450001,24.520000,24.410000,24.459999,14.799825,97000
2009-12-16,24.510000,24.559999,24.480000,24.500000,14.824025,57100
2009-12-17,24.639999,24.700001,24.510000,24.680000,14.932943,71300
2009-12-18,24.719999,24.790001,24.639999,24.639999,14.908735,42500
2009-12-21,24.559999,24.590000,24.330000,24.410000,14.769572,65000
2009-12-22,24.370001,24.440001,24.290001,24.389999,14.757466,203800
2009-12-23,24.420000,24.459999,24.309999,24.360001,14.739314,98300
2009-12-24,24.309999,24.360001,24.180000,24.280001,14.690924,102000
2009-12-28,24.280001,24.280001,24.090000,24.219999,14.654613,107400
2009-12-29,24.219999,24.250000,24.150000,24.250000,14.672771,136600
2009-12-30,24.280001,24.360001,24.250000,24.340000,14.727221,65000
2009-12-31,24.280001,24.360001,24.150000,24.290001,14.696964,154000
2010-01-04,24.299999,24.330000,24.200001,24.330000,14.721157,57500
2010-01-05,24.250000,24.370001,24.209999,24.330000,14.798406,44800
2010-01-06,24.299999,24.309999,24.150000,24.190001,14.713260,256900
2010-01-07,24.219999,24.250000,24.160000,24.209999,14.725423,215100
2010-01-08,24.270000,24.270000,24.160000,24.250000,14.749756,173200
2010-01-11,24.430000,24.469999,24.340000,24.420000,14.853155,169300
2010-01-12,24.590000,24.600000,24.459999,24.590000,14.956553,161000
2010-01-13,24.480000,24.540001,24.350000,24.370001,14.822743,271200
2010-01-14,24.510000,24.600000,24.490000,24.570000,14.944387,206200
