Date,Open,High,Low,Close,Adj Close,Volume
2010-11-18,19.450001,19.790001,19.000000,19.500000,8.240168,705800
2010-11-19,19.160000,19.600000,19.150000,19.430000,8.210586,320200
2010-11-22,19.799999,19.850000,19.490000,19.730000,8.337359,200100
2010-11-23,19.420000,19.750000,19.420000,19.660000,8.307777,152000
2010-11-24,19.860001,20.450001,19.790001,20.000000,8.451452,192700
2010-11-26,19.750000,20.730000,19.510000,19.820000,8.375393,70200
2010-11-29,19.980000,19.980000,19.340000,19.459999,8.223264,326100
2010-11-30,19.299999,19.459999,18.660000,19.400000,8.197909,107400
2010-12-01,19.709999,19.850000,19.250000,19.400000,8.197909,255900
2010-12-02,19.680000,19.750000,18.770000,19.139999,8.088042,481500
2010-12-03,19.090000,19.250000,18.900000,19.030001,8.041559,204600
2010-12-06,19.299999,19.650000,18.850000,18.990000,8.024655,224800
2010-12-07,19.000000,19.170000,18.650000,18.860001,7.969720,350700
2010-12-08,18.730000,18.950001,18.600000,18.860001,7.969720,116700
2010-12-09,18.950001,19.000000,18.600000,18.690001,7.897883,200900
2010-12-10,18.540001,18.709999,18.500000,18.600000,7.859850,379100
2010-12-13,18.600000,18.690001,18.350000,18.570000,7.847178,98900
2010-12-14,18.620001,18.700001,18.360001,18.690001,7.897883,265400
2010-12-15,18.709999,18.750000,18.420000,18.700001,7.902108,154800
2010-12-16,18.700001,19.020000,18.520000,18.950001,8.007751,284500
2010-12-17,18.900000,19.190001,18.700001,19.030001,8.041559,281400
2010-12-20,19.040001,19.650000,18.889999,19.590000,8.278200,176100
2010-12-21,19.600000,19.600000,19.080000,19.309999,8.159878,215400
2010-12-22,19.290001,19.660000,19.290001,19.400000,8.197909,492600
2010-12-23,19.440001,19.760000,19.010000,19.139999,8.088042,84100
2010-12-27,19.459999,20.139999,19.459999,19.719999,8.333133,318700
2010-12-28,19.790001,19.920000,19.209999,19.410000,8.202131,104200
2010-12-29,19.459999,19.510000,19.150000,19.410000,8.202131,98200
2010-12-30,19.389999,19.760000,19.299999,19.760000,8.350037,191600
2010-12-31,19.719999,19.750000,19.360001,19.430000,8.210586,31700
2011-01-03,19.660000,19.660000,19.180000,19.190001,8.109169,289600
2011-01-04,19.209999,19.309999,18.650000,18.879999,7.978173,258000
2011-01-05,18.879999,19.000000,18.650000,18.780001,7.935915,160700
2011-01-06,18.740000,18.740000,18.049999,18.459999,7.800692,342000
2011-01-07,18.430000,18.480000,18.150000,18.230000,7.703500,457800
2011-01-10,18.240000,18.340000,18.120001,18.180000,7.682372,121000
2011-01-11,18.230000,18.750000,18.180000,18.650000,7.880981,51200
2011-01-12,18.760000,18.760000,18.180000,18.480000,7.809143,135600
2011-01-13,18.500000,18.540001,18.350000,18.469999,7.804915,26900
2011-01-14,18.500000,18.580000,18.299999,18.580000,7.851399,26300
2011-01-18,18.580000,18.650000,18.180000,18.580000,7.851399,81200
2011-01-19,18.510000,18.840000,18.230000,18.320000,7.741529,71600
2011-01-20,18.309999,18.360001,18.020000,18.090000,7.644338,136500
2011-01-21,18.500000,18.799999,18.070000,18.110001,7.652793,174100
2011-01-24,18.150000,18.459999,18.150000,18.389999,7.771111,30500
