Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,10.220000,10.230000,10.150000,10.150000,10.150000,41500
2021-02-10,10.150000,10.310000,10.060000,10.200000,10.200000,162700
2021-02-11,10.210000,10.210000,10.100000,10.135000,10.135000,23200
2021-02-12,10.360000,10.450000,10.200000,10.210000,10.210000,171200
2021-02-16,10.340000,10.340000,10.210000,10.220000,10.220000,7300
2021-02-17,10.220000,10.220000,10.120000,10.155000,10.155000,6800
2021-02-18,10.200000,10.750000,10.160000,10.380000,10.380000,40800
2021-02-19,10.310000,10.320000,10.140000,10.160000,10.160000,82200
2021-02-22,10.200000,10.260000,10.140000,10.150000,10.150000,382700
2021-02-23,10.170000,10.200000,10.060000,10.130000,10.130000,121100
2021-02-24,10.130000,10.350000,10.100000,10.270000,10.270000,73300
2021-02-25,10.330000,10.330000,9.930000,10.120000,10.120000,208100
2021-02-26,10.250000,10.250000,10.040000,10.080000,10.080000,57100
2021-03-01,10.140000,10.140000,10.060000,10.085000,10.085000,6200
2021-03-02,10.050000,10.100000,9.920000,10.000000,10.000000,83300
2021-03-03,10.000000,10.000000,9.860000,9.860000,9.860000,36100
2021-03-04,9.870000,9.920000,9.860000,9.900000,9.900000,40700
2021-03-05,9.910000,9.920000,9.890000,9.920000,9.920000,42500
2021-03-08,9.900000,9.940000,9.800000,9.900000,9.900000,68300
2021-03-09,10.000000,10.030000,9.890000,9.900000,9.900000,37200
2021-03-10,9.900000,9.930000,9.700000,9.930000,9.930000,62300
2021-03-11,9.860000,9.950000,9.860000,9.890000,9.890000,51500
2021-03-12,9.900000,9.900000,9.880000,9.890000,9.890000,153500
2021-03-15,9.932000,9.932000,9.890000,9.890000,9.890000,3600
2021-03-16,9.900000,9.910000,9.900000,9.900000,9.900000,8200
2021-03-17,9.980000,9.980000,9.870000,9.920000,9.920000,12000
2021-03-18,9.870000,9.900000,9.870000,9.900000,9.900000,70100
2021-03-19,9.885000,9.915000,9.870000,9.900000,9.900000,42300
2021-03-22,9.870000,9.870000,9.830000,9.830000,9.830000,381700
2021-03-23,9.800000,9.834000,9.800000,9.810000,9.810000,27400
2021-03-24,9.840000,9.840000,9.750000,9.840000,9.840000,38700
2021-03-25,9.780000,9.780000,9.700000,9.750000,9.750000,90000
2021-03-26,9.808000,9.890000,9.800000,9.800000,9.800000,3400
2021-03-29,9.880000,10.000000,9.800000,9.980000,9.980000,82400
2021-03-30,9.910000,9.930000,9.900000,9.900000,9.900000,25800
2021-03-31,9.900000,9.900000,9.811000,9.820000,9.820000,8300
2021-04-01,9.790000,9.890000,9.790000,9.890000,9.890000,14600
2021-04-05,9.876000,9.930000,9.800000,9.930000,9.930000,12400
2021-04-06,9.810000,9.824000,9.810000,9.820000,9.820000,1300
2021-04-07,9.858000,9.940000,9.858000,9.940000,9.940000,1600
2021-04-08,9.950000,9.960000,9.930000,9.940000,9.940000,5000
2021-04-09,9.950000,9.970000,9.940000,9.960000,9.960000,12000
2021-04-12,9.850000,9.970000,9.850000,9.970000,9.970000,3400
2021-04-13,9.960000,9.970000,9.901000,9.970000,9.970000,6100
2021-04-14,9.920000,9.990000,9.920000,9.990000,9.990000,8100
2021-04-15,10.000000,10.000000,9.950000,9.950000,9.950000,13900
2021-04-16,9.980000,10.000000,9.970000,9.990000,9.990000,13500
2021-04-19,9.920000,9.950000,9.860000,9.950000,9.950000,2100
2021-04-20,9.950000,9.950000,9.950000,9.950000,9.950000,0
2021-04-21,9.921000,9.950000,9.890000,9.950000,9.950000,1700
2021-04-22,9.880000,9.930000,9.880000,9.900000,9.900000,38300
2021-04-23,9.900000,9.950000,9.890000,9.950000,9.950000,908800
2021-04-26,9.950000,9.950000,9.890000,9.940000,9.940000,3500
2021-04-27,9.940000,9.940000,9.900000,9.900000,9.900000,600
2021-04-28,9.907000,9.907000,9.907000,9.907000,9.907000,700
2021-04-29,9.880000,9.950000,9.880000,9.950000,9.950000,10300
2021-04-30,9.915000,9.950000,9.915000,9.950000,9.950000,1200
2021-05-03,9.950000,9.950000,9.950000,9.950000,9.950000,0
2021-05-04,9.910000,9.980000,9.910000,9.950000,9.950000,257500
2021-05-05,9.950000,9.950000,9.950000,9.950000,9.950000,1800
2021-05-06,9.900000,9.950000,9.900000,9.910000,9.910000,2100
2021-05-07,9.910000,9.910000,9.910000,9.910000,9.910000,200
2021-05-10,9.900000,9.910000,9.900000,9.910000,9.910000,700
2021-05-11,9.890000,9.910000,9.840000,9.900000,9.900000,10700
2021-05-12,9.870000,9.910000,9.870000,9.880000,9.880000,2500
2021-05-13,9.870000,9.910000,9.870000,9.890000,9.890000,2800
2021-05-14,9.950000,9.950000,9.840000,9.840000,9.840000,2600
2021-05-17,9.870000,9.900000,9.820000,9.900000,9.900000,11800
2021-05-18,9.840000,9.910000,9.840000,9.840000,9.840000,15500
2021-05-19,9.840000,9.840000,9.750000,9.830000,9.830000,14600
2021-05-20,9.820000,9.840000,9.810000,9.820000,9.820000,5600
2021-05-21,9.821000,9.840000,9.810000,9.840000,9.840000,2400
2021-05-24,9.820000,9.850000,9.810000,9.830000,9.830000,5900
2021-05-25,9.845000,9.865000,9.840000,9.860000,9.860000,3000
2021-05-26,9.890000,9.940000,9.830000,9.930000,9.930000,18500
2021-05-27,9.930000,9.930000,9.830000,9.920000,9.920000,2700
2021-05-28,9.920000,9.920000,9.920000,9.920000,9.920000,0
