Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,7.600000,7.750000,7.600000,7.750000,3.265750,11400
2011-01-03,7.750000,7.800000,7.720000,7.800000,3.286820,5700
2011-01-04,7.750000,7.770000,7.550000,7.750000,3.265750,5900
2011-01-05,7.750000,7.750000,7.600000,7.600000,3.202543,39400
2011-01-06,7.600000,7.780000,7.600000,7.750000,3.265750,228700
2011-01-07,7.650000,7.750000,7.650000,7.750000,3.265750,27200
2011-01-10,7.650000,7.750000,7.650000,7.720000,3.253109,6800
2011-01-11,7.720000,7.750000,7.520000,7.520000,3.168831,15800
2011-01-12,7.600000,7.750000,7.550000,7.630000,3.215183,14900
2011-01-13,7.750000,7.750000,7.650000,7.650000,3.223611,5100
2011-01-14,7.680000,7.750000,7.680000,7.700000,3.244681,117400
2011-01-18,7.690000,7.750000,7.650000,7.750000,3.265750,65900
2011-01-19,7.650000,7.750000,7.530000,7.550000,3.181473,11800
2011-01-20,7.550000,7.600000,7.400000,7.500000,3.160404,29700
2011-01-21,7.500000,7.750000,7.250000,7.750000,3.265750,22300
2011-01-24,7.500000,7.750000,7.500000,7.750000,3.265750,6700
2011-01-25,7.750000,7.750000,7.600000,7.750000,3.265750,19500
2011-01-26,7.750000,7.850000,7.600000,7.850000,3.307889,25800
2011-01-27,7.550000,7.750000,7.550000,7.750000,3.265750,25100
2011-01-28,7.650000,7.750000,7.650000,7.650000,3.223611,1600
2011-01-31,7.700000,7.700000,7.500000,7.500000,3.160404,4300
2011-02-01,7.700000,7.750000,7.550000,7.750000,3.265750,76900
2011-02-02,7.750000,7.750000,7.550000,7.750000,3.265750,180800
2011-02-03,7.650000,7.750000,7.600000,7.700000,3.244681,33000
2011-02-04,7.700000,7.750000,7.700000,7.750000,3.265750,6900
2011-02-07,7.650000,7.750000,7.650000,7.750000,3.265750,6300
2011-02-08,7.750000,7.750000,7.670000,7.750000,3.265750,20000
2011-02-09,7.750000,7.750000,7.700000,7.750000,3.265750,17900
2011-02-10,7.750000,7.750000,7.730000,7.750000,3.265750,21500
2011-02-11,7.750000,8.000000,7.670000,8.000000,3.371097,15200
2011-02-14,7.860000,8.000000,7.860000,7.900000,3.328959,7000
2011-02-15,8.000000,8.050000,7.900000,8.000000,3.371097,29000
