Date,Open,High,Low,Close,Adj Close,Volume
1994-02-14,2.500000,3.000000,2.500000,3.000000,2.018557,1200
1994-02-15,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-02-16,2.500000,2.500000,2.500000,2.500000,1.682132,1000
1994-02-17,2.500000,2.500000,2.500000,2.500000,1.682132,0
1994-02-18,3.000000,3.000000,2.750000,3.000000,2.018557,36500
1994-02-22,2.875000,3.000000,2.875000,2.875000,1.934452,31000
1994-02-23,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-02-24,2.750000,3.125000,2.750000,2.875000,1.934452,45200
1994-02-25,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-02-28,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-03-01,3.000000,3.000000,3.000000,3.000000,2.018557,500
1994-03-02,2.750000,2.750000,2.750000,2.750000,1.850345,1000
1994-03-03,3.125000,3.125000,3.125000,3.125000,2.102665,100
1994-03-04,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-03-07,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-03-08,2.750000,2.875000,2.750000,2.875000,1.934452,7000
1994-03-09,2.750000,2.875000,2.750000,2.875000,1.934452,4200
1994-03-10,3.000000,3.000000,2.750000,2.750000,1.850345,3200
1994-03-11,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-14,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-15,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-16,2.750000,2.750000,2.750000,2.750000,1.850345,600
1994-03-17,2.750000,3.000000,2.750000,3.000000,2.018557,1500
1994-03-18,2.937500,2.937500,2.750000,2.750000,1.850345,3400
1994-03-21,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-22,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-23,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-03-24,3.125000,3.125000,3.125000,3.125000,2.102665,3000
1994-03-25,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-03-28,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-03-29,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-03-30,3.000000,3.000000,2.875000,2.875000,1.934452,20000
1994-03-31,3.125000,3.125000,2.750000,2.750000,1.850345,6000
1994-04-04,2.750000,3.000000,2.750000,2.750000,1.850345,9500
1994-04-05,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-04-06,2.984375,2.984375,2.765625,2.765625,1.860858,16700
1994-04-07,2.750000,3.125000,2.750000,3.125000,2.102665,4000
1994-04-08,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-04-11,3.125000,3.125000,3.125000,3.125000,2.102665,0
1994-04-12,2.750000,2.750000,2.750000,2.750000,1.850345,500
1994-04-13,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-04-14,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-04-15,3.000000,3.000000,3.000000,3.000000,2.018557,5000
1994-04-18,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-04-19,2.875000,2.875000,2.875000,2.875000,1.934452,4100
1994-04-20,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-04-21,2.875000,2.875000,2.875000,2.875000,1.934452,1000
1994-04-22,3.000000,3.000000,3.000000,3.000000,2.018557,10000
1994-04-25,2.796875,2.796875,2.796875,2.796875,1.881885,7500
1994-04-26,3.000000,3.000000,3.000000,3.000000,2.018557,2200
1994-04-28,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-04-29,2.875000,3.125000,2.875000,3.125000,2.102665,9500
1994-05-02,2.875000,2.875000,2.875000,2.875000,1.934452,3000
1994-05-03,3.000000,3.000000,2.875000,3.000000,2.018557,9000
1994-05-04,2.750000,2.750000,2.750000,2.750000,1.850345,3200
1994-05-05,3.000000,3.000000,3.000000,3.000000,2.018557,6000
1994-05-06,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-05-09,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-05-10,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-05-11,3.000000,3.000000,3.000000,3.000000,2.018557,200
1994-05-12,2.750000,2.750000,2.750000,2.750000,1.850345,10000
1994-05-13,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-16,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-17,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-18,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-19,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-20,2.750000,2.750000,2.750000,2.750000,1.850345,0
1994-05-23,3.000000,3.000000,2.812500,2.812500,1.892398,7500
1994-05-24,2.812500,2.812500,2.812500,2.812500,1.892398,0
1994-05-25,2.812500,2.812500,2.812500,2.812500,1.892398,0
1994-05-26,2.812500,2.812500,2.812500,2.812500,1.892398,0
1994-05-27,2.812500,2.812500,2.812500,2.812500,1.892398,0
1994-05-31,2.812500,2.812500,2.812500,2.812500,1.892398,0
1994-06-01,2.750000,2.750000,2.750000,2.750000,1.850345,1000
1994-06-02,2.875000,3.000000,2.875000,3.000000,2.018557,1400
1994-06-03,2.625000,2.625000,2.625000,2.625000,1.766238,1100
1994-06-06,3.000000,3.000000,3.000000,3.000000,2.018557,400
1994-06-07,3.000000,3.000000,2.875000,2.875000,1.934452,2900
1994-06-08,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-06-09,2.875000,2.875000,2.875000,2.875000,1.934452,0
1994-06-10,3.000000,3.000000,3.000000,3.000000,2.018557,1000
1994-06-13,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-06-14,2.875000,2.875000,2.625000,2.625000,1.766238,20000
1994-06-15,2.625000,2.625000,2.625000,2.625000,1.766238,0
1994-06-16,2.625000,2.625000,2.625000,2.625000,1.766238,0
1994-06-17,3.000000,3.000000,2.875000,3.000000,2.018557,6100
1994-06-20,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-06-21,3.000000,3.000000,2.750000,2.750000,1.850345,12000
1994-06-22,2.625000,2.625000,2.625000,2.625000,1.766238,1200
1994-06-23,3.000000,3.000000,3.000000,3.000000,2.018557,500
1994-06-24,3.000000,3.000000,2.625000,2.625000,1.766238,3400
1994-06-27,2.625000,2.625000,2.625000,2.625000,1.766238,0
1994-06-28,2.625000,2.625000,2.625000,2.625000,1.766238,0
1994-06-29,2.953125,2.953125,2.953125,2.953125,1.987019,2000
1994-06-30,3.000000,3.000000,3.000000,3.000000,2.018557,500
1994-07-01,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-07-05,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-07-06,3.000000,3.000000,3.000000,3.000000,2.018557,0
1994-07-07,2.625000,2.625000,2.625000,2.625000,1.766238,10000
1994-07-08,2.843750,2.859375,2.843750,2.859375,1.923939,10000
1994-07-11,2.859375,2.859375,2.859375,2.859375,1.923939,0
1994-07-12,3.000000,3.000000,2.750000,2.750000,1.850345,13600
