Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,50.040001,50.669998,50.040001,50.668999,49.982578,4900
2020-08-26,50.820000,52.590000,50.744999,51.088001,50.395905,17600
2020-08-27,51.590000,51.590000,50.580002,50.830002,50.141399,10400
2020-08-28,51.200001,51.965000,51.200001,51.339001,50.643505,11300
2020-08-31,51.639999,51.849998,51.380001,51.740002,51.039070,3800
2020-09-01,52.689999,54.060001,52.689999,54.060001,53.327641,10500
2020-09-02,54.590000,54.699001,53.419998,54.299000,53.563404,16400
2020-09-03,53.959999,55.000000,51.099998,51.534000,50.835861,13100
2020-09-04,50.549999,50.549999,48.619999,50.355000,49.672832,6400
2020-09-08,48.849998,50.080002,48.830002,49.240002,48.572937,7100
2020-09-09,50.080002,50.806000,50.080002,50.806000,50.117725,1900
2020-09-10,51.680000,51.680000,49.936001,49.936001,49.259510,1700
2020-09-11,50.349998,50.349998,49.189999,49.557999,48.886631,1800
2020-09-14,50.612000,50.904999,50.612000,50.904999,50.215382,1400
2020-09-15,51.790001,51.790001,51.419998,51.419998,50.723404,500
2020-09-16,51.630001,51.700001,51.394001,51.394001,50.697758,3500
2020-09-17,50.689999,51.119999,50.689999,51.099998,50.407738,1000
2020-09-18,50.849998,51.084999,50.849998,51.084999,50.392944,600
2020-09-21,50.435001,51.090000,49.813999,51.090000,50.397877,15700
2020-09-22,50.939999,51.695000,50.900002,51.695000,50.994678,2400
2020-09-23,50.840000,50.900002,50.723000,50.723000,50.035847,900
2020-09-24,50.290001,50.349998,50.019001,50.276001,49.594906,1400
2020-09-25,50.459999,51.340000,50.090000,51.279999,50.585300,3700
2020-09-28,51.930000,51.930000,51.619999,51.645000,50.945354,4300
2020-09-29,51.740002,51.812000,51.529999,51.737000,51.036110,2100
2020-09-30,52.240002,52.240002,51.889999,51.987000,51.282726,400
2020-10-01,52.419998,53.001999,52.419998,53.001999,52.283970,900
2020-10-02,52.750000,52.750000,52.580002,52.580002,51.867691,900
2020-10-05,52.939999,53.479000,52.939999,53.479000,52.754509,500
2020-10-06,53.799999,53.900002,53.119999,53.119999,52.400375,900
2020-10-07,53.910000,54.037998,53.903999,53.966000,53.234913,1400
2020-10-08,54.400002,54.400002,54.011002,54.011002,53.279308,700
2020-10-09,54.549999,54.786999,54.549999,54.786999,54.044792,300
2020-10-12,55.689999,55.689999,55.561001,55.561001,54.808308,600
2020-10-13,55.549999,55.689999,55.310001,55.549999,54.797455,2400
2020-10-14,54.799999,55.051998,54.799999,55.051998,54.306202,800
2020-10-15,54.500000,54.995998,54.439999,54.995998,54.250961,2800
2020-10-16,54.691002,54.691002,54.691002,54.691002,53.950096,200
2020-10-19,55.310001,55.310001,54.000999,54.014999,53.283253,900
2020-10-20,54.490002,54.500000,54.244999,54.244999,53.510132,1500
2020-10-21,53.880001,53.971001,53.820000,53.821999,53.092861,4100
2020-10-22,54.080002,54.080002,53.700001,53.895000,53.164875,4200
2020-10-23,53.889999,54.327000,53.880001,54.327000,53.591022,17700
2020-10-26,54.540001,54.540001,53.299000,53.299000,52.576950,600
2020-10-27,53.590000,53.590000,53.540001,53.584999,52.859074,400
2020-10-28,52.709999,52.709999,52.299999,52.348999,51.639820,4300
2020-10-29,52.770000,52.810001,52.500000,52.764000,52.049198,4700
2020-10-30,51.604000,51.632000,50.660000,50.875000,50.185787,4400
2020-11-02,50.959999,51.560001,50.700001,51.110001,50.417606,2400
2020-11-03,51.240002,52.049999,51.240002,51.966999,51.262997,2700
2020-11-04,53.320000,54.238998,53.320000,54.238998,53.504215,600
2020-11-05,54.660000,54.875999,54.660000,54.875999,54.132587,1700
2020-11-06,54.930000,55.165001,54.930000,55.131001,54.384132,2000
2020-11-09,54.810001,54.845001,53.484001,53.484001,52.759445,4300
2020-11-10,52.630001,52.959999,52.209999,52.765999,52.051170,2600
2020-11-11,53.189999,53.610001,53.189999,53.518002,52.792984,2000
2020-11-12,53.889999,54.000000,53.512001,53.512001,52.787064,2100
2020-11-13,53.820000,53.820000,53.570000,53.768002,53.039600,1700
2020-11-16,54.060001,54.080002,53.990002,54.027000,53.295086,2900
2020-11-17,53.730000,54.125000,53.730000,54.125000,53.391762,100
2020-11-18,53.466999,53.466999,53.466999,53.466999,52.742676,200
2020-11-19,54.360001,54.476002,54.360001,54.476002,53.738007,1500
2020-11-20,54.389999,54.877998,54.389999,54.877998,54.134556,900
2020-11-23,54.814999,55.056999,54.770000,55.056999,54.311134,300
2020-11-24,54.894001,54.925999,54.799999,54.925999,54.181908,2000
2020-11-25,54.779999,55.233002,54.779999,55.233002,54.484753,1400
2020-11-27,55.660000,55.919998,55.540001,55.919998,55.162441,3000
2020-11-30,55.750000,55.750000,55.299999,55.646000,54.892155,1000
2020-12-01,55.744999,55.830002,55.570000,55.660999,54.906952,3300
2020-12-02,55.900002,55.900002,55.619999,55.779999,55.024338,1200
2020-12-03,56.209999,56.209999,55.897999,55.897999,55.140739,1800
2020-12-04,56.150002,56.387001,56.150002,56.387001,55.623119,600
2020-12-07,56.799999,56.799999,56.380001,56.448002,55.683292,700
2020-12-08,56.820000,57.028999,56.820000,57.028999,56.256420,500
2020-12-09,57.259998,57.259998,56.363998,56.363998,55.600426,200
2020-12-10,56.509998,57.535999,56.509998,57.535999,57.489910,1300
2020-12-11,57.321999,57.506001,57.321999,57.506001,57.459938,600
2020-12-14,57.820000,58.000000,57.720001,57.720001,57.673767,2300
2020-12-15,58.349998,58.369999,58.275002,58.369999,58.323242,300
2020-12-16,58.490002,58.490002,58.360001,58.408001,58.361214,600
2020-12-17,58.898998,59.049000,58.898998,59.049000,59.001701,400
2020-12-18,59.429001,59.851002,59.429001,59.851002,59.803059,800
2020-12-21,58.990002,59.921001,58.990002,59.921001,59.873005,1300
2020-12-22,60.349998,60.360001,59.966000,60.276001,60.276001,2600
2020-12-23,60.432999,60.432999,60.432999,60.432999,60.432999,300
2020-12-24,60.258999,60.258999,60.258999,60.258999,60.258999,100
2020-12-28,59.955002,59.955002,59.417999,59.417999,59.417999,800
2020-12-29,59.265999,59.265999,59.265999,59.265999,59.265999,300
2020-12-30,59.865002,59.865002,59.865002,59.865002,59.865002,100
2020-12-31,59.689999,59.720001,59.689999,59.720001,59.720001,100
2021-01-04,59.529999,59.630001,58.299999,58.859001,58.859001,1700
2021-01-05,59.430000,59.630001,59.430000,59.630001,59.630001,1000
2021-01-06,58.720001,58.847000,58.720001,58.847000,58.847000,200
2021-01-07,60.000000,60.125999,60.000000,60.125999,60.125999,2100
2021-01-08,60.840000,61.029999,60.700001,60.970001,60.970001,11300
2021-01-11,60.564999,60.740002,60.424000,60.424000,60.424000,1000
2021-01-12,60.599998,60.758999,60.590000,60.758999,60.758999,800
2021-01-13,61.119999,61.119999,60.721001,60.721001,60.721001,600
2021-01-14,60.990002,61.060001,60.804001,60.804001,60.804001,1100
2021-01-15,60.730000,60.820000,60.590000,60.591000,60.591000,700
2021-01-19,61.429001,61.625999,61.230000,61.625999,61.625999,3500
2021-01-20,62.910000,63.049999,62.910000,62.992001,62.992001,600
2021-01-21,63.757000,63.757000,63.757000,63.757000,63.757000,100
2021-01-22,63.700001,63.992001,63.700001,63.992001,63.992001,300
