Date,Open,High,Low,Close,Adj Close,Volume
1999-01-27,15.000000,15.125000,15.000000,15.125000,4.282197,3800
1999-01-28,15.125000,15.125000,15.125000,15.125000,4.282197,0
1999-01-29,15.250000,15.250000,15.250000,15.250000,4.317590,100
1999-02-01,15.375000,15.375000,15.187500,15.250000,4.317590,10000
1999-02-02,15.125000,15.125000,15.125000,15.125000,4.282197,3500
1999-02-03,15.187500,15.187500,15.000000,15.000000,4.246808,2000
1999-02-04,15.000000,15.000000,15.000000,15.000000,4.246808,0
1999-02-05,15.125000,15.125000,15.000000,15.000000,4.246808,7300
1999-02-08,15.125000,15.125000,15.000000,15.000000,4.246808,11600
1999-02-09,15.000000,15.000000,15.000000,15.000000,4.246808,23000
1999-02-10,15.062500,15.062500,15.062500,15.062500,4.264501,2000
1999-02-11,15.062500,15.062500,15.062500,15.062500,4.264501,0
1999-02-12,15.062500,15.062500,15.062500,15.062500,4.264501,4500
1999-02-16,15.000000,15.000000,15.000000,15.000000,4.246808,4000
1999-02-17,15.000000,15.000000,15.000000,15.000000,4.246808,1200
1999-02-18,15.000000,15.125000,15.000000,15.125000,4.282197,3200
1999-02-19,15.125000,15.125000,15.125000,15.125000,4.282197,0
1999-02-22,15.000000,15.125000,15.000000,15.062500,4.264501,6100
1999-02-23,15.000000,15.125000,15.000000,15.125000,4.282197,3900
1999-02-24,15.062500,15.062500,15.000000,15.000000,4.246808,4000
1999-02-25,15.062500,15.062500,15.000000,15.000000,4.246808,14900
1999-02-26,15.000000,15.000000,15.000000,15.000000,4.246808,7200
1999-03-01,15.062500,15.062500,15.000000,15.000000,4.246808,2000
1999-03-02,15.000000,15.062500,15.000000,15.062500,4.264501,800
1999-03-03,15.000000,15.000000,15.000000,15.000000,4.246808,5300
1999-03-04,15.000000,15.000000,15.000000,15.000000,4.246808,12500
1999-03-05,15.000000,15.000000,15.000000,15.000000,4.246808,6000
1999-03-08,15.000000,15.062500,15.000000,15.062500,4.264501,5000
1999-03-09,15.000000,15.000000,15.000000,15.000000,4.246808,2000
1999-03-10,15.125000,15.125000,15.062500,15.062500,4.264501,2300
1999-03-11,15.125000,15.187500,15.125000,15.125000,4.282197,7600
1999-03-12,15.062500,15.062500,15.000000,15.000000,4.246808,7200
1999-03-15,15.000000,15.125000,15.000000,15.125000,4.282197,6000
1999-03-16,15.125000,15.250000,15.125000,15.250000,4.317590,11600
1999-03-17,15.250000,15.250000,15.250000,15.250000,4.317590,24300
1999-03-18,15.125000,15.250000,15.125000,15.250000,4.317590,5300
1999-03-19,15.250000,15.250000,15.250000,15.250000,4.317590,500
1999-03-22,15.062500,15.250000,15.000000,15.000000,4.246808,17400
1999-03-23,15.000000,15.000000,15.000000,15.000000,4.246808,11500
1999-03-24,15.000000,15.125000,15.000000,15.125000,4.282197,4000
1999-03-25,15.000000,15.000000,15.000000,15.000000,4.246808,1500
1999-03-26,15.062500,15.125000,15.000000,15.000000,4.246808,3300
1999-03-29,15.125000,15.125000,15.062500,15.062500,4.264501,1500
1999-03-30,15.125000,15.125000,15.000000,15.000000,4.246808,2200
1999-03-31,15.062500,15.125000,15.000000,15.125000,4.282197,12100
1999-04-01,15.125000,15.125000,15.125000,15.125000,4.282197,5000
1999-04-05,15.000000,15.250000,15.000000,15.125000,4.300395,8000
1999-04-06,15.000000,15.000000,15.000000,15.000000,4.264854,6500
1999-04-07,15.187500,15.187500,15.062500,15.187500,4.318167,2300
1999-04-08,15.062500,15.062500,15.000000,15.000000,4.264854,14400
1999-04-09,15.062500,15.062500,15.062500,15.062500,4.282621,4300
1999-04-12,15.062500,15.062500,15.062500,15.062500,4.282621,3200
1999-04-13,15.062500,15.125000,15.000000,15.000000,4.264854,6500
1999-04-14,15.000000,15.062500,15.000000,15.062500,4.282621,36300
1999-04-15,15.000000,15.125000,15.000000,15.000000,4.264854,8800
1999-04-16,15.062500,15.062500,15.000000,15.000000,4.264854,4100
1999-04-19,15.000000,15.000000,15.000000,15.000000,4.264854,500
1999-04-20,15.000000,15.000000,15.000000,15.000000,4.264854,3600
1999-04-21,15.062500,15.062500,14.812500,14.812500,4.211544,9900
1999-04-22,14.875000,14.875000,14.562500,14.562500,4.140463,7500
1999-04-23,14.562500,14.562500,14.375000,14.500000,4.122693,5500
1999-04-26,14.625000,14.625000,14.375000,14.500000,4.122693,1500
1999-04-27,14.375000,14.375000,14.000000,14.250000,4.051609,9100
1999-04-28,14.375000,14.375000,14.000000,14.000000,3.980531,15200
1999-04-29,14.250000,14.250000,14.000000,14.000000,3.980531,7100
1999-04-30,14.000000,14.125000,13.812500,14.125000,4.016069,20100
1999-05-03,14.000000,14.000000,13.875000,14.000000,3.980531,3100
1999-05-04,14.125000,14.125000,14.125000,14.125000,4.016069,1000
1999-05-05,14.250000,14.625000,14.250000,14.625000,4.158235,9200
1999-05-06,14.500000,14.500000,14.500000,14.500000,4.140532,0
1999-05-07,14.625000,14.750000,14.625000,14.750000,4.211918,1800
1999-05-10,14.750000,14.750000,14.750000,14.750000,4.211918,0
1999-05-11,14.687500,14.875000,14.687500,14.750000,4.211918,2000
1999-05-12,14.625000,14.625000,14.625000,14.625000,4.176224,4000
1999-05-13,14.625000,14.625000,14.625000,14.625000,4.176224,0
1999-05-14,14.750000,14.750000,14.500000,14.500000,4.140532,4800
1999-05-17,14.625000,14.625000,14.625000,14.625000,4.176224,600
