Date,Open,High,Low,Close,Adj Close,Volume
2007-02-02,75.000000,77.000000,70.699997,75.000000,25.542713,693420
2007-02-05,75.099998,75.300003,74.250000,74.300003,25.304304,57640
2007-02-06,74.250000,75.250000,74.250000,74.550003,25.389452,35240
2007-02-07,75.000000,75.250000,74.599998,75.150002,25.593796,14620
2007-02-08,75.250000,75.250000,74.300003,75.000000,25.542713,9840
2007-02-09,75.000000,75.650002,74.300003,74.750000,25.457571,13200
2007-02-12,74.500000,74.599998,72.250000,73.449997,25.014833,16180
2007-02-13,72.500000,74.000000,72.250000,72.650002,24.742374,14680
2007-02-14,73.000000,74.949997,72.500000,74.449997,25.355400,11780
2007-02-15,74.150002,74.949997,72.400002,73.250000,24.946720,16940
2007-02-16,73.250000,74.500000,72.500000,73.750000,25.116999,9780
2007-02-20,73.150002,75.000000,72.550003,74.050003,25.219170,39700
2007-02-21,73.550003,74.000000,73.050003,73.849998,25.151052,10480
2007-02-22,73.500000,74.000000,73.050003,73.449997,25.014833,9820
2007-02-23,73.500000,75.000000,73.300003,73.800003,25.134033,11740
2007-02-26,74.150002,75.000000,73.900002,75.000000,25.542713,5640
2007-02-27,74.000000,74.349998,73.099998,73.849998,25.151052,15200
2007-02-28,74.050003,74.400002,72.500000,72.500000,24.691294,22440
2007-03-01,73.000000,73.250000,71.750000,72.500000,24.691294,11600
2007-03-02,72.849998,73.500000,72.050003,72.849998,24.810495,7640
2007-03-05,71.800003,72.400002,71.750000,72.250000,24.606144,7880
2007-03-06,72.300003,72.449997,71.400002,71.550003,24.367743,11640
2007-03-07,71.300003,72.500000,71.250000,72.500000,24.691294,10280
2007-03-08,72.500000,73.750000,72.250000,73.750000,25.116999,4680
2007-03-09,74.000000,74.500000,72.900002,73.599998,25.065912,6680
2007-03-12,73.099998,73.750000,72.849998,73.650002,25.082941,5740
2007-03-13,73.000000,74.099998,73.000000,73.800003,25.134033,6900
2007-03-14,74.750000,75.000000,73.599998,74.800003,25.474588,7740
2007-03-15,74.150002,75.750000,74.150002,75.599998,25.747049,10240
2007-03-16,75.900002,76.000000,73.750000,75.750000,25.798140,17000
2007-03-19,76.000000,76.550003,74.500000,76.500000,26.053558,13800
