Date,Open,High,Low,Close,Adj Close,Volume
2017-01-12,20.230000,20.230000,20.150000,20.150000,19.130747,1300
2017-01-13,20.160000,20.290001,20.150000,20.170000,19.149736,65400
2017-01-17,20.129999,20.129999,19.969999,19.986000,18.975044,55800
2017-01-18,19.940001,19.980000,19.940001,19.959999,18.950357,30900
2017-01-19,19.990000,20.000000,19.850000,19.900000,18.893393,91600
2017-01-20,19.930000,20.000000,19.870001,19.930000,18.921879,44000
2017-01-23,19.870001,19.940001,19.820000,19.940001,18.931372,21600
2017-01-24,20.010000,20.190001,20.000000,20.180000,19.159231,51200
2017-01-25,20.260000,20.389999,20.240000,20.389999,19.358608,17700
2017-01-26,20.379999,20.400000,20.340000,20.400000,19.368101,34600
2017-01-27,20.350000,20.360001,20.270000,20.290001,19.263670,37800
2017-01-30,20.070000,20.090000,20.020000,20.051001,19.036757,24100
2017-01-31,20.000000,20.080000,19.990000,20.070000,19.054794,36500
2017-02-01,20.080000,20.080000,19.969999,20.000000,18.988337,49600
2017-02-02,19.980000,20.059999,19.980000,20.040001,19.026312,71300
2017-02-03,20.100000,20.180000,20.066999,20.170000,19.149736,62000
2017-02-06,20.091999,20.091999,20.010000,20.010000,18.997831,35400
2017-02-07,19.985001,20.010000,19.889999,19.930000,18.921879,37600
2017-02-08,19.860001,19.910000,19.860001,19.910000,18.902891,53300
2017-02-09,20.000000,20.115999,20.000000,20.090000,19.073784,36900
2017-02-10,20.141001,20.190001,20.139999,20.171000,19.150686,37200
2017-02-13,20.270000,20.280001,20.219999,20.250000,19.225689,36000
2017-02-14,20.228001,20.299999,20.209999,20.299999,19.273161,28100
2017-02-15,20.360001,20.450001,20.350000,20.450001,19.415575,22800
2017-02-16,20.430000,20.440001,20.330000,20.420000,19.387091,19100
2017-02-17,20.309999,20.389999,20.260000,20.389999,19.358608,25900
2017-02-21,21.299999,21.299999,20.510000,20.559999,19.520008,26900
2017-02-22,20.480000,20.490000,20.469999,20.469999,19.434561,22100
2017-02-23,20.450001,20.450001,20.379999,20.410000,19.377596,23900
2017-02-24,20.260000,20.340000,20.219999,20.309999,19.282656,21500
2017-02-27,20.370001,20.459999,20.370001,20.450001,19.415575,22200
2017-02-28,20.430000,20.430000,20.350000,20.420000,19.387091,8700
2017-03-01,20.700001,20.790001,20.700001,20.780001,19.728880,17800
2017-03-02,20.730000,20.730000,20.590000,20.590000,19.548491,38700
2017-03-03,20.580000,20.620001,20.566999,20.566999,19.526655,32100
2017-03-06,20.490000,20.530001,20.469999,20.530001,19.491528,20700
2017-03-07,20.500000,20.510000,20.490000,20.490000,19.453548,19700
2017-03-08,20.570000,20.570000,20.370001,20.379999,19.349113,17400
2017-03-09,20.430000,20.430000,20.309999,20.379999,19.349113,12600
2017-03-10,20.450001,20.450001,20.379999,20.420000,19.387091,52100
2017-03-13,20.469999,20.480000,20.459999,20.469999,19.434561,7900
2017-03-14,20.370001,20.420000,20.370001,20.410000,19.377596,5100
2017-03-15,20.520000,20.629999,20.510000,20.590000,19.548491,24900
2017-03-16,20.629999,20.650000,20.547001,20.559999,19.520008,21700
2017-03-17,20.549999,20.580000,20.500000,20.540001,19.501022,19700
2017-03-20,20.500000,20.500000,20.448999,20.450001,19.415575,10400
2017-03-21,20.410000,20.410000,20.094999,20.094999,19.078529,9400
2017-03-22,20.063000,20.129999,20.040001,20.129999,19.111759,12300
2017-03-23,20.100000,20.190001,20.070000,20.070000,19.054794,13600
2017-03-24,20.110001,20.129999,19.990000,20.059999,19.045301,14200
2017-03-27,19.820000,20.040001,19.790001,20.040001,19.026312,8700
2017-03-28,20.040001,20.260000,20.040001,20.252001,19.227589,13600
2017-03-29,20.190001,20.340000,20.190001,20.330000,19.301643,14600
2017-03-30,20.330000,20.400000,20.330000,20.389999,19.358608,13700
2017-03-31,20.350000,20.389999,20.299999,20.360001,19.330128,17200
2017-04-03,20.299999,20.309999,20.190001,20.290001,19.263670,7100
2017-04-04,20.280001,20.350000,20.270000,20.350000,19.320635,8900
2017-04-05,20.520000,20.520000,20.280001,20.299999,19.273161,26000
2017-04-06,20.270000,20.360001,20.270000,20.360001,19.330128,5400
2017-04-07,20.280001,20.320000,20.280001,20.290001,19.263670,7000
2017-04-10,20.420000,20.420000,20.330000,20.360001,19.330128,4700
2017-04-11,20.299999,20.320000,20.200001,20.320000,19.292149,15700
2017-04-12,20.309999,20.320000,20.230000,20.230000,19.206701,18600
2017-04-13,20.209999,20.209999,20.010000,20.010000,18.997831,16600
2017-04-17,20.080000,20.230000,20.070000,20.230000,19.206701,17300
2017-04-18,20.200001,20.200001,20.087000,20.129000,19.110811,14600
2017-04-19,20.219999,20.219999,20.056999,20.056999,19.042452,8700
2017-04-20,20.190001,20.268999,20.180000,20.250000,19.225689,4000
2017-04-21,20.150000,20.270000,20.150000,20.200001,19.178221,10800
2017-04-24,20.440001,20.500000,20.440001,20.469999,19.434561,5600
2017-04-25,20.590000,20.650000,20.558001,20.650000,19.605457,14500
2017-04-26,20.639999,20.719999,20.610001,20.610001,19.567480,6400
2017-04-27,20.580000,20.605000,20.500000,20.580000,19.538998,7700
2017-04-28,20.700001,20.700001,20.590000,20.590000,19.548491,3700
2017-05-01,20.629999,20.670000,20.556999,20.610001,19.567480,3600
2017-05-02,20.660000,20.660000,20.629999,20.639999,19.595961,7600
2017-05-03,20.559999,20.650000,20.559999,20.639999,19.595961,9500
2017-05-04,20.730000,20.730000,20.590000,20.590000,19.548491,4400
2017-05-05,20.645000,20.719999,20.639999,20.719999,19.671917,11000
2017-05-08,20.700001,20.719999,20.660000,20.719999,19.671917,30300
2017-05-09,20.790001,20.790001,20.690001,20.700001,19.652927,8700
2017-05-10,20.680000,20.740000,20.680000,20.730000,19.681412,6300
2017-05-11,20.670000,20.670000,20.559000,20.620001,19.576975,15500
2017-05-12,20.610001,20.629999,20.600000,20.610001,19.567480,11200
2017-05-15,20.750000,20.750000,20.695999,20.723000,19.674763,6700
2017-05-16,20.760000,20.770000,20.660000,20.700001,19.652927,13300
2017-05-17,20.480000,20.480000,20.340000,20.400000,19.368101,8300
2017-05-18,20.340000,20.510000,20.340000,20.490000,19.453548,7800
2017-05-19,20.490000,20.730000,20.490000,20.716999,19.669065,8100
2017-05-22,20.780001,20.806999,20.700001,20.780001,19.728880,7700
2017-05-23,20.799999,20.799999,20.789000,20.789000,19.737425,5500
2017-05-24,20.826000,20.830000,20.770000,20.770000,19.719387,8600
2017-05-25,20.870001,20.930000,20.820000,20.820000,19.766859,9200
2017-05-26,20.820000,20.860001,20.820000,20.841999,19.787745,5800
2017-05-30,20.809999,20.820000,20.740000,20.740000,19.690905,11900
2017-05-31,20.549999,20.620001,20.547001,20.612000,19.569378,9500
