Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,25.764000,25.764000,25.764000,25.764000,25.406443,0
2020-06-19,25.959999,25.959999,25.718000,25.718000,25.361078,300
2020-06-22,25.851000,25.851000,25.851000,25.851000,25.492233,0
2020-06-23,25.976000,25.976000,25.976000,25.976000,25.615499,100
2020-06-24,25.450001,25.450001,25.450001,25.450001,25.096800,100
2020-06-25,25.520000,25.680000,25.502001,25.680000,25.323606,3700
2020-06-26,25.420000,25.430000,25.292999,25.292999,24.941977,1200
2020-06-29,25.504000,25.504000,25.504000,25.504000,25.150051,100
2020-06-30,25.759001,25.759001,25.759001,25.759001,25.401510,100
2020-07-01,25.809999,26.030001,25.809999,25.860001,25.501108,5200
2020-07-02,26.010000,26.020000,25.893000,25.893000,25.653685,700
2020-07-06,26.290001,26.340000,26.275999,26.302000,26.058905,3000
2020-07-07,26.250000,26.250000,26.045000,26.045000,25.804279,800
2020-07-08,26.219999,26.252001,26.155001,26.252001,26.009367,1100
2020-07-09,26.190001,26.209999,26.134001,26.134001,25.892458,700
2020-07-10,26.316999,26.316999,26.316999,26.316999,26.073767,100
2020-07-13,26.590000,26.590000,26.125999,26.125999,25.884531,500
2020-07-14,26.398001,26.398001,26.398001,26.398001,26.154018,100
2020-07-15,26.650000,26.650000,26.580000,26.614000,26.368021,500
2020-07-16,26.506001,26.506001,26.506001,26.506001,26.261021,200
2020-07-17,26.596001,26.596001,26.596001,26.596001,26.350189,100
2020-07-20,26.787001,26.787001,26.787001,26.787001,26.539423,0
2020-07-21,26.920000,26.959999,26.846001,26.846001,26.597876,2600
2020-07-22,26.940001,26.940001,26.940001,26.940001,26.691010,100
2020-07-23,26.705999,26.705999,26.705999,26.705999,26.459169,100
2020-07-24,26.580000,26.625999,26.565001,26.565001,26.319475,700
2020-07-27,26.780001,26.806000,26.780001,26.806000,26.558247,300
2020-07-28,26.655001,26.655001,26.655001,26.655001,26.408644,200
2020-07-29,26.750000,26.941000,26.750000,26.941000,26.692001,600
2020-07-30,26.805000,26.805000,26.805000,26.805000,26.557257,100
2020-07-31,26.770000,26.770000,26.715000,26.725000,26.477997,1600
2020-08-03,26.983999,26.983999,26.983999,26.983999,26.734600,200
2020-08-04,27.100000,27.100000,27.100000,27.100000,26.849529,400
2020-08-05,27.254999,27.270000,27.240000,27.270000,27.017960,600
2020-08-06,27.230000,27.343000,27.230000,27.343000,27.090282,300
2020-08-07,27.280001,27.299999,27.266001,27.283001,27.030838,1600
2020-08-10,27.330000,27.330000,27.309999,27.323999,27.071459,800
2020-08-11,27.590000,27.590000,27.226000,27.226000,26.974365,900
2020-08-12,27.549999,27.584999,27.549999,27.584999,27.330046,600
2020-08-13,27.507000,27.507000,27.507000,27.507000,27.252768,100
2020-08-14,27.510000,27.520000,27.448999,27.448999,27.195305,600
2020-08-17,27.598000,27.598000,27.598000,27.598000,27.342926,100
2020-08-18,27.625000,27.625000,27.625000,27.625000,27.369677,100
2020-08-19,27.629999,27.629999,27.514999,27.514999,27.260693,300
2020-08-20,27.420000,27.552999,27.420000,27.552999,27.298342,1100
2020-08-21,27.504999,27.573999,27.504999,27.573999,27.319147,1000
2020-08-24,27.788000,27.788000,27.788000,27.788000,27.531170,100
2020-08-25,27.882999,27.882999,27.882999,27.882999,27.625290,100
2020-08-26,28.070999,28.070999,28.070999,28.070999,27.811556,100
2020-08-27,28.070000,28.070000,28.000000,28.020000,27.761026,1900
