Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,25.549999,25.919001,25.500000,25.919001,25.817955,8000
2020-03-03,26.330000,27.629999,25.403000,25.604000,25.504183,5900
2020-03-04,26.070000,26.635000,26.070000,26.635000,26.531164,4800
2020-03-05,26.370001,26.370001,25.777000,25.777000,25.676508,9700
2020-03-06,25.540001,25.540001,25.020000,25.419001,25.319904,35500
2020-03-09,25.150000,25.150000,23.792000,23.792000,23.699247,1300
2020-03-10,24.646000,24.646000,24.646000,24.646000,24.549917,1600
2020-03-11,24.150000,24.160000,23.620001,23.671000,23.578718,16900
2020-03-12,22.459999,22.610001,22.139999,22.139999,22.053686,7500
2020-03-13,23.070999,23.070999,23.070999,23.070999,22.981056,100
2020-03-16,21.610001,21.610001,20.900000,20.900000,20.818521,300
2020-03-17,21.921000,21.921000,21.921000,21.921000,21.835541,0
2020-03-18,21.120001,21.139999,20.330000,20.806999,20.725883,1200
2020-03-19,21.038000,21.038000,21.038000,21.038000,20.955984,0
2020-03-20,20.280001,20.280001,20.021999,20.021999,19.943943,500
2020-03-23,19.659000,19.659000,19.659000,19.659000,19.582359,0
2020-03-24,21.079000,21.079000,21.079000,21.079000,20.996824,0
2020-03-25,21.391001,21.391001,21.391001,21.391001,21.307608,0
2020-03-26,22.400000,22.714001,22.270000,22.714001,22.625450,500
2020-03-27,22.480000,22.480000,22.275000,22.275000,22.188160,500
2020-03-30,22.974001,22.974001,22.974001,22.974001,22.884438,100
2020-03-31,22.601999,22.601999,22.601999,22.601999,22.513885,0
2020-04-01,21.801001,21.801001,21.801001,21.801001,21.716009,100
2020-04-02,21.879999,21.999001,21.879999,21.999001,21.913237,200
2020-04-03,21.680000,21.680000,21.670000,21.670000,21.585520,3600
2020-04-06,21.670000,21.670000,21.670000,21.670000,21.585520,0
2020-04-07,23.139999,23.139999,23.139999,23.139999,23.049788,0
2020-04-08,23.459999,23.705000,23.459999,23.705000,23.612585,200
2020-04-09,24.090000,24.090000,23.999001,23.999001,23.905441,13900
2020-04-13,23.999001,23.999001,23.999001,23.999001,23.905441,0
2020-04-14,24.590000,24.622000,24.590000,24.622000,24.526011,100
2020-04-15,24.240000,24.240000,24.221001,24.221001,24.126575,4500
2020-04-16,24.221001,24.221001,24.221001,24.221001,24.126575,0
2020-04-17,24.750000,25.000000,24.705000,25.000000,24.902538,2500
2020-04-20,25.090000,25.090000,24.768999,24.768999,24.672438,300
2020-04-21,24.190001,24.190001,24.000999,24.000999,23.907431,400
2020-04-22,24.389999,24.548000,24.389999,24.548000,24.452299,200
2020-04-23,24.548000,24.548000,24.548000,24.548000,24.452299,0
2020-04-24,24.510000,24.733000,24.510000,24.733000,24.636578,1200
2020-04-27,25.100000,25.118000,25.080000,25.118000,25.020077,800
2020-04-28,25.340000,25.340000,24.811001,24.811001,24.714275,1300
2020-04-29,25.219999,25.316999,25.219999,25.308001,25.209337,1400
2020-04-30,25.308001,25.308001,25.308001,25.308001,25.209337,0
2020-05-01,25.083000,25.083000,25.083000,25.083000,24.985214,0
2020-05-04,24.420000,24.600000,24.350000,24.559999,24.464252,1200
2020-05-05,25.150000,25.160000,24.936001,24.936001,24.838787,500
2020-05-06,24.936001,24.936001,24.936001,24.936001,24.838787,0
2020-05-07,25.340000,25.340000,25.323999,25.323999,25.225273,200
2020-05-08,25.650000,25.698999,25.650000,25.698999,25.598812,100
2020-05-11,25.620001,25.990000,25.620001,25.881001,25.780104,700
2020-05-12,25.950001,25.950001,25.424999,25.424999,25.325880,900
2020-05-13,25.559999,25.559999,25.000000,25.113001,25.015099,8700
2020-05-14,24.900000,25.316999,24.900000,25.316999,25.218302,200
2020-05-15,25.513000,25.513000,25.513000,25.513000,25.413538,0
2020-05-18,26.040001,26.040001,26.040001,26.040001,25.938484,100
2020-05-19,26.200001,26.200001,25.878000,25.878000,25.777115,1200
2020-05-20,26.195999,26.195999,26.190001,26.190001,26.087898,100
2020-05-21,25.930000,26.058001,25.909000,26.058001,25.956413,4500
2020-05-22,25.938999,25.938999,25.938999,25.938999,25.837875,100
2020-05-26,26.280001,26.280001,26.063999,26.063999,25.962389,2500
2020-05-27,25.930000,26.270000,25.889999,26.270000,26.167587,7600
2020-05-28,26.540001,26.540001,26.358000,26.358000,26.255243,400
2020-05-29,26.520000,26.712999,26.520000,26.712999,26.608858,200
2020-06-01,26.823999,26.823999,26.823999,26.823999,26.719425,0
2020-06-02,26.830000,27.042000,26.802000,27.042000,26.936577,3100
2020-06-03,28.379999,28.379999,27.129999,27.222000,27.115875,2700
2020-06-04,26.921000,26.921000,26.921000,26.921000,26.816048,0
2020-06-05,27.417000,27.417000,27.417000,27.417000,27.310114,100
2020-06-08,27.742001,27.742001,27.742001,27.742001,27.633848,100
2020-06-09,28.045000,28.045000,28.045000,28.045000,27.935667,100
2020-06-10,29.430000,29.430000,27.607000,27.607000,27.499374,200
2020-06-11,26.400000,26.400000,26.146999,26.146999,26.045065,4500
2020-06-12,26.426001,26.426001,26.426001,26.426001,26.322979,100
2020-06-15,26.677999,26.677999,26.677999,26.677999,26.573996,100
2020-06-16,27.190001,27.309999,27.096001,27.096001,26.990366,400
2020-06-17,27.129000,27.129000,27.129000,27.129000,27.023237,100
2020-06-18,27.209999,27.230000,27.160000,27.225000,27.118864,2400
2020-06-19,27.202999,27.202999,27.202999,27.202999,27.096949,100
2020-06-22,27.330000,27.330000,27.330000,27.330000,27.223454,100
2020-06-23,27.580000,29.320000,27.430000,27.799999,27.691622,46100
2020-06-24,27.139999,27.139999,26.830000,26.830000,26.725403,3500
2020-06-25,27.120001,27.120001,27.120001,27.120001,27.014273,100
2020-06-26,26.760000,26.760000,26.545000,26.545000,26.441515,400
2020-06-29,26.761999,26.761999,26.761999,26.761999,26.657667,0
2020-06-30,27.315001,27.315001,27.315001,27.315001,27.208513,0
2020-07-01,27.601000,27.601000,27.601000,27.601000,27.493397,100
2020-07-02,27.677000,27.677000,27.677000,27.677000,27.569101,100
2020-07-06,28.187000,28.187000,28.187000,28.187000,28.077114,100
2020-07-07,28.031000,28.031000,28.031000,28.031000,27.921721,0
2020-07-08,28.320000,28.320000,28.313000,28.313000,28.202621,4900
2020-07-09,28.308001,28.308001,28.308001,28.308001,28.197641,100
2020-07-10,28.275000,28.482000,28.275000,28.482000,28.370964,500
2020-07-13,28.920000,28.920000,28.920000,28.920000,28.807255,100
2020-07-14,28.059999,28.398001,28.059999,28.398001,28.287291,2300
2020-07-15,28.709999,28.719999,28.597000,28.597000,28.485516,300
2020-07-16,28.448999,28.448999,28.448999,28.448999,28.338091,0
2020-07-17,28.580000,28.610001,28.580000,28.610001,28.498465,100
2020-07-20,29.087999,29.087999,29.087999,29.087999,28.974600,0
2020-07-21,29.090000,29.090000,28.910999,28.910999,28.798290,100
2020-07-22,28.995001,29.097000,28.995001,29.097000,28.983566,100
2020-07-23,28.594000,28.594000,28.594000,28.594000,28.482527,100
2020-07-24,28.392000,28.392000,28.392000,28.392000,28.281315,0
2020-07-27,28.700001,28.726000,28.700001,28.726000,28.614012,100
2020-07-28,28.417999,28.417999,28.417999,28.417999,28.307211,100
2020-07-29,28.791000,28.791000,28.791000,28.791000,28.678759,100
2020-07-30,28.815001,28.815001,28.815001,28.815001,28.702665,0
2020-07-31,28.927999,28.927999,28.927999,28.927999,28.815224,100
2020-08-03,29.316000,29.316000,29.316000,29.316000,29.201712,100
2020-08-04,29.514000,29.514000,29.514000,29.514000,29.398939,0
2020-08-05,29.794001,29.794001,29.794001,29.794001,29.677849,100
2020-08-06,29.937000,29.937000,29.937000,29.937000,29.820292,100
2020-08-07,29.959999,29.959999,29.818001,29.818001,29.701756,200
2020-08-10,29.799999,29.799999,29.672001,29.672001,29.556324,1400
2020-08-11,29.327000,29.327000,29.327000,29.327000,29.212667,100
2020-08-12,29.799999,29.841000,29.790001,29.841000,29.724665,10700
2020-08-13,29.980000,29.980000,29.931000,29.931000,29.814314,200
2020-08-14,29.840000,29.840000,29.840000,29.840000,29.723669,100
2020-08-17,30.153999,30.153999,30.153999,30.153999,30.036444,100
2020-08-18,30.180000,30.250999,30.180000,30.250999,30.133066,600
2020-08-19,30.183001,30.183001,30.183001,30.183001,30.065332,0
2020-08-20,30.372999,30.372999,30.372999,30.372999,30.254589,100
2020-08-21,30.420000,30.429001,30.420000,30.429001,30.310373,100
2020-08-24,30.520000,30.524000,30.510000,30.524000,30.405003,500
2020-08-25,30.723000,30.723000,30.723000,30.723000,30.603226,0
2020-08-26,31.172001,31.172001,31.172001,31.172001,31.050476,0
2020-08-27,31.281000,31.281000,31.281000,31.281000,31.159052,100
2020-08-28,31.451000,31.451000,31.451000,31.451000,31.328388,100
2020-08-31,31.621000,31.621000,31.621000,31.621000,31.497726,100
2020-09-01,31.715000,31.715000,31.715000,31.715000,31.591360,100
2020-09-02,32.138000,32.138000,32.138000,32.138000,32.012711,100
2020-09-03,30.844999,30.844999,30.844999,30.844999,30.724751,100
2020-09-04,30.465000,30.465000,30.465000,30.465000,30.346231,100
2020-09-08,29.555000,29.555000,29.555000,29.555000,29.439779,100
2020-09-09,30.337000,30.337000,30.337000,30.337000,30.218731,100
2020-09-10,30.500000,30.500000,29.740000,29.856001,29.739607,500
2020-09-11,29.726999,29.726999,29.726999,29.726999,29.611109,100
2020-09-14,30.290001,30.299999,30.260000,30.287001,30.168926,3000
2020-09-15,30.604000,30.604000,30.604000,30.604000,30.484690,0
2020-09-16,30.461000,30.461000,30.461000,30.461000,30.342249,100
2020-09-17,29.719999,30.042999,29.719999,30.042999,29.925877,800
2020-09-18,29.888000,29.888000,29.888000,29.888000,29.771482,100
2020-09-21,29.295000,29.840000,29.264999,29.840000,29.723669,27800
2020-09-22,29.920000,30.158001,29.920000,30.158001,30.040430,200
2020-09-23,29.361000,29.361000,29.361000,29.361000,29.246536,200
2020-09-24,29.528000,29.528000,29.528000,29.528000,29.412886,0
2020-09-25,29.650000,30.146000,29.650000,30.146000,30.028475,400
