Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,30.000000,30.299999,26.510000,26.950001,26.950001,5866800
2021-05-05,25.809999,26.260000,25.000000,26.000000,26.000000,1534400
2021-05-06,25.469999,26.020000,25.100000,25.969999,25.969999,698900
2021-05-07,25.410000,26.400000,25.049999,25.910000,25.910000,921600
2021-05-10,25.600000,26.700001,25.430000,26.500000,26.500000,1212200
2021-05-11,25.520000,26.690001,25.400000,25.790001,25.790001,1908700
2021-05-12,25.389999,25.790001,24.950001,25.230000,25.230000,763900
2021-05-13,24.440001,25.230000,23.910000,25.100000,25.100000,546300
2021-05-14,25.000000,25.250000,24.629999,24.750000,24.750000,2013400
2021-05-17,24.510000,24.860001,23.840000,24.219999,24.219999,1201900
2021-05-18,23.510000,24.760000,23.240000,24.190001,24.190001,1656300
2021-05-19,23.709999,24.469999,23.650000,24.450001,24.450001,950000
2021-05-20,24.650000,25.340000,24.000000,25.120001,25.120001,1130600
2021-05-21,25.299999,25.500000,25.129999,25.340000,25.340000,721100
2021-05-24,25.350000,25.500000,25.209999,25.459999,25.459999,953800
2021-05-25,25.260000,25.375000,24.500000,25.000000,25.000000,366400
2021-05-26,25.010000,25.070000,24.370001,24.570000,24.570000,575100
2021-05-27,24.510000,24.830000,24.120001,24.540001,24.540001,421100
2021-05-28,24.500000,25.090000,24.200001,24.980000,24.980000,529400
