Date,Open,High,Low,Close,Adj Close,Volume
2020-07-02,10.000000,10.000000,9.800000,9.800000,9.800000,49149
2020-07-06,9.950000,9.950000,9.800000,9.800000,9.800000,38732
2020-07-07,10.000000,10.000000,9.794000,9.850000,9.850000,32921
2020-07-08,9.900000,10.030000,9.872700,10.000000,10.000000,201456
2020-07-09,9.950000,9.950000,9.900000,9.900000,9.900000,4001
2020-07-10,9.899800,9.964800,9.880000,9.964800,9.964800,13985
2020-07-13,10.000000,10.000000,9.935000,9.935000,9.935000,7491
2020-07-14,9.980000,10.000000,9.890000,10.000000,10.000000,5430
2020-07-15,9.910000,9.910000,9.910000,9.910000,9.910000,478
2020-07-16,9.920000,9.920000,9.910000,9.910000,9.910000,556
2020-07-17,9.910000,10.000000,9.910000,9.970000,9.970000,926
2020-07-20,9.980000,9.980000,9.950000,9.950000,9.950000,1427
2020-07-21,10.050000,10.050000,9.950000,9.950000,9.950000,13851
2020-07-22,9.980000,9.990000,9.950000,9.950000,9.950000,88580
2020-07-23,9.950000,9.970000,9.950000,9.970000,9.970000,40000
2020-07-24,9.970000,9.970000,9.970000,9.970000,9.970000,0
2020-07-27,10.020200,10.020200,9.975000,9.990000,9.990000,1730
2020-07-28,9.989900,9.990000,9.980000,9.990000,9.990000,732
2020-07-29,9.950000,9.950000,9.950000,9.950000,9.950000,758034
2020-07-30,9.920000,9.960000,9.920000,9.960000,9.960000,5925
2020-07-31,9.940000,9.970000,9.930000,9.960000,9.960000,14346
2020-08-03,9.990000,9.990000,9.900000,9.900000,9.900000,20613
2020-08-04,9.870000,9.930000,9.860000,9.860000,9.860000,5304
2020-08-05,9.860000,9.860000,9.860000,9.860000,9.860000,0
2020-08-06,9.860000,9.880000,9.860000,9.880000,9.880000,550432
2020-08-07,9.870000,9.900000,9.850000,9.850000,9.850000,108405
2020-08-10,9.945000,9.945000,9.860000,9.860000,9.860000,1674
2020-08-11,9.871500,9.905000,9.870000,9.870000,9.870000,157566
2020-08-12,9.920000,9.920000,9.860100,9.900000,9.900000,8043
2020-08-13,9.890000,9.900000,9.890000,9.900000,9.900000,1212013
2020-08-14,9.890000,9.940000,9.880000,9.930000,9.930000,88807
2020-08-17,9.950000,9.960000,9.870000,9.950000,9.950000,5134
2020-08-18,10.010000,10.010000,9.900000,9.900000,9.900000,1543
2020-08-19,9.900000,9.900000,9.900000,9.900000,9.900000,0
2020-08-20,9.850000,9.880000,9.850000,9.880000,9.880000,639
2020-08-21,9.870000,9.900000,9.850000,9.870000,9.870000,135585
2020-08-24,9.820000,9.821400,9.820000,9.821400,9.821400,380
2020-08-25,9.890000,9.900000,9.851900,9.890000,9.890000,3855
2020-08-26,9.900000,9.910000,9.870000,9.910000,9.910000,150305
2020-08-27,9.870000,9.915000,9.870000,9.910000,9.910000,2553
2020-08-28,9.880000,9.900000,9.880000,9.900000,9.900000,8196
2020-08-31,9.900000,9.900000,9.870000,9.870000,9.870000,4866
2020-09-01,9.870000,9.940000,9.870000,9.930000,9.930000,7017
2020-09-02,9.880000,9.940000,9.870000,9.870000,9.870000,27570
2020-09-03,9.870000,9.940000,9.870000,9.920000,9.920000,5730
2020-09-04,9.990000,9.990000,9.850000,9.880000,9.880000,27471
2020-09-08,9.970000,9.970000,9.880000,9.950000,9.950000,13017
2020-09-09,9.980000,10.020000,9.900000,9.910000,9.910000,10170
2020-09-10,10.000000,10.149900,9.920000,9.920000,9.920000,32030
2020-09-11,9.900000,9.900000,9.900000,9.900000,9.900000,116281
2020-09-14,9.900000,9.900000,9.900000,9.900000,9.900000,193
2020-09-15,10.000000,10.000000,9.850000,9.900000,9.900000,108976
2020-09-16,10.010000,10.010000,9.900000,9.900000,9.900000,52713
2020-09-17,9.940000,9.999900,9.940000,9.990000,9.990000,13261
2020-09-18,9.990000,10.100000,9.900000,10.050000,10.050000,43889
2020-09-21,9.880000,9.990000,9.880000,9.950000,9.950000,9680
2020-09-22,9.930000,9.980000,9.900000,9.980000,9.980000,98406
2020-09-23,9.950000,9.970000,9.920000,9.920000,9.920000,4235
2020-09-24,9.930000,9.980000,9.900000,9.950000,9.950000,29927
2020-09-25,9.950000,9.950000,9.890000,9.950000,9.950000,7709
2020-09-28,9.950000,9.950000,9.880000,9.930000,9.930000,20544
2020-09-29,9.950000,9.950000,9.880000,9.900000,9.900000,238898
2020-09-30,9.920000,9.950000,9.900000,9.950000,9.950000,61153
