Date,Open,High,Low,Close,Adj Close,Volume
2005-04-27,20.000000,20.010000,20.000000,20.010000,4.162086,24200
2005-04-28,20.000000,20.020000,20.000000,20.020000,4.164166,34200
2005-04-29,20.020000,20.020000,20.000000,20.000000,4.160006,12100
2005-05-02,20.049999,20.100000,20.000000,20.100000,4.180806,15100
2005-05-03,20.100000,20.600000,20.000000,20.299999,4.222405,23900
2005-05-04,20.420000,20.420000,20.110001,20.299999,4.222405,19700
2005-05-05,20.299999,20.450001,20.049999,20.200001,4.201606,24400
2005-05-06,20.299999,20.490000,20.200001,20.250000,4.212009,17900
2005-05-09,20.450001,20.500000,20.209999,20.209999,4.203686,22600
2005-05-10,20.150000,20.350000,20.150000,20.299999,4.222405,22900
2005-05-11,20.299999,20.299999,20.049999,20.150000,4.191208,24500
2005-05-12,20.250000,20.490000,20.049999,20.490000,4.261926,23600
2005-05-13,20.450001,20.500000,20.200001,20.450001,4.253607,9400
2005-05-16,20.350000,20.490000,20.260000,20.400000,4.243206,11800
2005-05-17,20.400000,20.400000,20.250000,20.250000,4.212009,7200
2005-05-18,20.299999,20.600000,20.280001,20.450001,4.253607,30600
2005-05-19,20.450001,20.500000,20.049999,20.309999,4.224484,25900
2005-05-20,20.250000,20.350000,20.170000,20.250000,4.212009,20500
2005-05-23,20.250000,20.250000,20.049999,20.240000,4.209925,15700
2005-05-24,20.200001,20.350000,20.100000,20.299999,4.222405,18100
2005-05-25,20.250000,20.490000,20.200001,20.400000,4.243206,22000
2005-05-26,20.500000,20.559999,20.120001,20.150000,4.191208,22000
2005-05-27,20.150000,20.299999,20.059999,20.059999,4.172485,18200
2005-05-31,20.000000,20.090000,20.000000,20.000000,4.160006,120600
2005-06-01,20.139999,20.139999,20.000000,20.100000,4.180806,13600
2005-06-02,20.049999,20.100000,20.000000,20.100000,4.180806,77300
2005-06-03,20.000000,20.090000,20.000000,20.030001,4.166244,21300
2005-06-06,20.049999,20.049999,20.000000,20.020000,4.164166,10400
2005-06-07,20.000000,20.100000,20.000000,20.100000,4.180806,21000
2005-06-08,20.100000,20.100000,19.959999,19.969999,4.153766,12200
2005-06-09,20.000000,20.030001,19.820000,20.000000,4.160006,51500
2005-06-10,20.010000,20.100000,20.000000,20.100000,4.180806,25300
2005-06-13,20.090000,20.190001,20.020000,20.049999,4.170406,16500
2005-06-14,20.120001,20.250000,20.000000,20.110001,4.182888,25600
2005-06-15,20.059999,20.150000,20.000000,20.049999,4.170406,24100
2005-06-16,20.059999,20.059999,20.000000,20.010000,4.162086,15900
2005-06-17,20.000000,20.010000,19.980000,20.010000,4.162086,17500
2005-06-20,20.000000,20.150000,19.879999,20.110001,4.182888,18800
2005-06-21,20.049999,20.150000,19.990000,20.049999,4.170406,18800
2005-06-22,20.000000,20.240000,20.000000,20.240000,4.209925,24700
2005-06-23,20.240000,20.250000,20.010000,20.049999,4.170406,17700
2005-06-24,20.049999,20.100000,19.990000,20.049999,4.170406,21300
2005-06-27,20.100000,20.100000,19.990000,20.090000,4.178724,24700
2005-06-28,20.090000,20.100000,20.000000,20.090000,4.178724,21800
2005-06-29,20.090000,20.150000,20.000000,20.100000,4.180806,19700
2005-06-30,20.150000,20.200001,19.900000,20.049999,4.170406,30300
2005-07-01,20.150000,20.400000,19.879999,20.200001,4.201606,33000
2005-07-05,20.120001,20.500000,19.879999,20.250000,4.212009,14600
2005-07-06,20.400000,20.400000,20.000000,20.240000,4.209925,27300
2005-07-07,20.250000,20.440001,20.000000,20.350000,4.232806,17900
2005-07-08,20.400000,20.430000,20.200001,20.400000,4.243206,19500
2005-07-11,20.400000,20.440001,20.299999,20.400000,4.243206,9600
2005-07-12,20.400000,20.799999,20.350000,20.500000,4.264004,19900
2005-07-13,20.150000,20.450001,20.150000,20.350000,4.295671,15200
2005-07-14,20.400000,20.629999,20.270000,20.629999,4.354773,22100
2005-07-15,20.500000,20.600000,20.379999,20.600000,4.348443,13500
2005-07-18,20.600000,20.600000,20.200001,20.320000,4.289337,17400
2005-07-19,20.400000,20.549999,20.309999,20.450001,4.316779,16400
2005-07-20,20.500000,20.590000,20.150000,20.400000,4.306224,22800
2005-07-21,20.400000,20.549999,20.150000,20.490000,4.325222,25100
2005-07-22,20.500000,20.549999,20.170000,20.340000,4.293557,23300
2005-07-25,20.299999,20.379999,20.010000,20.150000,4.253453,23100
2005-07-26,20.190001,20.299999,19.900000,19.900000,4.200679,41200
2005-07-27,20.000000,20.250000,19.900000,20.000000,4.221788,52400
2005-07-28,19.799999,19.980000,19.719999,19.750000,4.169017,63800
2005-07-29,19.650000,20.090000,19.650000,19.950001,4.211234,27900
2005-08-01,20.000000,20.100000,19.900000,20.090000,4.240783,45500
2005-08-02,20.000000,20.250000,19.900000,20.139999,4.251340,47100
2005-08-03,20.030001,20.299999,19.950001,20.209999,4.266118,96700
2005-08-04,20.299999,20.700001,20.250000,20.450001,4.316779,88800
2005-08-05,20.500000,20.590000,20.350000,20.350000,4.295671,58300
2005-08-08,20.450001,20.500000,20.100000,20.100000,4.242898,66900
2005-08-09,20.110001,20.480000,20.100000,20.480000,4.323111,33300
2005-08-10,20.480000,20.690001,20.400000,20.450001,4.316779,38800
2005-08-11,20.450001,20.690001,20.400000,20.600000,4.348443,43800
2005-08-12,20.680000,21.250000,20.500000,20.650000,4.358997,96900
2005-08-15,20.600000,20.950001,20.410000,20.799999,4.390658,43900
2005-08-16,20.969999,20.980000,20.400000,20.709999,4.371660,49700
2005-08-17,20.799999,20.799999,20.410000,20.650000,4.358997,41000
2005-08-18,20.700001,20.900000,20.400000,20.639999,4.356887,58200
2005-08-19,20.650000,20.660000,20.299999,20.660000,4.361109,31200
2005-08-22,20.549999,20.700001,20.150000,20.549999,4.337884,40600
