Date,Open,High,Low,Close,Adj Close,Volume
2017-09-15,40.779999,40.779999,40.590000,40.630001,38.266441,3200
2017-09-18,40.950001,40.950001,40.680000,40.709999,38.341797,9000
2017-09-19,40.860001,40.860001,40.687000,40.710999,38.342735,3200
2017-09-20,40.889999,40.889999,40.590000,40.759998,38.388882,8000
2017-09-21,40.919998,40.919998,40.709999,40.709999,38.341797,4300
2017-09-22,40.889999,40.889999,40.650002,40.799999,38.426556,5800
2017-09-25,40.805000,40.840000,40.639999,40.779999,38.407719,12500
2017-09-26,40.889999,40.889999,40.820000,40.830002,38.454815,800
2017-09-27,41.028999,41.029999,40.799999,40.980000,38.596085,7400
2017-09-28,40.919998,41.029999,40.919998,41.029999,38.643177,700
2017-09-29,41.290001,41.290001,41.105000,41.169998,38.775028,5500
2017-10-02,41.314999,41.340000,41.314999,41.340000,38.935146,4300
2017-10-03,41.380001,41.430000,41.340000,41.419998,39.010483,2900
2017-10-04,41.549999,41.575001,41.549999,41.560001,39.142353,14800
2017-10-05,41.619999,41.720001,41.619999,41.720001,39.293037,2100
2017-10-06,41.680000,41.680000,41.599998,41.608002,39.187550,1100
2017-10-09,41.537998,41.537998,41.500000,41.520000,39.104671,10600
2017-10-10,41.654999,41.660000,41.590000,41.599998,39.180019,4000
2017-10-11,41.630001,41.630001,41.601002,41.601002,39.180965,400
2017-10-12,41.590000,41.709999,41.590000,41.689999,39.264782,1400
2017-10-13,41.950001,41.950001,41.750000,41.750000,39.321297,9400
2017-10-16,41.750000,41.750000,41.688000,41.709999,39.283615,900
2017-10-17,41.666000,41.689999,41.657001,41.689999,39.264782,3400
2017-10-18,41.686001,41.779999,41.686001,41.750000,39.321297,5200
2017-10-19,41.820000,41.820000,41.650002,41.770000,39.340126,3700
2017-10-20,41.860001,42.029999,41.860001,42.029999,39.585007,1200
2017-10-23,42.139999,42.139999,41.980000,41.980000,39.537914,4600
2017-10-24,41.919998,41.939999,41.889000,41.939999,39.500237,900
2017-10-25,41.700001,41.700001,41.459999,41.646000,39.223347,1800
2017-10-26,41.714001,41.748001,41.709999,41.720001,39.293037,600
2017-10-27,41.599998,41.790001,41.595001,41.790001,39.358971,29200
2017-10-30,41.680000,41.680000,41.542999,41.560001,39.142353,10100
2017-10-31,41.709999,41.720001,41.709999,41.720001,39.293037,800
2017-11-01,42.070000,42.070000,41.669998,41.669998,39.245945,3000
2017-11-02,41.637001,41.770000,41.630001,41.639999,39.217686,3100
2017-11-03,41.730000,41.730000,41.726002,41.726002,39.298698,500
2017-11-06,41.880001,41.930000,41.880001,41.930000,39.490822,4600
2017-11-07,41.985001,42.040001,41.840000,41.855000,39.420181,11400
2017-11-08,41.900002,41.900002,41.882999,41.895000,39.457855,13800
2017-11-09,41.849998,41.889999,41.820000,41.889999,39.453152,3300
2017-11-10,41.810001,41.825001,41.744999,41.825001,39.391930,4900
2017-11-13,41.849998,41.860001,41.842999,41.860001,39.424892,1700
2017-11-14,41.820000,41.860001,41.790001,41.849998,39.415478,30300
2017-11-15,41.639999,41.639999,41.639999,41.639999,39.217686,25200
2017-11-16,41.924999,42.039001,41.924999,42.029999,39.585007,2000
2017-11-17,41.974998,42.015999,41.974998,42.009998,39.566170,5700
2017-11-20,41.950001,42.080002,41.950001,42.044998,39.599129,5300
2017-11-21,42.400002,42.400002,42.237999,42.244999,39.787495,17600
2017-11-22,42.215000,42.270000,42.215000,42.250000,39.792198,3700
2017-11-24,42.365002,42.374001,42.365002,42.365002,39.900509,600
2017-11-27,42.290001,42.290001,42.200001,42.220001,39.763954,3600
2017-11-28,42.360001,42.669998,42.360001,42.660000,40.178352,8700
2017-11-29,42.810001,42.810001,42.700001,42.724998,40.239571,17500
2017-11-30,42.880001,43.280998,42.880001,43.250000,40.734028,3600
2017-12-01,43.230000,43.230000,42.689999,43.014999,40.512711,2200
2017-12-04,43.305000,43.305000,43.075001,43.075001,40.569214,3500
2017-12-05,43.049999,43.049999,42.840000,42.840000,40.347881,5800
2017-12-06,42.794998,42.819000,42.731998,42.759998,40.272526,6700
2017-12-07,42.849998,43.009998,42.849998,42.959999,40.460903,3300
2017-12-08,43.115002,43.215000,43.115002,43.209999,40.696358,1700
2017-12-11,43.224998,43.224998,43.200001,43.200001,40.686943,500
2017-12-12,43.349998,43.349998,43.310001,43.310001,40.790546,4100
2017-12-13,43.286999,43.286999,43.250000,43.250000,40.734028,900
2017-12-14,43.205002,43.240002,43.205002,43.240002,40.724613,400
2017-12-15,43.389999,43.455002,43.389999,43.410000,40.884724,1800
2017-12-18,45.709999,45.709999,43.689999,43.714001,41.171043,34600
2017-12-19,43.730000,43.730000,43.570000,43.570000,41.035416,4200
2017-12-20,43.590000,43.590000,43.500000,43.560001,41.026005,6200
2017-12-21,43.395000,43.439999,43.395000,43.400002,41.096073,2500
2017-12-22,43.450001,43.450001,43.320000,43.389999,41.086601,13700
2017-12-26,43.459999,43.459999,43.360001,43.360001,41.058205,8100
2017-12-27,43.485001,43.485001,43.349998,43.349998,41.048725,46700
2017-12-28,43.599998,43.599998,43.470001,43.474998,41.167088,14600
2017-12-29,43.599998,43.599998,43.479000,43.479000,41.170879,2200
2018-01-02,43.480000,43.660000,43.480000,43.660000,41.342266,4100
2018-01-03,44.060001,44.060001,43.793999,43.908001,41.577106,2200
2018-01-04,44.118999,44.119999,44.042000,44.080002,41.739967,7100
2018-01-05,44.209999,44.209999,44.145000,44.205002,41.858341,69500
2018-01-08,44.419998,44.439999,44.419998,44.430000,42.071392,1100
2018-01-09,44.540001,44.595001,44.500000,44.595001,42.227638,36600
2018-01-10,44.480000,44.480000,44.284000,44.398998,42.042034,9600
2018-01-11,44.520000,44.669998,44.480000,44.669998,42.298656,17100
2018-01-12,44.884998,44.959999,44.820000,44.959999,42.573261,3000
2018-01-16,45.290001,45.290001,44.660000,44.814999,42.435955,10300
2018-01-17,45.099998,45.224998,44.830002,45.118999,42.723816,5200
2018-01-18,45.209999,45.240002,44.950001,45.000000,42.611141,19200
2018-01-19,45.180000,45.305000,45.110001,45.305000,42.899944,2200
2018-01-22,45.334999,45.639999,45.310001,45.595001,43.174549,25300
2018-01-23,45.619999,45.820000,45.619999,45.820000,43.387600,8400
2018-01-24,45.910000,45.939999,45.599998,45.785000,43.354462,8200
2018-01-25,46.000000,46.000000,45.720001,45.750000,43.321320,6300
2018-01-26,45.849998,46.220001,45.849998,46.220001,43.766365,1800
2018-01-29,46.270000,46.270000,45.889999,45.930000,43.491764,7000
2018-01-30,45.480000,45.580002,45.360001,45.410000,42.999363,33600
2018-01-31,45.554001,45.634998,45.270000,45.410000,42.999363,24600
2018-02-01,45.308998,45.430000,45.250000,45.380001,42.970963,9400
2018-02-02,45.189999,45.189999,44.419998,44.430000,42.071392,26600
2018-02-05,44.430000,44.450001,42.740002,42.740002,40.471111,25300
2018-02-06,42.240002,43.259998,42.060001,43.259998,40.963501,14000
2018-02-07,43.654999,43.790001,43.330002,43.330002,41.029793,10200
2018-02-08,43.230000,43.270000,41.680000,41.689999,39.476852,8100
2018-02-09,42.299999,42.325001,41.009998,42.240002,39.997654,9900
2018-02-12,42.770000,42.990002,42.419998,42.759998,40.490044,26000
2018-02-13,42.599998,43.009998,42.599998,42.930000,40.651020,5800
2018-02-14,42.799999,43.540001,42.799999,43.540001,41.228634,6300
2018-02-15,43.450001,43.930000,43.450001,43.930000,41.597939,4000
2018-02-16,43.930000,44.299999,43.930000,44.029999,41.692627,10100
2018-02-20,43.889999,44.058998,43.623001,43.750000,41.427486,4700
2018-02-21,43.840000,44.119999,43.750000,43.779999,41.455894,9100
2018-02-22,43.744999,43.811001,43.485001,43.490002,41.181293,6600
2018-02-23,43.730000,44.098999,43.730000,44.080002,41.739967,7800
2018-02-26,44.310001,44.500000,44.169998,44.430000,42.071392,22800
2018-02-27,44.439999,44.575001,44.110001,44.130001,41.787315,5500
2018-02-28,44.090000,44.090000,43.509998,43.509998,41.200237,9500
2018-03-01,43.389999,43.470001,42.750000,42.860001,40.584740,6200
2018-03-02,42.669998,43.150002,42.669998,43.076000,40.789272,17800
2018-03-05,43.564999,43.840000,43.564999,43.770000,41.446434,2900
2018-03-06,43.799999,43.938000,43.799999,43.938000,41.605511,1500
2018-03-07,43.840000,43.840000,43.720001,43.820000,41.493782,1800
2018-03-08,44.125999,44.125999,44.009998,44.019001,41.682217,2300
2018-03-09,44.450001,44.764000,44.450001,44.764000,42.387657,4400
2018-03-12,44.950001,44.959999,44.814999,44.814999,42.435955,7900
2018-03-13,44.959999,44.987000,44.560001,44.617001,42.248470,9700
2018-03-14,44.779999,44.779999,44.375999,44.375999,42.020264,16500
2018-03-15,44.380001,44.490002,44.320000,44.320000,41.967228,3200
2018-03-16,44.560001,44.560001,44.470001,44.477001,42.115902,3000
2018-03-19,44.279999,44.279999,43.785000,44.000000,41.664219,3000
2018-03-20,44.035000,44.110001,43.959999,44.036999,41.699253,3200
2018-03-21,44.130001,44.250000,43.980000,44.000000,41.664219,10600
2018-03-22,44.139999,44.139999,43.077999,43.090000,40.802532,22000
2018-03-23,43.060001,43.060001,42.931000,42.950001,40.803482,1200
2018-03-26,42.680000,42.990002,42.419998,42.990002,40.841480,4100
2018-03-27,43.240002,43.240002,42.439999,42.439999,40.318966,5000
2018-03-28,42.480000,42.720001,42.480000,42.539001,40.413025,1900
2018-03-29,43.139999,43.160000,43.130001,43.130001,40.974480,5300
2018-04-02,42.709000,42.709000,41.664001,42.029999,39.929455,48200
2018-04-03,42.060001,42.439999,42.060001,42.376999,40.259113,7500
2018-04-04,42.285000,43.029999,42.238998,43.000000,40.850983,7700
2018-04-05,43.230000,43.338001,43.139999,43.338001,41.172089,3100
2018-04-06,43.023998,43.023998,42.160000,42.400002,40.280972,6500
2018-04-09,42.570000,42.865002,42.570000,42.575001,40.447220,1500
2018-04-10,42.990002,43.090000,42.919998,43.049999,40.898483,8300
2018-04-11,42.939999,43.029999,42.799999,42.799999,40.660973,6700
2018-04-12,43.070000,43.169998,43.009998,43.090000,40.936485,26600
2018-04-13,43.220001,43.220001,42.840000,42.980000,40.831982,4500
2018-04-16,43.330002,43.495998,43.330002,43.410000,41.240494,2800
2018-04-17,43.648998,43.884998,43.648998,43.799999,41.611000,284800
2018-04-18,43.970001,44.060001,43.957001,43.990002,41.791504,2100
2018-04-19,43.869999,43.869999,43.650002,43.650002,41.468498,600
2018-04-20,43.577000,43.610001,43.327000,43.330002,41.164494,1900
2018-04-23,43.389999,43.470001,43.220001,43.220001,41.059982,1700
2018-04-24,43.439999,43.439999,42.715000,42.807999,40.668571,2200
2018-04-25,42.750000,42.900002,42.750000,42.799999,40.660973,4400
2018-04-26,43.279999,43.419998,43.279999,43.419998,41.249989,2900
2018-04-27,43.369999,43.369999,43.369999,43.369999,41.202488,1000
2018-04-30,43.480000,43.480000,43.087002,43.130001,40.974480,17700
