Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,5.250000,5.250000,5.250000,5.250000,5.250000,300
2015-02-03,5.020000,5.300000,4.520000,5.300000,5.300000,3900
2015-02-04,5.250000,5.320000,5.250000,5.320000,5.320000,5100
2015-02-05,5.030000,5.250000,4.654000,5.250000,5.250000,3300
2015-02-06,5.250000,5.250000,4.700000,5.100000,5.100000,4100
2015-02-09,4.720000,5.000000,4.370000,4.970000,4.970000,8700
2015-02-10,4.700000,4.940000,4.500000,4.876000,4.876000,5100
2015-02-11,4.630000,4.890000,4.600000,4.890000,4.890000,1100
2015-02-12,4.350000,4.750000,4.300000,4.700000,4.700000,4700
2015-02-13,4.510000,4.930000,4.420000,4.890000,4.890000,11600
2015-02-17,4.910000,5.200000,4.900000,4.900000,4.900000,12400
2015-02-18,4.948000,4.950000,4.948000,4.950000,4.950000,200
2015-02-19,4.760000,4.780000,4.750000,4.750000,4.750000,1500
2015-02-20,4.750000,4.750000,4.750000,4.750000,4.750000,0
2015-02-23,4.670000,4.670000,4.500000,4.500000,4.500000,800
2015-02-24,4.950000,4.950000,4.280000,4.900000,4.900000,2300
2015-02-25,4.950000,4.950000,4.800000,4.850000,4.850000,22300
2015-02-26,4.850000,4.899000,4.850000,4.870000,4.870000,12200
2015-02-27,4.890000,4.890000,4.500000,4.500000,4.500000,13500
2015-03-02,4.750000,4.750000,4.500000,4.500000,4.500000,2000
2015-03-03,4.690000,4.690000,4.600000,4.600000,4.600000,300
2015-03-04,4.660000,4.660000,4.600000,4.640000,4.640000,6700
2015-03-05,4.640000,4.672000,4.500000,4.500000,4.500000,5100
2015-03-06,4.540000,4.600000,4.400000,4.400000,4.400000,8000
2015-03-09,4.400000,4.400000,4.400000,4.400000,4.400000,1900
2015-03-10,4.600000,5.350000,4.570000,4.980000,4.980000,42500
2015-03-11,5.000000,5.100000,4.900000,4.940000,4.940000,5000
2015-03-12,4.610000,4.990000,4.610000,4.890000,4.890000,3000
2015-03-13,4.990000,5.050000,4.600000,4.700000,4.700000,26100
2015-03-16,4.660000,5.190000,4.650000,4.800000,4.800000,8200
2015-03-17,4.670000,4.970000,4.510000,4.790000,4.790000,12600
2015-03-18,4.740000,5.000000,4.740000,4.880000,4.880000,1700
2015-03-19,4.920000,4.920000,4.900000,4.900000,4.900000,200
2015-03-20,5.050000,5.090000,4.900000,4.950000,4.950000,14400
2015-03-23,4.990000,5.000000,4.700000,4.700000,4.700000,19400
2015-03-24,4.920000,4.960000,3.650000,4.220000,4.220000,33300
2015-03-25,4.220000,4.600000,4.100000,4.500000,4.500000,3900
2015-03-26,4.190000,4.720000,4.050000,4.490000,4.490000,24800
2015-03-27,4.470000,4.470000,4.231000,4.300000,4.300000,10700
2015-03-30,4.500000,4.500000,4.150000,4.250000,4.250000,11100
2015-03-31,4.230000,4.230000,3.460000,4.050000,4.050000,69900
2015-04-01,4.180000,4.250000,4.000000,4.150000,4.150000,14500
2015-04-02,4.250000,4.700000,3.764000,4.400000,4.400000,45300
2015-04-06,4.530000,4.750000,4.400000,4.620000,4.620000,65100
2015-04-07,4.130000,4.840000,4.130000,4.840000,4.840000,53800
2015-04-08,5.000000,5.000000,4.210000,4.720000,4.720000,24600
2015-04-09,4.530000,5.800000,4.390000,5.200000,5.200000,47000
2015-04-10,5.220000,5.220000,4.960000,4.960000,4.960000,11300
2015-04-13,4.970000,4.999000,4.500000,4.500000,4.500000,12700
2015-04-14,4.520000,4.520000,4.240000,4.290000,4.290000,29000
2015-04-15,4.500000,4.550000,4.150000,4.450000,4.450000,8700
2015-04-16,4.450000,4.450000,4.450000,4.450000,4.450000,100
2015-04-17,4.210000,4.210000,4.200000,4.200000,4.200000,5100
2015-04-20,4.150000,4.240000,3.710000,4.090000,4.090000,77700
2015-04-21,3.820000,4.300000,3.670000,4.268000,4.268000,41100
2015-04-22,4.450000,4.668000,3.900000,4.020000,4.020000,46800
2015-04-23,4.250000,4.250000,3.910000,3.950000,3.950000,9500
2015-04-24,4.193000,4.193000,3.940000,4.000000,4.000000,51600
2015-04-27,4.000000,4.800000,4.000000,4.240000,4.240000,306400
2015-04-28,4.340000,4.700000,3.860000,3.860000,3.860000,360300
2015-04-29,4.050000,4.400000,3.650000,4.330000,4.330000,179100
2015-04-30,3.990000,4.210000,3.830000,4.080000,4.080000,22700
2015-05-01,3.890000,3.960000,3.700000,3.800000,3.800000,16300
2015-05-04,4.000000,4.070000,3.860000,3.920000,3.920000,14600
2015-05-05,3.800000,4.000000,3.720000,4.000000,4.000000,4300
2015-05-06,3.750000,3.950000,3.750000,3.750000,3.750000,19700
2015-05-07,3.950000,3.950000,3.430000,3.840000,3.840000,76600
2015-05-08,3.630000,3.740000,3.570000,3.610000,3.610000,25400
2015-05-11,3.840000,3.840000,3.330000,3.500000,3.500000,10600
2015-05-12,3.339000,3.550000,3.110000,3.514000,3.514000,22200
2015-05-13,3.490000,3.510000,3.111000,3.510000,3.510000,22000
2015-05-14,3.400000,3.450000,3.310000,3.320000,3.320000,22400
2015-05-15,3.190000,3.850000,3.190000,3.730000,3.730000,200400
2015-05-18,3.800000,4.000000,3.760000,3.900000,3.900000,32700
2015-05-19,3.794000,3.890000,3.700000,3.890000,3.890000,3100
2015-05-20,3.750000,3.750000,3.750000,3.750000,3.750000,600
2015-05-21,3.900000,3.900000,3.550000,3.640000,3.640000,16300
2015-05-22,3.780000,3.780000,3.600000,3.700000,3.700000,7400
2015-05-26,3.560000,3.780000,3.520000,3.600000,3.600000,10700
2015-05-27,3.640000,3.670000,3.250000,3.620000,3.620000,52000
2015-05-28,3.610000,3.778000,3.510000,3.620000,3.620000,11900
2015-05-29,3.640000,3.770000,3.380000,3.700000,3.700000,77600
2015-06-01,3.430000,3.810000,3.430000,3.790000,3.790000,12700
2015-06-02,3.650000,3.741000,3.650000,3.720000,3.720000,800
2015-06-03,3.650000,3.680000,3.400000,3.630000,3.630000,9400
2015-06-04,3.700000,3.700000,3.520000,3.525000,3.525000,1100
2015-06-05,3.560000,3.700000,3.470000,3.470000,3.470000,7400
2015-06-08,3.450000,3.640000,3.410000,3.560000,3.560000,19700
2015-06-09,3.550000,3.820000,3.456000,3.820000,3.820000,26600
2015-06-10,3.820000,3.820000,3.550000,3.800000,3.800000,12500
2015-06-11,3.820000,3.820000,3.570000,3.810000,3.810000,12500
2015-06-12,3.800000,4.190000,3.800000,3.900000,3.900000,61900
2015-06-15,3.900000,3.940000,3.850000,3.910000,3.910000,5700
2015-06-16,4.000000,4.150000,3.700000,3.840000,3.840000,36400
2015-06-17,3.720000,4.140000,3.720000,3.950000,3.950000,19000
2015-06-18,4.150000,4.200000,3.850000,4.070000,4.070000,27100
2015-06-19,4.200000,4.340000,3.580000,3.850000,3.850000,235200
2015-06-22,3.980000,3.980000,3.800000,3.860000,3.860000,11800
2015-06-23,3.950000,3.950000,3.650000,3.690000,3.690000,15100
2015-06-24,3.680000,3.820000,3.600000,3.630000,3.630000,23500
2015-06-25,3.717000,3.717000,3.550000,3.690000,3.690000,34900
