Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,22.750000,23.100000,21.650000,22.400000,19.564917,4714900
2015-08-14,22.420000,23.040001,22.420000,22.750000,19.870619,667600
2015-08-17,22.740000,22.780001,22.010000,22.450001,19.608585,234100
2015-08-18,22.219999,22.520000,21.879999,22.500000,19.652260,248900
2015-08-19,22.260000,22.400000,22.100000,22.100000,19.302885,85000
2015-08-20,21.870001,22.100000,21.760000,22.000000,19.215546,123200
2015-08-21,21.950001,21.999001,21.650000,21.690001,18.944777,148900
2015-08-24,20.360001,21.320000,18.219999,21.120001,18.446917,183700
2015-08-25,22.450001,22.450001,21.250000,21.500000,18.778824,116200
2015-08-26,21.200001,21.870001,20.969999,21.420000,18.708952,277300
2015-08-27,21.120001,21.940001,20.959999,21.820000,19.058323,57200
2015-08-28,21.480000,21.809999,21.020000,21.430000,18.717684,214400
2015-08-31,21.000000,22.000000,21.000000,22.000000,19.215546,117900
2015-09-01,21.510000,22.415001,21.510000,22.040001,19.250479,260300
2015-09-02,21.549999,22.980000,21.549999,22.750000,19.870619,232900
2015-09-03,22.410000,22.750000,22.240000,22.610001,19.748337,111000
2015-09-04,22.719999,22.820000,22.090000,22.350000,19.521244,75700
2015-09-08,22.200001,22.440001,21.620001,21.900000,19.128195,198000
2015-09-09,22.299999,22.299999,21.681999,21.969999,19.189339,119700
2015-09-10,21.719999,22.219999,21.719999,21.950001,19.171869,141100
2015-09-11,21.750000,22.100000,21.559999,21.690001,18.944777,65700
2015-09-14,22.049999,22.049999,21.000000,21.280001,18.586670,101000
2015-09-15,21.139999,22.150000,21.139999,21.920000,19.145668,97600
2015-09-16,21.500000,22.000000,21.450001,21.799999,19.040854,162100
2015-09-17,21.520000,21.910000,21.500000,21.879999,19.110723,59300
2015-09-18,21.820000,22.160000,21.530001,21.969999,19.189339,180700
2015-09-21,22.190001,22.200001,21.500000,21.950001,19.171869,160800
2015-09-22,21.670000,22.280001,21.510000,22.240000,19.425163,116600
2015-09-23,22.370001,22.500000,21.870001,22.270000,19.451370,58800
2015-09-24,22.280001,22.480000,21.940001,21.990000,19.206804,171800
2015-09-25,22.250000,22.250000,21.070000,21.379999,18.674011,63200
2015-09-28,20.990000,21.209999,20.700001,20.930000,18.280968,105900
2015-09-29,20.900000,21.400000,20.709999,21.209999,18.525528,107500
2015-09-30,21.400000,22.046000,21.010000,21.799999,19.040854,1919100
2015-10-01,21.780001,22.170000,21.600000,21.879999,19.110723,83600
2015-10-02,21.500000,21.830000,20.850000,21.490000,18.770090,122700
2015-10-05,21.570000,22.469999,21.570000,22.469999,19.626053,268600
2015-10-06,22.350000,22.700001,22.090000,22.260000,19.442636,99400
2015-10-07,22.500000,23.090000,22.180000,23.040001,20.123911,205100
2015-10-08,22.969999,23.049999,22.270000,22.740000,19.861881,92000
2015-10-09,22.549999,22.610001,22.157000,22.260000,19.442636,38400
2015-10-12,22.260000,22.309999,21.660000,21.760000,19.005913,38300
2015-10-13,21.639999,22.245001,21.400000,22.100000,19.302885,67600
2015-10-14,22.070000,22.070000,21.379000,21.590000,18.857431,58200
2015-10-15,21.660000,22.350000,21.280001,22.320000,19.495039,75300
2015-10-16,22.370001,22.440001,21.299999,21.700001,18.953512,67700
2015-10-19,21.549999,22.200001,21.450001,22.110001,19.311621,106800
2015-10-20,22.080000,22.180000,21.600000,22.000000,19.215546,48200
2015-10-21,22.080000,22.155001,21.709999,21.940001,19.163137,97900
2015-10-22,21.910000,22.209999,21.469999,21.709999,18.962242,101600
2015-10-23,21.840000,21.959999,21.080000,21.670000,18.927311,73300
2015-10-26,21.650000,21.650000,21.000000,21.170000,18.490589,162100
2015-10-27,21.040001,21.629999,20.950001,21.520000,18.796295,117400
2015-10-28,21.010000,22.480000,20.900000,22.299999,19.477570,245500
2015-10-29,22.280001,22.280001,21.260000,21.879999,19.110723,105500
2015-10-30,21.840000,21.910000,21.389999,21.910000,19.136930,182000
2015-11-02,21.889999,22.320000,21.360001,22.000000,19.215546,101800
2015-11-03,22.000000,22.120001,21.820000,21.990000,19.206804,103500
