Date,Open,High,Low,Close,Adj Close,Volume
1997-01-09,3.037037,3.259259,2.814815,3.074074,1.663493,1608863
1997-01-10,3.259259,3.481481,3.037037,3.333333,1.803787,683100
1997-01-13,3.407407,3.481481,3.259259,3.296296,1.783746,641588
1997-01-14,3.259259,3.407407,3.222222,3.222222,1.743661,589613
1997-01-15,3.185185,3.296296,3.111111,3.259259,1.763702,318600
1997-01-16,3.222222,3.259259,3.148148,3.245370,1.756188,179550
1997-01-17,3.148148,3.259259,3.148148,3.259259,1.763702,97538
1997-01-20,3.259259,3.296296,3.111111,3.148148,1.703576,107663
1997-01-21,3.259259,3.296296,3.111111,3.111111,1.683534,118800
1997-01-22,3.296296,3.296296,3.111111,3.148148,1.703576,61425
1997-01-23,3.333333,3.333333,3.148148,3.148148,1.703576,134663
1997-01-24,3.148148,3.277778,3.148148,3.148148,1.703576,36450
1997-01-27,3.259259,3.555556,3.259259,3.407407,1.843871,412425
1997-01-28,3.370370,3.666667,3.370370,3.555556,1.924040,179213
1997-01-29,3.555556,3.666667,3.481481,3.481481,1.883955,109013
1997-01-30,3.666667,3.666667,3.481481,3.481481,1.883955,126563
1997-01-31,3.703704,3.851852,3.481481,3.629630,1.964123,248063
1997-02-03,3.851852,3.851852,3.629630,3.666667,1.984167,117113
1997-02-04,3.777778,3.777778,3.629630,3.629630,1.964123,162675
1997-02-05,3.629630,3.777778,3.629630,3.629630,1.964123,133313
1997-02-06,3.629630,3.740741,3.555556,3.555556,1.924040,200138
1997-02-07,3.555556,3.703704,3.555556,3.555556,1.924040,204525
1997-02-10,3.555556,3.703704,3.555556,3.555556,1.924040,23625
1997-02-11,3.555556,3.703704,3.555556,3.555556,1.924040,51638
1997-02-12,3.555556,3.703704,3.555556,3.555556,1.924040,67838
1997-02-13,3.555556,3.629630,3.407407,3.481481,1.883955,159300
1997-02-14,3.555556,3.555556,3.407407,3.555556,1.924040,59738
1997-02-18,3.555556,3.555556,3.407407,3.481481,1.883955,102938
1997-02-19,3.407407,3.555556,3.407407,3.407407,1.843871,78638
1997-02-20,3.407407,3.555556,3.333333,3.333333,1.803787,99563
1997-02-21,3.518519,3.518519,3.370370,3.370370,1.823828,17888
1997-02-24,3.370370,3.518519,3.296296,3.333333,1.803787,136350
1997-02-25,3.296296,3.444444,3.296296,3.296296,1.783746,37125
1997-02-26,3.333333,3.333333,3.296296,3.296296,1.783746,31725
1997-02-27,3.296296,3.370370,3.259259,3.370370,1.823828,70875
1997-02-28,3.370370,3.370370,3.259259,3.370370,1.823828,17550
1997-03-03,3.296296,3.370370,3.259259,3.259259,1.763702,14513
1997-03-04,3.259259,3.370370,3.259259,3.259259,1.763702,100575
1997-03-05,3.259259,3.370370,3.259259,3.296296,1.783746,69188
1997-03-06,3.351852,3.370370,3.296296,3.296296,1.783746,107663
1997-03-07,3.370370,3.370370,3.296296,3.370370,1.823828,62100
1997-03-10,3.370370,3.407407,3.333333,3.407407,1.843871,103613
1997-03-11,3.333333,3.481481,3.333333,3.481481,1.883955,187988
1997-03-12,3.481481,3.481481,3.407407,3.481481,1.883955,30375
1997-03-13,3.407407,3.481481,3.407407,3.481481,1.883955,85725
1997-03-14,3.481481,3.555556,3.407407,3.481481,1.883955,256163
1997-03-17,3.444444,3.555556,3.444444,3.444444,1.863913,79988
1997-03-18,3.407407,3.555556,3.407407,3.407407,1.843871,15525
1997-03-19,3.481481,3.518519,3.407407,3.518519,1.903998,43875
1997-03-20,3.407407,3.481481,3.074074,3.111111,1.683534,179888
1997-03-21,3.185185,3.185185,3.074074,3.185185,1.723619,21938
1997-03-24,3.074074,3.185185,3.037037,3.037037,1.643450,51975
1997-03-25,3.037037,3.185185,3.037037,3.037037,1.643450,24300
1997-03-26,3.111111,3.370370,3.074074,3.296296,1.789857,78975
1997-03-27,3.370370,3.444444,3.259259,3.259259,1.769745,36788
1997-03-31,3.407407,3.407407,3.259259,3.259259,1.769745,3713
1997-04-01,3.333333,3.333333,3.111111,3.296296,1.789857,38138
1997-04-02,3.111111,3.111111,3.111111,3.111111,1.689301,8438
1997-04-03,3.259259,3.259259,3.074074,3.074074,1.669192,5400
1997-04-04,3.222222,3.240741,3.074074,3.148148,1.709413,52988
1997-04-07,3.111111,3.148148,3.111111,3.111111,1.689301,4725
1997-04-08,3.115741,3.296296,3.111111,3.240741,1.759690,25988
1997-04-09,3.111111,3.148148,3.111111,3.148148,1.709413,15525
1997-04-10,3.111111,3.296296,3.111111,3.148148,1.709413,304425
1997-04-11,3.111111,3.148148,3.111111,3.148148,1.709413,52650
1997-04-14,3.148148,3.296296,3.148148,3.296296,1.789857,19575
1997-04-15,3.111111,3.296296,3.111111,3.185185,1.729525,21938
1997-04-16,3.148148,3.148148,3.148148,3.148148,1.709413,18900
1997-04-17,3.148148,3.180556,3.148148,3.148148,1.709413,4050
1997-04-18,3.148148,3.296296,3.148148,3.259259,1.769745,7088
1997-04-21,3.148148,3.296296,3.148148,3.185185,1.729525,78300
1997-04-22,3.296296,3.296296,3.148148,3.185185,1.729525,143775
1997-04-23,3.185185,3.185185,3.148148,3.148148,1.709413,72900
1997-04-24,3.148148,3.166667,3.148148,3.166667,1.719468,6075
1997-04-25,3.296296,3.296296,3.148148,3.148148,1.709413,5063
1997-04-28,3.166667,3.222222,3.148148,3.222222,1.749635,14513
1997-04-29,3.222222,3.222222,3.185185,3.185185,1.729525,17550
1997-04-30,3.148148,3.148148,3.148148,3.148148,1.709413,8775
1997-05-01,3.148148,3.185185,3.148148,3.185185,1.729525,56700
1997-05-02,3.148148,3.166667,3.148148,3.148148,1.709413,10800
1997-05-05,3.148148,3.296296,3.148148,3.296296,1.789857,18225
1997-05-06,3.148148,3.296296,3.148148,3.148148,1.709413,30713
1997-05-07,3.148148,3.148148,3.148148,3.148148,1.709413,3038
1997-05-08,3.333333,3.333333,3.148148,3.148148,1.709413,7088
1997-05-09,3.148148,3.333333,3.148148,3.148148,1.709413,14513
1997-05-12,3.148148,3.185185,3.148148,3.148148,1.709413,12150
1997-05-13,3.148148,3.222222,3.148148,3.222222,1.749635,12825
1997-05-14,3.148148,3.333333,3.148148,3.148148,1.709413,51300
1997-05-15,3.148148,3.148148,3.148148,3.148148,1.709413,1688
1997-05-16,3.148148,3.148148,3.148148,3.148148,1.709413,6413
1997-05-19,3.185185,3.185185,3.148148,3.148148,1.709413,92813
1997-05-20,3.166667,3.222222,3.148148,3.148148,1.709413,15863
1997-05-21,3.296296,3.296296,3.148148,3.259259,1.769745,18563
1997-05-22,3.259259,3.259259,3.148148,3.185185,1.729525,14513
1997-05-23,3.148148,3.240741,3.148148,3.148148,1.709413,38475
1997-05-27,3.148148,3.222222,3.148148,3.148148,1.709413,7425
1997-05-28,3.259259,3.333333,3.148148,3.148148,1.709413,29025
1997-05-29,3.185185,3.333333,3.185185,3.185185,1.729525,50625
1997-05-30,3.259259,3.333333,3.185185,3.333333,1.809967,6075
1997-06-02,3.333333,3.333333,3.185185,3.333333,1.809967,3713
1997-06-03,3.185185,3.333333,3.185185,3.333333,1.809967,27338
1997-06-04,3.407407,3.444444,3.259259,3.259259,1.769745,26325
1997-06-05,3.444444,3.444444,3.296296,3.296296,1.789857,11475
1997-06-06,3.444444,3.444444,3.333333,3.407407,1.850188,9113
1997-06-09,3.259259,3.407407,3.259259,3.407407,1.850188,3038
1997-06-10,3.259259,3.407407,3.259259,3.407407,1.850188,16538
1997-06-11,3.259259,3.407407,3.259259,3.333333,1.809967,66825
1997-06-12,3.333333,3.407407,3.259259,3.407407,1.850188,49275
1997-06-13,3.333333,3.407407,3.259259,3.370370,1.830077,11138
1997-06-16,3.407407,3.407407,3.259259,3.370370,1.830077,38138
1997-06-17,3.259259,3.407407,3.259259,3.407407,1.850188,6413
1997-06-18,3.259259,3.407407,3.259259,3.296296,1.789857,9113
1997-06-19,3.259259,3.407407,3.259259,3.259259,1.769745,11813
1997-06-20,3.259259,3.407407,3.259259,3.259259,1.769745,9113
1997-06-23,3.333333,3.518519,3.296296,3.370370,1.830077,91800
1997-06-24,3.518519,3.555556,3.370370,3.481481,1.890410,70875
1997-06-25,3.370370,3.555556,3.370370,3.370370,1.830077,100913
1997-06-26,3.518519,3.518519,3.333333,3.518519,1.910522,23625
1997-06-27,3.481481,3.518519,3.333333,3.518519,1.910522,19913
1997-06-30,3.518519,3.518519,3.333333,3.444444,1.870299,32400
1997-07-01,3.444444,3.444444,3.444444,3.444444,1.875947,0
1997-07-02,3.444444,3.444444,3.333333,3.333333,1.815432,97538
1997-07-03,3.370370,3.444444,3.333333,3.444444,1.875947,17213
1997-07-07,3.333333,3.518519,3.333333,3.333333,1.815432,38138
1997-07-08,3.333333,3.555556,3.333333,3.555556,1.936461,27000
1997-07-09,3.518519,3.555556,3.407407,3.407407,1.855776,34763
1997-07-10,3.407407,3.518519,3.407407,3.518519,1.916291,28013
1997-07-11,3.518519,3.518519,3.518519,3.518519,1.916291,0
1997-07-14,3.518519,3.518519,3.407407,3.407407,1.855776,12150
1997-07-15,3.407407,3.407407,3.407407,3.407407,1.855776,675
1997-07-16,3.518519,3.518519,3.407407,3.407407,1.855776,15525
1997-07-17,3.407407,3.518519,3.407407,3.518519,1.916291,9788
1997-07-18,3.407407,3.518519,3.407407,3.518519,1.916291,15188
