Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,9.850000,9.953000,9.850000,9.953000,9.953000,200
2021-04-20,9.850000,9.910000,9.820000,9.880000,9.880000,32500
2021-04-21,9.820000,9.850000,9.750000,9.800000,9.800000,140600
2021-04-22,9.798000,9.867000,9.790000,9.850000,9.850000,53000
2021-04-23,9.830000,9.860000,9.825000,9.840000,9.840000,46800
2021-04-26,9.850000,9.900000,9.850000,9.900000,9.900000,1700
2021-04-27,10.250000,10.250000,9.840000,9.850000,9.850000,21500
2021-04-28,9.840000,9.875000,9.830000,9.850000,9.850000,55000
2021-04-29,9.900000,9.900000,9.860000,9.860000,9.860000,8300
2021-04-30,9.900000,9.900000,9.850000,9.860000,9.860000,11500
2021-05-03,9.850000,9.870000,9.850000,9.850000,9.850000,28000
2021-05-04,9.875000,9.875000,9.850000,9.860000,9.860000,17100
2021-05-05,9.940000,9.940000,9.850000,9.850000,9.850000,234300
2021-05-06,9.900000,9.900000,9.850000,9.850000,9.850000,29600
2021-05-07,9.850000,9.865000,9.850000,9.850000,9.850000,79500
2021-05-10,9.860000,9.860000,9.850000,9.850000,9.850000,70700
2021-05-11,9.850000,9.870000,9.850000,9.870000,9.870000,12000
2021-05-12,9.870000,9.900000,9.870000,9.870000,9.870000,16200
2021-05-13,9.870000,9.870000,9.840000,9.870000,9.870000,500
2021-05-14,9.860000,9.880000,9.860000,9.880000,9.880000,1700
2021-05-17,9.870000,9.870000,9.810000,9.810000,9.810000,1300
2021-05-18,9.820000,9.820000,9.780000,9.800000,9.800000,13100
2021-05-19,9.850000,9.873000,9.725000,9.725000,9.725000,141900
2021-05-20,9.840000,9.840000,9.680000,9.780000,9.780000,7000
2021-05-21,9.820000,9.820000,9.723000,9.770000,9.770000,7400
2021-05-24,9.860000,9.860000,9.720000,9.740000,9.740000,10300
2021-05-25,9.900000,9.900000,9.770000,9.770000,9.770000,12900
2021-05-26,9.770000,9.869000,9.770000,9.775000,9.775000,51700
2021-05-27,9.800000,9.810000,9.750000,9.770000,9.770000,28400
2021-05-28,9.860000,9.860000,9.750000,9.760000,9.760000,55600
