Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,25.090000,25.180000,25.059999,25.174999,25.174999,579000
2021-04-05,25.320000,25.320000,25.177999,25.295000,25.295000,60000
2021-04-06,25.180000,25.260000,25.170000,25.250000,25.250000,83400
2021-04-07,25.205000,25.260000,25.174000,25.219999,25.219999,7400
2021-04-08,25.309999,25.365999,25.280001,25.350000,25.350000,17600
2021-04-09,25.370001,25.382000,25.299999,25.382000,25.382000,12300
2021-04-12,25.270000,25.290001,25.180000,25.285000,25.285000,22000
2021-04-13,25.309999,25.379999,25.290001,25.371000,25.371000,32000
2021-04-14,25.388000,25.388000,25.277000,25.360001,25.360001,15000
2021-04-15,25.469999,25.469999,25.365000,25.424999,25.424999,4900
2021-04-16,25.440001,25.559999,25.370001,25.504999,25.504999,217500
2021-04-19,25.530001,25.535000,25.433001,25.486000,25.486000,6500
2021-04-20,25.510000,25.510000,25.209999,25.319000,25.319000,55200
2021-04-21,25.292000,25.420000,25.292000,25.370001,25.370001,6800
2021-04-22,25.386000,25.430000,25.385000,25.385000,25.385000,2100
2021-04-23,25.440001,25.530001,25.430000,25.495001,25.495001,18000
2021-04-26,25.530001,25.530001,25.431000,25.465000,25.465000,3100
2021-04-27,25.500000,25.500000,25.379999,25.434999,25.434999,2400
2021-04-28,25.490000,25.535000,25.469999,25.530001,25.530001,15800
2021-04-29,25.520000,25.540001,25.400000,25.455000,25.455000,6400
2021-04-30,25.459999,25.459999,25.350000,25.350000,25.350000,10200
2021-05-03,25.450001,25.510000,25.448000,25.448000,25.448000,6500
2021-05-04,25.299999,25.330000,25.209000,25.315001,25.315001,9500
2021-05-05,25.320000,25.459999,25.320000,25.459999,25.459999,6400
2021-05-06,25.500000,25.520000,25.455000,25.480000,25.480000,1700
2021-05-07,25.660000,25.660000,25.584999,25.610001,25.610001,3800
2021-05-10,25.650000,25.670000,25.542999,25.552999,25.552999,3100
2021-05-11,25.440001,25.504999,25.417999,25.504999,25.504999,9500
2021-05-12,25.459999,25.459999,25.198000,25.225000,25.225000,6700
2021-05-13,25.219999,25.379999,25.219999,25.340000,25.340000,19700
2021-05-14,25.549999,25.549999,25.469999,25.520000,25.520000,10400
2021-05-17,25.389999,25.539000,25.389999,25.485001,25.485001,12300
2021-05-18,25.670000,25.670000,25.490000,25.535000,25.535000,13000
2021-05-19,25.410000,25.440001,25.343000,25.395000,25.395000,9700
2021-05-20,25.469999,25.559000,25.469999,25.521000,25.521000,3400
2021-05-21,25.530001,25.618000,25.530001,25.559999,25.559999,3000
2021-05-24,25.650000,25.680000,25.615000,25.615000,25.615000,1900
2021-05-25,25.610001,25.709999,25.610001,25.645000,25.645000,1300
2021-05-26,25.690001,25.690001,25.591999,25.631001,25.631001,8100
2021-05-27,25.629999,25.711000,25.621000,25.711000,25.711000,3400
2021-05-28,25.719999,25.788000,25.719999,25.735001,25.735001,3900
