Date,Open,High,Low,Close,Adj Close,Volume
2021-05-13,9.850000,9.850000,9.850000,9.850000,9.850000,5000
2021-05-14,9.850000,9.850000,9.850000,9.850000,9.850000,0
2021-05-17,9.850000,9.850000,9.850000,9.850000,9.850000,0
2021-05-18,9.850000,9.850000,9.850000,9.850000,9.850000,0
2021-05-19,9.850000,10.000000,9.850000,10.000000,10.000000,1400
2021-05-20,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-21,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-24,10.000000,10.000000,10.000000,10.000000,10.000000,400
2021-05-25,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-26,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-27,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-28,10.000000,10.000000,10.000000,10.000000,10.000000,0
