Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,9.550000,9.900000,9.550000,9.710000,9.710000,1068000
2021-03-05,9.890000,9.900000,9.700000,9.710000,9.710000,502500
2021-03-08,9.790000,9.790000,9.710000,9.760000,9.760000,914200
2021-03-09,9.770000,9.810000,9.710000,9.740000,9.740000,201100
2021-03-10,9.800000,9.800000,9.720000,9.780000,9.780000,294400
2021-03-11,9.800000,9.800000,9.720000,9.750000,9.750000,391300
2021-03-12,9.740000,9.760000,9.720000,9.760000,9.760000,410500
2021-03-15,9.770000,9.770000,9.700000,9.720000,9.720000,227400
2021-03-16,9.720000,9.750000,9.710000,9.740000,9.740000,638800
2021-03-17,9.710000,9.740000,9.710000,9.710000,9.710000,19700
2021-03-18,9.710000,9.720000,9.700000,9.700000,9.700000,115300
2021-03-19,9.715000,9.720000,9.700000,9.700000,9.700000,96500
2021-03-22,9.700000,9.730000,9.680000,9.710000,9.710000,102700
2021-03-23,9.700000,9.700000,9.650000,9.662000,9.662000,163100
2021-03-24,9.640000,9.680000,9.630000,9.630000,9.630000,160600
2021-03-25,9.642000,9.680000,9.540000,9.620000,9.620000,78900
2021-03-26,9.650000,9.670000,9.570000,9.640000,9.640000,40400
2021-03-29,9.660000,9.680000,9.620000,9.650000,9.650000,94600
2021-03-30,9.660000,9.730000,9.650000,9.700000,9.700000,268600
2021-03-31,9.690000,9.730000,9.670000,9.680000,9.680000,106400
2021-04-01,9.690000,9.780000,9.660000,9.760000,9.760000,80400
2021-04-05,9.760000,9.790000,9.750000,9.760000,9.760000,9800
2021-04-06,9.775000,9.790000,9.700000,9.780000,9.780000,20100
2021-04-07,9.770000,9.790000,9.770000,9.780000,9.780000,71900
2021-04-08,9.780000,9.810000,9.776000,9.810000,9.810000,48200
2021-04-09,9.800000,9.810000,9.773000,9.810000,9.810000,22600
2021-04-12,9.810000,9.810000,9.760000,9.780000,9.780000,7800
2021-04-13,9.755000,9.800000,9.750000,9.800000,9.800000,38900
2021-04-14,9.754000,9.810000,9.750000,9.800000,9.800000,18800
2021-04-15,9.780000,9.840000,9.780000,9.840000,9.840000,61400
2021-04-16,9.870000,9.870000,9.760000,9.790000,9.790000,103500
2021-04-19,9.840000,9.840000,9.780000,9.830000,9.830000,84400
2021-04-20,9.800000,9.850000,9.750000,9.750000,9.750000,58900
2021-04-21,9.760000,9.790000,9.720000,9.750000,9.750000,21000
2021-04-22,9.770000,9.790000,9.750000,9.750000,9.750000,47800
2021-04-23,9.750000,9.790000,9.750000,9.760000,9.760000,10900
2021-04-26,9.780000,9.780000,9.720000,9.770000,9.770000,130900
2021-04-27,9.760000,9.780000,9.730000,9.730000,9.730000,1300
2021-04-28,9.750000,9.770000,9.730000,9.760000,9.760000,8200
2021-04-29,9.740000,9.760000,9.720000,9.720000,9.720000,51800
2021-04-30,9.730000,9.770000,9.720000,9.770000,9.770000,151800
2021-05-03,9.760000,9.760000,9.750000,9.760000,9.760000,15600
2021-05-04,9.760000,9.770000,9.750000,9.770000,9.770000,47400
2021-05-05,9.750000,9.780000,9.750000,9.770000,9.770000,57900
2021-05-06,9.760000,9.800000,9.760000,9.770000,9.770000,94000
2021-05-07,9.740000,9.770000,9.740000,9.760000,9.760000,4800
2021-05-10,9.750000,9.760000,9.740000,9.760000,9.760000,1800
2021-05-11,9.760000,9.770000,9.740000,9.750000,9.750000,150700
2021-05-12,9.750000,9.760000,9.750000,9.750000,9.750000,147200
2021-05-13,9.750000,9.790000,9.740000,9.790000,9.790000,52800
2021-05-14,9.790000,9.790000,9.740000,9.740000,9.740000,60600
2021-05-17,9.740000,9.750000,9.740000,9.740000,9.740000,29200
2021-05-18,9.740000,9.741000,9.740000,9.740000,9.740000,34500
2021-05-19,9.740000,9.740000,9.710000,9.710000,9.710000,22300
2021-05-20,9.710000,9.720000,9.685000,9.690000,9.690000,4600
2021-05-21,9.680000,9.680000,9.640000,9.640000,9.640000,97400
2021-05-24,9.780000,9.780000,9.680000,9.690000,9.690000,99900
2021-05-25,9.870000,10.025000,9.830000,9.910000,9.910000,7183500
2021-05-26,9.890000,9.930000,9.860000,9.910000,9.910000,678600
2021-05-27,9.920000,9.920000,9.850000,9.860000,9.860000,457500
2021-05-28,9.890000,9.920000,9.860000,9.880000,9.880000,144900
