Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,26.100000,27.010000,25.500000,26.370001,26.058241,1429400
2016-12-12,26.600000,26.940001,25.459999,25.600000,25.297346,2419200
2016-12-13,25.590000,26.340000,25.450001,25.799999,25.494978,2587200
2016-12-14,25.799999,26.139999,25.540001,25.719999,25.415926,1547700
2016-12-15,25.570000,26.240000,24.950001,24.950001,24.655029,913400
2016-12-16,25.080000,25.750000,24.910000,25.610001,25.307228,919600
2016-12-19,25.510000,26.180000,25.360001,25.860001,25.554272,796500
2016-12-20,26.000000,26.209999,25.450001,25.480000,25.178764,833500
2016-12-21,25.309999,25.820000,25.299999,25.459999,25.158998,531800
2016-12-22,25.290001,25.780001,25.170000,25.660000,25.356636,376600
2016-12-23,25.660000,25.900000,25.469999,25.730000,25.425808,218400
2016-12-27,25.900000,25.900000,25.520000,25.790001,25.485102,399300
2016-12-28,25.730000,25.820000,24.959999,25.219999,24.921839,1176500
2016-12-29,25.100000,25.330000,24.820000,25.020000,24.724201,586100
2016-12-30,24.969999,25.280001,24.459999,24.540001,24.249876,824700
2017-01-03,24.410000,24.870001,23.930000,24.400000,24.111532,1759200
2017-01-04,24.350000,25.129999,24.290001,25.030001,24.734085,1360500
2017-01-05,24.600000,25.680000,24.600000,25.650000,25.346754,1360700
2017-01-06,25.600000,26.219999,25.510000,25.870001,25.564154,1305100
2017-01-09,25.719999,26.270000,25.350000,26.010000,25.702499,1187800
2017-01-10,25.910000,26.420000,25.851000,26.200001,25.890253,818000
2017-01-11,26.389999,26.760000,26.100000,26.410000,26.097769,712400
2017-01-12,26.270000,26.450001,26.090000,26.180000,25.870489,702200
2017-01-13,26.290001,26.570000,26.180000,26.360001,26.048361,534100
2017-01-17,26.450001,26.590000,26.040001,26.200001,25.890253,643100
2017-01-18,26.139999,26.590000,26.000000,26.110001,25.801315,983200
2017-01-19,25.850000,26.219999,25.830000,25.940001,25.633326,575000
2017-01-20,25.760000,26.070000,25.650000,26.010000,25.702499,704500
2017-01-23,25.799999,26.290001,25.750000,26.030001,25.722261,792000
2017-01-24,25.870001,26.660000,25.830000,26.590000,26.275640,580300
2017-01-25,26.549999,26.900000,26.420000,26.730000,26.413984,437300
2017-01-26,26.580000,27.059999,26.561001,27.049999,26.730204,365700
2017-01-27,27.100000,27.139999,26.690001,26.760000,26.443632,606500
2017-01-30,26.760000,26.840000,26.510000,26.650000,26.334932,747700
2017-01-31,26.600000,26.980000,26.410000,26.790001,26.473278,654800
2017-02-01,26.840000,26.889999,26.389999,26.650000,26.334932,676000
2017-02-02,26.690001,26.690001,26.430000,26.600000,26.285524,385700
2017-02-03,26.500000,26.680000,26.379999,26.620001,26.305288,327500
2017-02-06,26.450001,26.559999,26.139999,26.540001,26.226234,388900
2017-02-07,26.430000,26.709999,26.320000,26.360001,26.048361,607400
2017-02-08,26.120001,26.284000,25.905001,25.980000,25.672852,762800
2017-02-09,25.650000,26.389999,25.510000,26.270000,25.959425,650800
2017-02-10,26.200001,26.725000,26.200001,26.639999,26.325050,296600
2017-02-13,26.139999,26.830000,25.870001,26.500000,26.186705,566100
2017-02-14,26.280001,26.540001,26.110001,26.350000,26.038479,378900
2017-02-15,26.230000,26.549999,26.129999,26.280001,25.969305,679800
2017-02-16,26.200001,26.485001,25.889999,26.090000,25.781553,665100
2017-02-17,25.950001,26.219999,25.680000,25.809999,25.504860,248100
2017-02-21,25.680000,26.285000,25.559999,25.719999,25.415926,450200
2017-02-22,25.590000,25.760000,25.540001,25.680000,25.376400,283800
2017-02-23,25.549999,25.750000,25.190001,25.350000,25.050303,431500
2017-02-24,25.110001,25.320000,24.990000,25.160000,24.862547,303100
2017-02-27,24.879999,25.270000,24.770000,25.030001,24.734085,628500
2017-02-28,24.990000,25.120001,24.900000,24.980000,24.684673,951700
2017-03-01,25.110001,25.500000,24.959999,25.340000,25.040421,914400
2017-03-02,25.250000,25.389999,24.690001,24.719999,24.427748,381300
2017-03-03,24.740000,25.010000,24.629999,24.820000,24.526567,358800
2017-03-06,24.830000,24.879999,24.480000,24.639999,24.348694,412500
2017-03-07,24.700001,24.750000,24.260000,24.309999,24.022594,456400
2017-03-08,24.129999,24.690001,24.129999,24.440001,24.151060,468700
2017-03-09,24.280001,24.500000,24.059999,24.450001,24.160942,396900
2017-03-10,24.600000,24.780001,24.120001,24.180000,23.894133,408200
2017-03-13,24.309999,24.400000,23.910000,24.010000,23.726143,275700
2017-03-14,23.860001,23.930000,23.680000,23.730000,23.449453,281000
2017-03-15,23.790001,23.920000,23.230000,23.629999,23.350634,382000
2017-03-16,23.740000,23.900000,23.540001,23.700001,23.419807,274700
2017-03-17,23.650000,23.940001,23.610001,23.680000,23.400043,1037000
2017-03-20,23.209999,23.610001,22.870001,23.500000,23.222174,372800
2017-03-21,23.600000,23.650000,22.719999,22.980000,22.708321,607000
2017-03-22,22.870001,23.309999,22.740000,23.200001,22.925720,352500
2017-03-23,23.059999,24.230000,23.059999,23.330000,23.054182,639300
2017-03-24,23.440001,24.139999,23.240000,23.930000,23.647089,815900
2017-03-27,23.660000,24.780001,23.570000,24.709999,24.417866,1240300
2017-03-28,24.500000,24.750000,24.340000,24.510000,24.220232,486500
2017-03-29,24.520000,24.850000,24.490000,24.629999,24.338812,370900
2017-03-30,24.480000,24.680000,24.370001,24.530001,24.239994,223800
2017-03-31,24.520000,24.620001,24.280001,24.379999,24.091768,379200
2017-04-03,24.379999,24.438000,24.010000,24.299999,24.012714,690700
2017-04-04,24.290001,24.490000,24.040001,24.309999,24.022594,423400
2017-04-05,24.280001,24.480000,23.690001,23.750000,23.469215,439800
2017-04-06,23.740000,23.795000,23.150000,23.230000,22.955362,350600
2017-04-07,23.170000,23.309999,22.855000,23.280001,23.004774,984500
2017-04-10,23.120001,23.309999,23.020000,23.160000,22.886194,527900
2017-04-11,22.969999,23.510000,22.969999,23.200001,22.925720,486000
2017-04-12,23.260000,23.420000,23.110001,23.280001,23.004774,243800
2017-04-13,23.139999,23.629999,23.139999,23.320000,23.044300,407200
2017-04-17,23.280001,23.580000,23.180000,23.540001,23.261702,400600
2017-04-18,23.559999,23.760000,23.480000,23.629999,23.350634,298700
2017-04-19,23.820000,23.910000,23.690001,23.730000,23.449453,261100
2017-04-20,23.770000,24.070000,23.700001,23.889999,23.607561,498200
2017-04-21,23.820000,24.160000,23.809999,23.900000,23.617443,347300
2017-04-24,24.110001,24.110001,23.670000,23.780001,23.498863,225700
2017-04-25,23.879999,24.200001,23.742001,23.980000,23.696497,345100
2017-04-26,24.219999,24.230000,23.940001,24.129999,23.844723,383900
2017-04-27,24.180000,24.385000,23.959999,24.000000,23.716261,478000
2017-04-28,23.889999,23.990000,23.500000,23.850000,23.568035,513400
2017-05-01,23.969999,24.090000,23.660000,23.830000,23.548269,462800
2017-05-02,23.850000,23.930000,23.360001,23.549999,23.271582,623300
2017-05-03,23.430000,23.430000,22.850000,22.889999,22.619383,742300
2017-05-04,22.900000,23.059999,22.590000,23.030001,22.757730,668700
2017-05-05,23.010000,23.165001,22.750000,22.850000,22.579857,657300
2017-05-08,22.850000,22.969999,22.680000,22.850000,22.579857,557300
2017-05-09,22.870001,23.059999,22.730000,23.010000,22.737967,301500
2017-05-10,22.950001,23.420000,22.719999,23.370001,23.093710,547500
2017-05-11,23.240000,23.580000,22.959999,23.340000,23.064064,337000
2017-05-12,23.240000,23.770000,23.240000,23.719999,23.439571,528400
2017-05-15,23.879999,24.150000,23.559999,23.650000,23.370398,407700
2017-05-16,23.590000,23.730000,23.270000,23.290001,23.014656,192000
2017-05-17,23.000000,23.049999,22.530001,22.600000,22.332813,305500
2017-05-18,22.510000,22.820000,22.500000,22.719999,22.451395,251400
2017-05-19,22.680000,23.469999,22.680000,23.379999,23.103590,492500
2017-05-22,23.299999,24.010000,23.299999,23.820000,23.538389,382700
2017-05-23,23.830000,23.860001,23.219999,23.450001,23.172764,397500
2017-05-24,23.320000,23.540001,23.000000,23.139999,22.866428,583800
2017-05-25,23.219999,23.580000,23.000000,23.450001,23.172764,496900
2017-05-26,23.770000,25.750000,23.770000,25.559999,25.257818,885500
2017-05-30,25.410000,25.559999,24.740000,25.219999,24.921839,589500
2017-05-31,25.090000,25.370001,24.590000,25.290001,24.991013,941900
2017-06-01,25.049999,26.059999,25.030001,26.030001,25.722261,489700
2017-06-02,26.250000,26.350000,25.900000,25.959999,25.653088,629600
2017-06-05,25.840000,25.950001,25.520000,25.530001,25.228174,228900
2017-06-06,25.330000,25.530001,25.257999,25.469999,25.168880,213000
2017-06-07,25.490000,25.950001,25.090000,25.090000,24.793375,272500
2017-06-08,24.959999,25.000000,24.420000,24.469999,24.180706,315700
2017-06-09,24.389999,24.747000,24.260000,24.570000,24.279520,1397300
2017-06-12,24.379999,25.020000,24.379999,24.900000,24.605621,516100
2017-06-13,24.889999,25.170000,24.870001,24.910000,24.615503,480400
2017-06-14,24.910000,25.040001,24.820000,24.900000,24.605621,437600
2017-06-15,24.750000,25.014999,24.730000,24.920000,24.625387,429300
2017-06-16,24.870001,25.049999,24.820000,25.049999,24.753847,711900
2017-06-19,25.040001,25.480000,24.980000,25.270000,24.971249,606100
2017-06-20,25.209999,25.320000,24.625000,24.790001,24.496922,344800
2017-06-21,24.799999,25.290001,24.690001,25.059999,24.763727,237500
2017-06-22,25.139999,25.150000,24.719999,25.040001,24.743967,223600
2017-06-23,25.059999,25.420000,24.879999,25.379999,25.079945,755300
2017-06-26,25.400000,26.389999,25.230000,26.290001,25.979187,266500
2017-06-27,26.290001,26.370001,25.760000,26.260000,25.949541,283100
2017-06-28,26.440001,26.879999,26.240000,26.680000,26.364576,456700
2017-06-29,26.730000,27.139999,26.209999,26.540001,26.226234,433400
2017-06-30,26.580000,26.580000,26.190001,26.280001,25.969305,452300
2017-07-03,26.459999,26.600000,26.180000,26.250000,25.939659,119300
2017-07-05,26.190001,26.230000,25.780001,25.910000,25.603680,178500
2017-07-06,25.700001,25.980000,25.610001,25.770000,25.465336,274200
2017-07-07,25.930000,26.129999,25.510000,25.950001,25.643208,211500
2017-07-10,25.879999,26.129999,25.719999,25.900000,25.593798,213800
2017-07-11,26.010000,26.230000,25.629999,26.049999,25.742025,204600
2017-07-12,26.040001,26.070000,25.680000,26.000000,25.692616,231800
2017-07-13,26.030001,26.469999,25.980000,26.320000,26.008833,281200
2017-07-14,26.440001,26.730000,26.379999,26.660000,26.344814,123900
2017-07-17,26.549999,26.701000,26.440001,26.450001,26.137299,320200
2017-07-18,26.540001,27.000000,26.350000,26.809999,26.493038,358200
2017-07-19,27.000000,27.750000,27.000000,27.530001,27.204527,617500
2017-07-20,27.530001,27.770000,27.350000,27.559999,27.234171,286100
2017-07-21,27.600000,27.830000,27.360001,27.559999,27.234171,451400
