Date,Open,High,Low,Close,Adj Close,Volume
2013-08-07,45.150002,45.150002,44.639999,44.790001,30.146463,299433
2013-08-08,45.330002,45.330002,44.700001,44.880001,30.207039,15767
2013-08-09,45.180000,45.180000,44.820000,44.820000,30.166645,18467
2013-08-12,44.790001,44.820000,44.580002,44.610001,30.025309,7167
2013-08-13,44.490002,44.490002,43.980000,44.279999,29.803200,8800
2013-08-14,44.160000,44.189999,44.099998,44.160000,29.722424,1633
2013-08-15,43.980000,44.040001,43.709999,44.040001,29.641665,3500
2013-08-16,43.770000,43.980000,43.680000,43.830002,29.500313,3000
2013-08-19,43.919998,43.919998,43.380001,43.439999,29.237822,2867
2013-08-20,43.290001,43.830002,43.290001,43.799999,29.480127,867
2013-08-21,43.619999,43.799999,43.619999,43.799999,29.480127,4733
2013-08-22,43.860001,44.970001,43.830002,44.070000,29.661858,1600
2013-08-23,44.220001,44.369999,44.130001,44.369999,29.863779,1900
2013-08-26,44.340000,44.430000,43.950001,43.950001,29.581093,1967
2013-08-27,43.770000,43.980000,43.560001,43.950001,29.581093,1200
2013-08-28,44.130001,44.279999,44.130001,44.160000,29.722424,1333
2013-08-29,44.130001,44.250000,44.009998,44.250000,29.783003,7767
2013-08-30,44.220001,44.220001,43.919998,43.919998,29.560888,933
2013-09-03,44.130001,44.130001,43.529999,43.860001,29.520506,1333
2013-09-04,43.980000,43.980000,43.439999,43.439999,29.237822,4100
2013-09-05,43.500000,43.709999,43.410000,43.709999,29.419548,2667
2013-09-06,43.799999,43.860001,43.650002,43.650002,29.379183,1333
2013-09-09,43.919998,44.130001,43.830002,44.130001,29.702242,14033
2013-09-10,44.610001,44.610001,44.220001,44.459999,29.924337,8333
2013-09-11,44.580002,44.580002,43.980000,44.130001,29.702242,7133
2013-09-12,44.340000,44.340000,44.009998,44.009998,29.621471,5733
2013-09-13,44.220001,44.279999,43.860001,43.950001,29.581093,3900
2013-09-16,44.369999,44.369999,43.740002,43.740002,29.439741,2867
2013-09-17,43.860001,43.860001,43.680000,43.830002,29.500313,967
2013-09-18,43.950001,44.759998,43.860001,44.610001,30.025309,3367
2013-09-19,44.730000,45.599998,44.730000,45.570000,30.671452,4933
2013-09-20,45.450001,45.450001,44.910000,44.910000,30.227215,733
2013-09-23,44.490002,45.090000,44.490002,44.970001,30.267609,2400
2013-09-24,45.150002,45.180000,44.910000,44.939999,30.247416,2100
2013-09-25,45.000000,45.119999,44.939999,45.000000,30.287802,2233
2013-09-26,45.119999,45.240002,45.060001,45.060001,30.328180,3333
2013-09-27,45.119999,45.119999,44.880001,45.060001,30.328180,4800
2013-09-30,45.000000,45.029999,44.549999,45.000000,30.287802,4000
2013-10-01,45.240002,45.480000,45.119999,45.299999,30.489721,1633
2013-10-02,45.360001,45.360001,45.000000,45.270000,30.469524,833
2013-10-03,45.240002,45.240002,44.669998,44.880001,30.207039,2333
2013-10-04,44.880001,45.029999,44.880001,44.970001,30.267609,1000
2013-10-07,44.639999,44.759998,44.549999,44.730000,30.106071,1633
2013-10-08,44.639999,44.639999,44.250000,44.310001,29.823383,2000
2013-10-09,44.189999,44.310001,43.889999,44.250000,29.783003,1467
2013-10-10,44.520000,44.880001,44.520000,44.820000,30.166645,1567
2013-10-11,45.090000,45.480000,44.880001,45.480000,30.610867,3767
2013-10-14,45.630001,45.630001,44.880001,45.540001,30.651264,7067
2013-10-15,45.480000,45.480000,44.790001,44.880001,30.207039,2533
2013-10-16,45.299999,45.450001,45.299999,45.389999,30.550295,1867
2013-10-17,45.360001,45.660000,45.360001,45.660000,30.732010,3900
2013-10-18,46.139999,46.139999,45.779999,46.080002,31.014713,2567
2013-10-21,46.290001,47.250000,45.990002,47.250000,31.802189,3500
2013-10-22,47.130001,47.490002,47.130001,47.490002,31.963720,3833
2013-10-23,47.070000,47.070000,46.830002,46.919998,31.580082,4467
2013-10-24,47.130001,47.400002,47.099998,47.160000,31.741604,2767
2013-10-25,47.340000,47.459999,47.250000,47.459999,31.943527,2800
2013-10-28,49.410000,49.410000,47.099998,47.340000,31.862762,2067
2013-10-29,47.340000,47.459999,47.040001,47.459999,31.943527,3733
2013-10-30,47.340000,47.430000,47.070000,47.220001,31.781994,2167
2013-10-31,47.009998,47.189999,47.009998,47.189999,31.761805,933
2013-11-01,46.950001,47.130001,46.650002,46.680000,31.418549,2900
2013-11-04,47.189999,47.189999,46.560001,47.040001,31.660851,1433
2013-11-05,47.189999,47.189999,46.619999,46.799999,31.499311,2400
2013-11-06,46.919998,46.980000,46.799999,46.799999,31.499311,3567
2013-11-07,46.770000,46.770000,45.900002,45.959999,31.111433,3800
2013-11-08,45.930000,46.259998,45.750000,46.080002,31.192665,2300
2013-11-11,46.439999,46.439999,46.110001,46.230000,31.294199,10767
2013-11-12,46.230000,46.349998,46.200001,46.290001,31.334822,800
2013-11-13,46.049999,46.230000,46.020000,46.230000,31.294199,5767
2013-11-14,46.410000,46.680000,46.410000,46.590000,31.537903,2367
2013-11-15,46.680000,46.919998,46.619999,46.799999,31.680052,1700
2013-11-18,46.860001,47.009998,46.410000,46.410000,31.416050,2767
2013-11-19,46.290001,46.529999,46.080002,46.110001,31.212978,1400
2013-11-20,45.990002,46.439999,45.990002,46.410000,31.416050,500
2013-11-21,46.740002,46.740002,46.380001,46.529999,31.497282,1067
2013-11-22,46.500000,47.070000,46.500000,46.980000,31.801891,5400
2013-11-25,47.189999,47.250000,47.130001,47.160000,31.923750,467
2013-11-26,46.980000,47.250000,46.980000,47.099998,31.883142,1833
2013-11-27,47.040001,47.099998,46.860001,46.860001,31.720667,200
2013-11-29,46.889999,46.950001,46.650002,46.650002,31.578516,400
2013-12-02,46.500000,46.799999,46.290001,46.590000,31.537903,1933
2013-12-03,46.320000,46.860001,46.320000,46.860001,31.720667,15733
2013-12-04,46.049999,46.169998,45.930000,46.169998,31.253592,1833
2013-12-05,46.169998,46.349998,45.930000,46.349998,31.375441,2000
2013-12-06,46.410000,46.619999,46.349998,46.529999,31.497282,5533
2013-12-09,46.529999,46.680000,46.439999,46.470001,31.456675,5100
2013-12-10,46.439999,46.470001,46.080002,46.230000,31.294199,2800
2013-12-11,46.020000,46.020000,45.689999,45.689999,30.928661,1733
2013-12-12,45.570000,45.779999,45.480000,45.689999,30.928661,1933
2013-12-13,45.509998,45.869999,45.509998,45.840000,31.030190,13433
2013-12-16,45.990002,46.020000,45.869999,46.020000,31.152050,2133
2013-12-17,45.930000,46.200001,45.900002,46.110001,31.212978,1333
2013-12-18,46.110001,46.529999,45.779999,46.529999,31.497282,2833
2013-12-19,46.200001,46.980000,46.200001,46.980000,31.801891,4900
2013-12-20,46.889999,47.340000,46.889999,47.279999,32.004974,19400
2013-12-23,47.549999,48.180000,47.549999,48.029999,32.512665,2433
2013-12-24,48.150002,48.209999,48.090000,48.090000,32.553288,667
2013-12-26,48.599998,48.599998,48.389999,48.419998,32.776672,2067
2013-12-27,48.750000,48.750000,48.029999,48.540001,32.900715,2800
2013-12-30,48.599998,48.840000,48.540001,48.630001,32.961712,5133
2013-12-31,48.930000,49.049999,48.810001,48.959999,33.185383,1733
2014-01-02,49.080002,49.080002,48.180000,48.299999,32.738029,2867
2014-01-03,48.720001,48.720001,48.060001,48.240002,32.697372,1567
2014-01-06,48.240002,48.240002,48.000000,48.150002,32.636353,1533
2014-01-07,48.150002,48.480000,48.150002,48.299999,32.738029,11533
2014-01-08,48.360001,48.480000,48.270000,48.450001,32.839703,3633
2014-01-09,48.360001,48.419998,48.209999,48.330002,32.758369,2300
2014-01-10,48.509998,48.509998,48.209999,48.360001,32.778702,2567
2014-01-13,48.150002,48.360001,47.820000,47.820000,32.412685,2967
2014-01-14,48.060001,48.299999,47.910000,48.209999,32.677029,4033
2014-01-15,48.209999,48.299999,48.090000,48.240002,32.697372,3300
2014-01-16,48.389999,48.630001,48.330002,48.630001,32.961712,6600
2014-01-17,48.419998,48.630001,48.419998,48.450001,32.839703,6133
2014-01-21,48.990002,49.049999,48.509998,48.900002,33.144714,2500
2014-01-22,49.290001,49.290001,48.900002,48.990002,33.205727,1933
2014-01-23,48.959999,49.080002,48.840000,49.049999,33.246380,1200
2014-01-24,49.259998,49.259998,48.330002,48.450001,32.839703,1967
2014-01-27,48.299999,48.540001,47.730000,48.299999,32.738029,3333
2014-01-28,48.540001,48.779999,48.299999,48.660000,32.982037,7400
2014-01-29,48.720001,48.720001,48.209999,48.330002,32.758369,3600
2014-01-30,48.689999,48.930000,48.599998,48.689999,33.002365,4433
2014-01-31,48.540001,49.290001,48.540001,49.230000,33.368370,6967
2014-02-03,48.930000,49.049999,48.270000,48.419998,32.819370,3467
2014-02-04,48.450001,48.840000,48.299999,48.720001,33.022713,5467
2014-02-05,48.299999,48.419998,48.180000,48.360001,32.778702,2067
2014-02-06,48.689999,49.080002,48.660000,49.020000,33.226063,1633
2014-02-07,48.689999,49.290001,48.689999,49.259998,33.573647,3333
2014-02-10,49.200001,49.259998,48.840000,48.990002,33.389633,5167
2014-02-11,49.320000,49.799999,49.320000,49.770000,33.921253,2633
2014-02-12,50.189999,50.189999,49.560001,49.560001,33.778118,2367
2014-02-13,50.130001,50.220001,49.950001,49.950001,34.043930,7167
2014-02-14,49.889999,50.130001,49.770000,50.130001,34.166603,27133
2014-02-18,50.730000,50.730000,50.250000,50.340000,34.309723,8467
