Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,11.000000,11.000000,10.395000,10.520000,10.520000,12400
2021-02-09,10.950000,10.950000,10.384000,10.490000,10.490000,30500
2021-02-10,10.500000,10.610000,10.370000,10.480000,10.480000,141300
2021-02-11,10.700000,10.700000,10.240000,10.480000,10.480000,58200
2021-02-12,10.600000,10.600000,10.240000,10.320000,10.320000,61900
2021-02-16,10.500000,11.180000,10.400000,10.590000,10.590000,654700
2021-02-17,10.500000,10.700000,10.420000,10.680000,10.680000,75300
2021-02-18,10.650000,10.860000,10.440000,10.810000,10.810000,93400
2021-02-19,11.010000,11.150000,10.670000,10.850000,10.850000,66500
2021-02-22,10.800000,11.040000,10.700000,10.830000,10.830000,59400
2021-02-23,10.540000,10.780000,10.320000,10.560000,10.560000,107000
2021-02-24,10.560000,10.880000,10.490000,10.755000,10.755000,105000
2021-02-25,10.720000,10.840000,10.300000,10.350000,10.350000,61600
2021-02-26,10.450000,10.520000,10.220000,10.280000,10.280000,143100
2021-03-01,10.300000,10.400000,10.220000,10.260000,10.260000,149600
2021-03-02,10.260000,10.430000,10.200000,10.300000,10.300000,235100
2021-03-03,10.240000,10.420000,9.820000,9.910000,9.910000,162700
2021-03-04,9.900000,10.090000,9.580000,10.010000,10.010000,143100
2021-03-05,10.000000,10.250000,9.760000,9.900000,9.900000,80500
2021-03-08,9.920000,10.050000,9.920000,10.020000,10.020000,16000
2021-03-09,10.020000,10.040000,9.900000,9.910000,9.910000,123500
2021-03-10,9.810000,9.931000,9.785000,9.850000,9.850000,107600
2021-03-11,9.810000,9.980000,9.800000,9.880000,9.880000,187500
2021-03-12,9.810000,9.920000,9.810000,9.880000,9.880000,34700
2021-03-15,9.920000,9.960000,9.780000,9.950000,9.950000,222200
2021-03-16,9.900000,9.900000,9.760000,9.870000,9.870000,183400
2021-03-17,9.850000,9.940000,9.790000,9.940000,9.940000,28000
2021-03-18,9.800000,9.880000,9.778000,9.880000,9.880000,194800
2021-03-19,9.880000,9.940000,9.790000,9.930000,9.930000,34900
2021-03-22,9.870000,10.020000,9.870000,10.020000,10.020000,38000
2021-03-23,9.887000,9.926000,9.600000,9.800000,9.800000,27700
2021-03-24,9.910000,9.910000,9.610000,9.610000,9.610000,50500
2021-03-25,9.600000,9.700000,9.450000,9.590000,9.590000,55400
2021-03-26,9.590000,9.830000,9.590000,9.820000,9.820000,35800
2021-03-29,9.650000,9.800000,9.650000,9.650000,9.650000,3800
2021-03-30,9.730000,9.739000,9.600000,9.610000,9.610000,12000
2021-03-31,9.600000,9.705000,9.600000,9.660000,9.660000,23100
2021-04-01,9.750000,9.880000,9.700000,9.770000,9.770000,54600
2021-04-05,9.890000,9.920000,9.710000,9.870000,9.870000,22900
2021-04-06,9.780000,9.800000,9.750000,9.790000,9.790000,28800
2021-04-07,9.776000,9.810000,9.750000,9.800000,9.800000,18600
2021-04-08,9.850000,9.999000,9.850000,9.870000,9.870000,17100
2021-04-09,9.810000,9.900000,9.750000,9.900000,9.900000,43300
2021-04-12,10.100000,10.100000,9.770000,9.950000,9.950000,21900
2021-04-13,9.950000,9.980000,9.910000,9.950000,9.950000,8800
2021-04-14,9.959000,10.000000,9.915000,10.000000,10.000000,3600
2021-04-15,9.950000,9.950000,9.849000,9.950000,9.950000,114300
2021-04-16,9.850000,9.870000,9.810000,9.860000,9.860000,12200
2021-04-19,9.880000,9.880000,9.730000,9.810000,9.810000,28800
2021-04-20,9.740000,9.950000,9.740000,9.950000,9.950000,8200
2021-04-21,9.890000,9.890000,9.760000,9.820000,9.820000,3700
2021-04-22,9.750000,9.760000,9.710000,9.710000,9.710000,6100
2021-04-23,9.770000,9.780000,9.770000,9.780000,9.780000,200
2021-04-26,9.740000,9.745000,9.700000,9.720000,9.720000,3700
2021-04-27,9.710000,9.750000,9.700000,9.750000,9.750000,9500
2021-04-28,9.750000,9.760000,9.730000,9.750000,9.750000,7200
2021-04-29,9.780000,9.780000,9.740000,9.780000,9.780000,4800
2021-04-30,9.740000,9.780000,9.730000,9.780000,9.780000,8000
2021-05-03,9.780000,9.840000,9.690000,9.700000,9.700000,16800
2021-05-04,9.700000,9.790000,9.700000,9.780000,9.780000,8500
2021-05-05,9.750000,9.750000,9.700000,9.750000,9.750000,11900
2021-05-06,9.710000,9.740000,9.710000,9.740000,9.740000,5500
2021-05-07,9.721000,9.740000,9.700000,9.700000,9.700000,3300
2021-05-10,9.720000,9.730000,9.680000,9.701000,9.701000,19800
2021-05-11,9.690000,9.760000,9.680000,9.740000,9.740000,57300
2021-05-12,9.710000,9.710000,9.625000,9.660000,9.660000,17400
2021-05-13,9.650000,9.690000,9.650000,9.670000,9.670000,9300
2021-05-14,9.650000,9.690000,9.630000,9.690000,9.690000,5500
2021-05-17,9.640000,9.650000,9.640000,9.640000,9.640000,4800
2021-05-18,9.680000,9.685000,9.620000,9.680000,9.680000,6100
2021-05-19,9.700000,10.300000,9.700000,9.880000,9.880000,129800
2021-05-20,9.900000,9.910000,9.760000,9.900000,9.900000,50800
2021-05-21,9.850000,9.890000,9.800000,9.850000,9.850000,8900
2021-05-24,9.870000,9.949000,9.870000,9.870000,9.870000,11600
2021-05-25,9.888000,10.000000,9.860000,10.000000,10.000000,4500
2021-05-26,9.980000,9.980000,9.860000,9.860000,9.860000,16100
2021-05-27,9.830000,9.865000,9.800000,9.865000,9.865000,9000
2021-05-28,9.870000,9.920000,9.700000,9.700000,9.700000,109500
