Date,Open,High,Low,Close,Adj Close,Volume
2009-12-15,50.049999,50.049999,50.000000,50.020000,38.898506,5400
2009-12-16,49.990002,49.990002,49.990002,49.990002,38.875214,1100
2009-12-17,50.000000,50.009998,50.000000,50.000000,38.882988,10100
2009-12-18,50.040001,50.090000,50.040001,50.040001,38.914078,11000
2009-12-21,50.040001,50.040001,50.000000,50.020000,38.898506,18000
2009-12-22,49.990002,49.990002,49.910000,49.910000,38.812992,4400
2009-12-23,49.919998,49.930000,49.849998,49.910000,38.812992,4500
2009-12-24,49.919998,49.919998,49.919998,49.919998,38.820740,200
2009-12-28,49.930000,49.930000,49.910000,49.930000,38.828522,7600
2009-12-29,49.860001,49.869999,49.860001,49.869999,38.818405,2900
2009-12-30,49.849998,49.849998,49.830002,49.830002,38.787289,2900
2009-12-31,49.750000,49.790001,49.750000,49.790001,38.756138,3000
2010-01-04,49.759998,49.759998,49.680000,49.689999,38.678299,3600
2010-01-05,49.689999,49.770000,49.689999,49.759998,38.732788,7600
2010-01-06,49.830002,49.830002,49.830002,49.830002,38.787289,700
2010-01-07,49.860001,49.900002,49.830002,49.840000,38.795063,10500
2010-01-08,49.930000,49.930000,49.910000,49.910000,38.849552,900
2010-01-11,49.919998,49.930000,49.919998,49.930000,38.865120,1400
2010-01-12,49.939999,49.939999,49.939999,49.939999,38.872906,1900
2010-01-13,50.000000,50.000000,49.970001,49.970001,38.896267,3700
2010-01-14,49.980000,49.980000,49.900002,49.900002,38.841747,9600
2010-01-15,49.950001,49.950001,49.950001,49.950001,38.880692,2000
2010-01-19,50.020000,50.020000,50.009998,50.009998,38.927414,3200
2010-01-20,50.020000,50.029999,50.020000,50.029999,38.942936,900
2010-01-21,50.060001,50.060001,50.049999,50.049999,38.958538,500
2010-01-22,50.060001,50.080002,50.060001,50.080002,38.981884,4500
2010-01-25,50.119999,50.119999,50.090000,50.090000,38.989670,800
2010-01-26,50.090000,50.099998,50.090000,50.099998,38.997448,2300
2010-01-27,50.070000,50.090000,50.060001,50.090000,38.989670,3900
2010-01-28,50.099998,50.110001,50.080002,50.110001,39.005238,1500
2010-01-29,50.040001,50.040001,50.009998,50.009998,39.004459,2900
2010-02-01,50.009998,50.060001,50.009998,50.060001,39.043465,5300
2010-02-02,50.090000,50.130001,50.090000,50.130001,39.098053,1600
2010-02-03,50.119999,50.139999,50.090000,50.139999,39.105843,3300
2010-02-04,50.180000,50.270000,50.180000,50.270000,39.207241,5200
2010-02-05,50.320000,50.360001,50.320000,50.360001,39.277424,6300
2010-02-08,50.410000,50.410000,50.389999,50.410000,39.316463,10900
2010-02-09,50.419998,50.430000,50.400002,50.419998,39.324219,5700
2010-02-10,50.400002,50.410000,50.400002,50.410000,39.316463,4600
2010-02-11,50.410000,50.439999,50.410000,50.419998,39.324219,6900
2010-02-12,50.419998,50.450001,50.419998,50.439999,39.339836,7300
2010-02-16,50.459999,50.480000,50.459999,50.480000,39.371033,11500
2010-02-17,50.470001,50.480000,50.470001,50.480000,39.371033,8400
2010-02-18,50.470001,50.490002,50.419998,50.470001,39.363216,17500
2010-02-19,50.480000,50.480000,50.459999,50.459999,39.355423,21000
2010-02-22,50.439999,50.450001,50.400002,50.450001,39.347633,12700
2010-02-23,50.459999,50.480000,50.459999,50.480000,39.371033,4300
2010-02-24,50.509998,50.520000,50.509998,50.520000,39.402237,21600
2010-02-25,50.549999,50.560001,50.549999,50.560001,39.433418,2500
2010-02-26,50.500000,50.509998,50.490002,50.490002,39.452953,19700
2010-03-01,50.509998,50.509998,50.500000,50.509998,39.468594,11000
2010-03-02,50.509998,50.529999,50.450001,50.520000,39.476398,27400
2010-03-03,50.540001,50.610001,50.520000,50.560001,39.507648,24600
2010-03-04,50.610001,50.619999,50.590000,50.610001,39.546734,1500
2010-03-05,50.630001,50.630001,50.619999,50.630001,39.562366,5300
2010-03-08,50.639999,50.650002,50.630001,50.650002,39.577984,6100
2010-03-09,50.650002,50.680000,50.619999,50.680000,39.601414,7500
2010-03-10,50.700001,50.700001,50.650002,50.669998,39.593601,6000
2010-03-11,50.700001,50.709999,50.700001,50.700001,39.617039,7600
2010-03-12,50.700001,50.709999,50.700001,50.709999,39.624874,2200
2010-03-15,50.700001,50.700001,50.680000,50.689999,39.609230,4400
2010-03-16,50.700001,50.700001,50.669998,50.669998,39.593601,2900
2010-03-17,50.689999,50.689999,50.599998,50.599998,39.538895,7500
2010-03-18,50.660000,50.660000,50.570000,50.650002,39.577984,3500
2010-03-19,50.590000,50.650002,50.590000,50.590000,39.531082,4900
2010-03-22,50.639999,50.650002,50.599998,50.639999,39.570160,3200
2010-03-23,50.590000,50.619999,50.560001,50.590000,39.531082,20200
2010-03-24,50.570000,50.570000,50.400002,50.400002,39.382648,35000
2010-03-25,50.340000,50.340000,49.990002,50.000000,39.070072,123400
2010-03-26,50.090000,50.139999,50.000000,50.130001,39.171627,238700
2010-03-29,49.970001,50.099998,49.970001,49.990002,39.062271,44200
2010-03-30,50.020000,50.040001,49.970001,49.970001,39.046623,15100
2010-03-31,49.919998,49.919998,49.830002,49.900002,39.061459,7300
2010-04-01,49.900002,49.919998,49.900002,49.919998,39.077141,12000
2010-04-05,49.810001,49.849998,49.799999,49.840000,39.014515,20300
2010-04-06,49.869999,49.869999,49.810001,49.860001,39.030182,65500
2010-04-07,49.820000,49.820000,49.759998,49.779999,38.967556,7600
2010-04-08,49.810001,49.840000,49.779999,49.810001,38.991062,6900
2010-04-09,49.799999,49.830002,49.799999,49.820000,38.998878,800
2010-04-12,49.840000,49.860001,49.779999,49.860001,39.030182,10800
2010-04-13,49.869999,49.900002,49.840000,49.900002,39.061459,25700
2010-04-14,49.840000,49.919998,49.840000,49.889999,39.053665,6500
2010-04-15,49.990002,49.990002,49.930000,49.939999,39.092800,6100
2010-04-16,49.950001,50.009998,49.950001,50.009998,39.147602,1200
2010-04-19,50.009998,50.049999,50.009998,50.049999,39.178925,21300
2010-04-20,50.110001,50.110001,50.099998,50.110001,39.225880,4200
2010-04-21,50.139999,50.209999,50.139999,50.200001,39.296356,4400
2010-04-22,50.209999,50.220001,50.209999,50.220001,39.311981,1300
2010-04-23,50.230000,50.230000,50.180000,50.189999,39.288509,4600
2010-04-26,50.139999,50.230000,50.139999,50.220001,39.311981,7000
2010-04-27,50.220001,50.270000,50.200001,50.270000,39.351151,22600
