Date,Open,High,Low,Close,Adj Close,Volume
2020-11-19,9.800000,9.850000,9.800000,9.850000,9.850000,260400
2020-11-20,10.030000,10.030000,9.850000,9.860000,9.860000,2400
2020-11-23,10.120000,10.120000,10.012000,10.012000,10.012000,400
2020-11-24,9.900000,9.940000,9.900000,9.940000,9.940000,3500
2020-11-25,9.960000,9.995000,9.850000,9.850000,9.850000,44800
2020-11-27,9.896000,9.896000,9.896000,9.896000,9.896000,400
2020-11-30,10.150000,10.150000,9.900000,9.920000,9.920000,193600
2020-12-01,10.000000,10.000000,9.987000,9.987000,9.987000,600
2020-12-02,9.920000,10.050000,9.920000,9.980000,9.980000,52200
2020-12-03,10.020000,10.050000,9.910000,9.910000,9.910000,16900
2020-12-04,10.050000,10.100000,9.900000,9.950000,9.950000,216200
2020-12-07,10.000000,10.170000,9.950000,9.970000,9.970000,317600
2020-12-08,10.071000,10.071000,9.900000,9.970000,9.970000,130200
2020-12-09,10.180000,10.180000,9.970000,10.060000,10.060000,46800
2020-12-10,10.000000,10.050000,9.990000,10.010000,10.010000,285200
2020-12-11,10.010000,10.100000,10.010000,10.020000,10.020000,25700
2020-12-14,10.520000,10.520000,10.030000,10.050000,10.050000,39800
2020-12-15,10.020000,10.040000,10.020000,10.040000,10.040000,1800
2020-12-16,10.077000,10.077000,10.077000,10.077000,10.077000,300
2020-12-17,10.060000,10.170000,9.990000,10.020000,10.020000,65100
2020-12-18,10.010000,10.104000,10.010000,10.050000,10.050000,12700
2020-12-21,10.050000,10.070000,10.010000,10.020000,10.020000,12800
2020-12-22,10.081000,10.100000,10.010000,10.040000,10.040000,40100
2020-12-23,10.070000,10.130000,10.010000,10.130000,10.130000,17200
2020-12-24,10.940000,10.940000,10.010000,10.100000,10.100000,118700
2020-12-28,10.100000,10.192000,10.060000,10.100000,10.100000,67700
2020-12-29,10.123000,10.130000,10.070000,10.080000,10.080000,3500
2020-12-30,10.090000,10.140000,10.050000,10.130000,10.130000,15100
2020-12-31,10.130000,10.139000,10.030000,10.030000,10.030000,63900
2021-01-04,10.050000,10.170000,10.050000,10.125000,10.125000,24100
2021-01-05,10.072000,10.100000,10.000000,10.080000,10.080000,26800
2021-01-06,10.100000,10.250000,10.040000,10.230000,10.230000,28300
2021-01-07,10.250000,10.300000,10.130000,10.150000,10.150000,28400
2021-01-08,10.650000,10.650000,10.150000,10.430000,10.430000,53000
2021-01-11,10.230000,10.320000,10.138000,10.280000,10.280000,5000
2021-01-12,10.220000,10.280000,10.170000,10.210000,10.210000,27200
2021-01-13,10.226000,10.300000,10.150000,10.283000,10.283000,90800
2021-01-14,10.210000,10.390000,10.130000,10.270000,10.270000,119900
2021-01-15,10.200000,10.390000,10.160000,10.260000,10.260000,28500
2021-01-19,10.210000,10.320000,10.210000,10.320000,10.320000,11400
2021-01-20,10.310000,10.330000,10.220000,10.290000,10.290000,10500
2021-01-21,10.190000,10.300000,10.190000,10.200000,10.200000,48900
2021-01-22,10.190000,10.300000,10.190000,10.300000,10.300000,10900
2021-01-25,10.350000,10.350000,10.200000,10.300000,10.300000,39800
2021-01-26,10.300000,10.300000,10.262000,10.299000,10.299000,10700
