Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,11.850000,12.365000,11.300000,11.420000,11.420000,4900
2017-10-31,11.401000,12.000000,11.380000,12.000000,12.000000,2200
2017-11-01,11.826000,12.350000,11.650000,12.100000,12.100000,11000
2017-11-02,12.100000,12.219000,12.000000,12.219000,12.219000,4100
2017-11-03,12.000000,12.282000,12.000000,12.282000,12.282000,4200
2017-11-06,12.350000,12.563000,12.350000,12.500000,12.500000,3800
2017-11-07,12.400000,12.525000,12.000000,12.500000,12.500000,4000
2017-11-08,12.010000,12.350000,12.000000,12.350000,12.350000,2500
2017-11-09,12.160000,12.400000,12.160000,12.400000,12.400000,600
2017-11-10,12.450000,12.490000,12.100000,12.100000,12.100000,3000
2017-11-13,12.100000,12.210000,11.500000,11.700000,11.700000,18500
2017-11-14,11.800000,11.870000,11.500000,11.870000,11.870000,2200
2017-11-15,11.700000,11.740000,11.500000,11.500000,11.500000,12800
2017-11-16,11.400000,11.700000,11.000000,11.000000,11.000000,4700
2017-11-17,11.250000,11.369000,10.750000,10.750000,10.750000,4900
2017-11-20,11.200000,11.200000,10.235000,10.235000,10.235000,5800
2017-11-21,10.250000,10.250000,10.250000,10.250000,10.250000,800
2017-11-22,10.633000,10.633000,10.300000,10.300000,10.300000,1200
2017-11-24,10.300000,10.300000,10.300000,10.300000,10.300000,0
2017-11-27,10.214000,10.214000,9.800000,10.000000,10.000000,8600
2017-11-28,10.020000,10.300000,9.950000,10.000000,10.000000,1300
2017-11-29,9.800000,9.875000,9.700000,9.875000,9.875000,4800
2017-11-30,9.800000,9.800000,9.500000,9.600000,9.600000,12000
2017-12-01,9.260000,9.379000,9.250000,9.370000,9.370000,260200
2017-12-04,10.252000,12.490000,9.720000,12.400000,12.400000,13600
2017-12-05,11.710000,14.990000,11.520000,13.110000,13.110000,28800
2017-12-06,12.070000,14.500000,10.930000,12.660000,12.660000,7900
2017-12-07,12.725000,14.750000,12.720000,14.750000,14.750000,14600
2017-12-08,14.674000,15.000000,14.000000,14.450000,14.450000,11300
2017-12-11,14.950000,15.000000,13.170000,13.780000,13.780000,14400
2017-12-12,13.600000,14.800000,13.600000,14.800000,14.800000,14200
2017-12-13,14.670000,14.950000,14.210000,14.740000,14.740000,31100
2017-12-14,14.570000,17.200001,14.570000,15.630000,15.630000,47300
2017-12-15,15.500000,17.757999,15.460000,16.160000,16.160000,28300
2017-12-18,15.925000,16.990000,15.210000,16.570000,16.570000,25500
2017-12-19,16.010000,17.980000,16.010000,17.700001,17.700001,66300
2017-12-20,17.530001,17.660000,17.000000,17.290001,17.290001,6900
2017-12-21,17.400000,18.750000,17.400000,18.750000,18.750000,54900
2017-12-22,18.440001,19.750000,18.440001,19.750000,19.750000,12400
2017-12-26,19.847000,22.500000,19.847000,22.500000,22.500000,19500
2017-12-27,22.320000,26.250000,21.510000,21.950001,21.950001,40100
2017-12-28,21.770000,23.101000,18.910000,20.000000,20.000000,7700
2017-12-29,20.000000,20.000000,18.180000,18.180000,18.180000,2500
2018-01-02,17.969999,20.500000,16.728001,20.500000,20.500000,338600
2018-01-03,20.440001,21.930000,19.862000,20.959999,20.959999,5700
2018-01-04,21.500000,21.500000,19.360001,20.110001,20.110001,5300
2018-01-05,20.900000,20.950001,19.129999,20.200001,20.200001,11600
2018-01-08,20.299999,20.525000,18.660000,19.600000,19.600000,12200
2018-01-09,19.940001,20.250000,19.032000,19.950001,19.950001,13500
2018-01-10,20.000000,20.100000,19.056000,20.100000,20.100000,16700
2018-01-11,19.389999,20.100000,19.200001,20.100000,20.100000,6300
2018-01-12,20.100000,20.100000,19.257000,20.100000,20.100000,4800
2018-01-16,20.100000,20.100000,19.563999,20.100000,20.100000,3800
2018-01-17,20.070000,20.100000,19.500000,20.100000,20.100000,4800
2018-01-18,19.930000,20.100000,18.670000,20.100000,20.100000,9100
2018-01-19,19.830000,20.100000,19.049999,19.840000,19.840000,8200
2018-01-22,19.950001,21.100000,19.410000,19.900000,19.900000,13800
2018-01-23,19.145000,20.002001,19.145000,19.889999,19.889999,8600
2018-01-24,20.350000,20.350000,18.726000,19.660000,19.660000,15400
2018-01-25,17.650000,19.559999,17.650000,19.559999,19.559999,14300
2018-01-26,19.600000,19.600000,18.600000,19.480000,19.480000,2200
2018-01-29,19.350000,19.549999,18.600000,19.549999,19.549999,6900
2018-01-30,19.502001,19.549999,17.920000,19.549999,19.549999,6200
2018-01-31,19.549999,19.865000,19.020000,19.549999,19.549999,4100
2018-02-01,19.549999,22.040001,19.120001,19.700001,19.700001,8100
2018-02-02,19.690001,20.500000,17.886000,19.150000,19.150000,24200
2018-02-05,19.000000,20.400000,18.629999,18.629999,18.629999,5400
2018-02-06,20.100000,20.250000,19.801001,20.240000,20.240000,9100
2018-02-07,20.049999,20.049999,19.136000,19.670000,19.670000,6600
2018-02-08,19.570000,19.750000,18.000000,19.400000,19.400000,6600
2018-02-09,19.650000,19.650000,17.780001,18.900000,18.900000,8700
2018-02-12,19.000000,19.000000,18.000000,19.000000,19.000000,9500
2018-02-13,18.850000,19.000000,18.500000,18.900000,18.900000,10800
2018-02-14,18.600000,18.889999,18.450001,18.620001,18.620001,10000
2018-02-15,19.209000,19.250000,18.507000,19.049999,19.049999,2900
2018-02-16,19.000000,19.500000,18.990000,19.500000,19.500000,11900
2018-02-20,19.500000,19.500000,19.041000,19.469999,19.469999,4400
2018-02-21,19.500000,19.500000,19.400000,19.440001,19.440001,3500
2018-02-22,18.020000,19.500000,18.020000,19.500000,19.500000,3700
2018-02-23,19.400000,19.500000,19.400000,19.500000,19.500000,2300
2018-02-26,19.500000,21.990000,19.500000,20.450001,20.450001,3700
2018-02-27,21.065001,22.000000,21.000000,21.400000,21.400000,5600
2018-02-28,21.400000,22.000000,19.785999,21.930000,21.930000,13000
2018-03-01,21.750000,22.709999,21.389999,21.389999,21.389999,5000
2018-03-02,22.629999,23.450001,20.100000,22.840000,22.840000,28200
2018-03-05,23.469999,24.370001,20.910000,21.870001,21.870001,15600
2018-03-06,20.284000,23.049999,20.284000,22.410000,22.410000,16900
2018-03-07,22.520000,22.549999,21.100000,21.770000,21.770000,5400
2018-03-08,21.959999,22.750000,21.825001,22.540001,22.540001,5900
2018-03-09,22.990000,26.000000,21.084000,24.280001,24.280001,56200
2018-03-12,24.510000,26.500000,24.510000,26.190001,26.190001,31900
2018-03-13,26.000000,26.000000,25.455999,25.900000,25.900000,5400
2018-03-14,25.000000,25.330000,18.540001,20.420000,20.420000,48100
2018-03-15,20.600000,22.000000,20.459999,22.000000,22.000000,7400
2018-03-16,22.000000,22.000000,20.660000,21.580000,21.580000,3700
2018-03-19,21.889999,21.969999,21.340000,21.559999,21.559999,3900
2018-03-20,20.433001,21.400000,20.433001,21.340000,21.340000,1300
2018-03-21,19.400000,21.424999,19.209999,21.240000,21.240000,6700
2018-03-22,21.990000,21.990000,20.120001,20.750000,20.750000,3600
2018-03-23,20.940001,21.465000,20.129999,20.850000,20.850000,1800
2018-03-26,21.459999,21.459999,20.600000,20.600000,20.600000,2300
2018-03-27,21.000000,21.850000,21.000000,21.330000,21.330000,700
2018-03-28,20.385000,21.049999,20.385000,20.600000,20.600000,900
2018-03-29,20.590000,23.750000,19.730000,23.129999,23.129999,18300
2018-04-02,23.000000,23.000000,20.709999,22.000000,22.000000,116600
2018-04-03,21.629999,21.629999,21.510000,21.608000,21.608000,1100
2018-04-04,23.000000,23.000000,21.000000,21.500000,21.500000,10600
2018-04-05,21.500000,21.959999,19.368999,21.900000,21.900000,5000
2018-04-06,20.770000,20.799999,19.760000,19.990000,19.990000,5500
2018-04-09,19.700001,20.000000,19.000000,19.000000,19.000000,4000
2018-04-10,19.250000,19.700001,19.250000,19.700001,19.700001,1400
2018-04-11,19.799999,20.600000,19.770000,19.770000,19.770000,4200
2018-04-12,20.580000,20.600000,19.840000,20.600000,20.600000,1700
2018-04-13,20.600000,20.600000,20.600000,20.600000,20.600000,0
2018-04-16,19.924999,19.996000,19.018999,19.790001,19.790001,1600
2018-04-17,19.219999,19.219999,18.250000,18.620001,18.620001,3300
2018-04-18,18.200001,18.410000,18.200001,18.200001,18.200001,800
2018-04-19,18.219999,18.790001,18.000000,18.680000,18.680000,3600
2018-04-20,18.107000,18.680000,18.000000,18.680000,18.680000,1000
2018-04-23,18.799999,18.900000,18.000000,18.010000,18.010000,3300
