Date,Open,High,Low,Close,Adj Close,Volume
2003-01-16,14.950000,14.950000,14.950000,14.950000,5.344647,1800
2003-01-17,14.850000,14.900000,14.750000,14.900000,5.326772,4500
2003-01-21,14.900000,14.900000,14.900000,14.900000,5.326772,0
2003-01-22,14.900000,14.900000,14.800000,14.800000,5.291021,3700
2003-01-23,14.800000,14.800000,14.800000,14.800000,5.291021,0
2003-01-24,14.650000,14.990000,14.650000,14.900000,5.326772,9000
2003-01-27,14.900000,14.900000,14.800000,14.800000,5.291021,4200
2003-01-28,14.890000,15.000000,14.890000,14.900000,5.326772,9800
2003-01-29,14.980000,14.980000,14.900000,14.910000,5.330346,7100
2003-01-30,14.900000,14.950000,14.900000,14.950000,5.344647,2100
2003-01-31,14.950000,14.950000,14.750000,14.750000,5.273143,1500
2003-02-03,14.850000,14.990000,14.750000,14.750000,5.273143,15200
2003-02-04,14.890000,14.890000,14.700000,14.850000,5.308897,3200
2003-02-05,14.880000,14.880000,14.880000,14.880000,5.319620,1000
2003-02-06,14.750000,14.850000,14.650000,14.650000,5.237395,9900
2003-02-07,14.750000,14.750000,14.700000,14.700000,5.255272,1200
2003-02-10,14.750000,14.750000,14.450000,14.560000,5.205218,8900
2003-02-11,14.640000,14.640000,14.560000,14.560000,5.205218,2000
2003-02-12,14.500000,14.600000,14.450000,14.450000,5.193001,1900
2003-02-13,14.300000,14.300000,13.950000,14.000000,5.031282,7100
2003-02-14,14.050000,14.200000,13.850000,14.200000,5.103155,7500
2003-02-18,14.100000,14.400000,14.100000,14.350000,5.157064,8800
2003-02-19,14.400000,14.470000,14.000000,14.450000,5.193001,17600
2003-02-20,14.400000,14.400000,14.400000,14.400000,5.175030,2700
2003-02-21,14.280000,14.280000,14.280000,14.280000,5.131905,500
2003-02-24,14.400000,14.400000,14.200000,14.200000,5.103155,3700
2003-02-25,14.200000,14.600000,14.200000,14.600000,5.246904,5600
2003-02-26,14.500000,14.600000,14.450000,14.600000,5.246904,2200
2003-02-27,14.650000,14.800000,14.450000,14.450000,5.193001,10800
2003-02-28,14.550000,14.600000,14.550000,14.600000,5.246904,400
2003-03-03,14.250000,14.600000,14.250000,14.600000,5.246904,5600
2003-03-04,14.650000,14.700000,14.650000,14.650000,5.264877,4200
2003-03-05,14.650000,14.650000,14.650000,14.650000,5.264877,6800
2003-03-06,14.650000,14.880000,14.650000,14.800000,5.318786,2200
2003-03-07,14.800000,14.800000,14.800000,14.800000,5.318786,0
2003-03-10,14.800000,14.800000,14.800000,14.800000,5.318786,400
2003-03-11,14.700000,14.750000,14.700000,14.750000,5.300813,5700
2003-03-12,14.750000,14.750000,14.750000,14.750000,5.328268,1000
2003-03-13,14.530000,14.530000,14.200000,14.350000,5.183774,33100
2003-03-14,14.280000,14.280000,14.280000,14.280000,5.158487,1000
2003-03-17,14.280000,14.320000,14.130000,14.300000,5.165710,13500
2003-03-18,14.350000,14.510000,14.350000,14.510000,5.241566,9100
2003-03-19,14.500000,14.550000,14.350000,14.350000,5.183774,20800
2003-03-20,14.440000,14.650000,14.420000,14.420000,5.209058,9500
2003-03-21,14.410000,14.560000,14.300000,14.300000,5.165710,8100
2003-03-24,14.200000,14.280000,14.100000,14.280000,5.158487,2900
2003-03-25,14.350000,14.450000,14.350000,14.450000,5.219897,2300
2003-03-26,14.350000,14.350000,14.200000,14.250000,5.147650,6100
2003-03-27,14.300000,14.300000,14.060000,14.300000,5.165710,7400
2003-03-28,14.310000,14.310000,14.300000,14.300000,5.165710,1400
2003-03-31,14.400000,14.500000,14.250000,14.310000,5.169323,5400
2003-04-01,14.450000,14.650000,14.450000,14.650000,5.292143,2600
2003-04-02,14.700000,14.790000,14.560000,14.560000,5.259635,5300
2003-04-03,14.550000,14.700000,14.550000,14.700000,5.310206,3100
2003-04-04,14.850000,14.900000,14.850000,14.890000,5.378844,1100
2003-04-07,14.900000,14.900000,14.700000,14.800000,5.346331,6800
2003-04-08,14.800000,14.800000,14.800000,14.800000,5.346331,0
2003-04-09,14.760000,14.800000,14.600000,14.800000,5.346331,6600
2003-04-10,14.660000,14.850000,14.600000,14.700000,5.310206,7000
2003-04-11,14.750000,14.850000,14.700000,14.700000,5.337803,4200
2003-04-14,14.840000,14.840000,14.720000,14.720000,5.345065,1900
2003-04-15,14.820000,14.850000,14.700000,14.700000,5.337803,6600
2003-04-16,14.850000,14.870000,14.750000,14.750000,5.355958,2200
2003-04-17,14.750000,14.860000,14.750000,14.760000,5.359592,4800
2003-04-21,14.890000,14.990000,14.670000,14.670000,5.326911,14800
2003-04-22,14.670000,14.930000,14.670000,14.750000,5.355958,10100
2003-04-23,14.730000,14.730000,14.630000,14.630000,5.312385,14800
2003-04-24,14.620000,14.930000,14.620000,14.800000,5.374116,3000
2003-04-25,14.800000,14.850000,14.800000,14.850000,5.392271,2300
2003-04-28,14.930000,14.930000,14.790000,14.800000,5.374116,5600
2003-04-29,14.930000,14.930000,14.800000,14.930000,5.421320,9700
2003-04-30,14.990000,14.990000,14.710000,14.710000,5.341434,2700
2003-05-01,14.810000,14.910000,14.810000,14.810000,5.377747,1300
2003-05-02,14.990000,14.990000,14.820000,14.820000,5.381378,2900
2003-05-05,14.920000,14.920000,14.920000,14.920000,5.417688,100
2003-05-06,14.990000,14.990000,14.800000,14.800000,5.374116,4700
2003-05-07,14.700000,14.790000,14.630000,14.650000,5.319646,24000
2003-05-08,14.750000,14.750000,14.580000,14.650000,5.319646,7900
2003-05-09,14.720000,14.780000,14.650000,14.780000,5.366854,7400
2003-05-12,14.730000,14.840000,14.710000,14.830000,5.385010,3500
2003-05-13,14.780000,14.810000,14.710000,14.810000,5.405450,2400
2003-05-14,14.850000,14.850000,14.750000,14.750000,5.383547,8100
2003-05-15,14.750000,14.840000,14.700000,14.840000,5.416400,16200
2003-05-16,14.990000,14.990000,14.980000,14.980000,5.467495,5000
2003-05-19,14.970000,14.970000,14.760000,14.760000,5.387198,8000
2003-05-20,14.830000,14.970000,14.830000,14.890000,5.434645,8200
2003-05-21,14.900000,14.980000,14.850000,14.970000,5.463849,13300
2003-05-22,14.970000,14.980000,14.850000,14.900000,5.438296,11200
2003-05-23,14.990000,15.150000,14.940000,15.150000,5.529540,17700
2003-05-27,15.150000,15.220000,15.150000,15.200000,5.547791,8500
2003-05-28,15.200000,15.550000,15.000000,15.250000,5.566044,14700
2003-05-29,15.270000,15.300000,15.050000,15.270000,5.573340,15400
2003-05-30,15.370000,15.440000,15.150000,15.150000,5.529540,10100
2003-06-02,15.300000,15.350000,15.150000,15.250000,5.566044,3100
2003-06-03,15.450000,15.450000,15.100000,15.260000,5.569693,10500
2003-06-04,15.300000,15.490000,15.300000,15.490000,5.653638,3100
2003-06-05,15.160000,15.380000,15.160000,15.380000,5.613493,32100
2003-06-06,15.400000,15.450000,15.240000,15.450000,5.639037,9600
2003-06-09,15.500000,15.760000,15.250000,15.250000,5.566044,7300
2003-06-10,15.390000,15.450000,15.340000,15.450000,5.639037,6000
2003-06-11,15.430000,15.910000,15.410000,15.510000,5.688921,16800
2003-06-12,15.510000,15.800000,15.510000,15.800000,5.795290,4100
2003-06-13,15.780000,15.950000,15.750000,15.950000,5.850309,32800
2003-06-16,16.049999,16.049999,15.950000,15.950000,5.850309,13800
2003-06-17,15.850000,15.850000,15.770000,15.770000,5.784290,1000
2003-06-18,15.750000,15.760000,15.400000,15.400000,5.648571,26300
2003-06-19,15.410000,15.410000,15.110000,15.190000,5.571551,17700
2003-06-20,15.190000,15.190000,15.190000,15.190000,5.571551,3500
2003-06-23,15.150000,15.150000,15.040000,15.100000,5.538538,3700
2003-06-24,15.010000,15.010000,14.610000,14.790000,5.424835,38300
2003-06-25,14.790000,14.970000,14.790000,14.940000,5.479853,11600
2003-06-26,14.940000,14.970000,14.940000,14.970000,5.490857,4100
2003-06-27,14.980000,15.020000,14.980000,15.020000,5.509196,4900
2003-06-30,14.930000,15.150000,14.930000,15.050000,5.520199,14100
2003-07-01,15.070000,15.150000,15.010000,15.150000,5.556876,14200
2003-07-02,15.160000,15.370000,15.160000,15.370000,5.637573,7400
2003-07-03,15.250000,15.500000,15.250000,15.500000,5.685254,3800
2003-07-07,15.260000,15.500000,15.260000,15.430000,5.659579,6100
2003-07-08,15.260000,15.330000,15.150000,15.150000,5.556876,18400
2003-07-09,15.220000,15.230000,15.200000,15.200000,5.575215,7300
2003-07-10,15.240000,15.340000,15.210000,15.340000,5.626569,9600
2003-07-11,15.410000,15.480000,15.300000,15.300000,5.639838,4200
2003-07-14,15.260000,15.260000,15.160000,15.200000,5.602978,6500
2003-07-15,15.200000,15.400000,15.190000,15.340000,5.654584,10100
2003-07-16,15.240000,15.240000,15.100000,15.100000,5.566113,3700
2003-07-17,15.050000,15.050000,15.050000,15.050000,5.547683,5100
2003-07-18,15.060000,15.060000,15.060000,15.060000,5.551371,1000
2003-07-21,15.200000,15.200000,14.950000,14.950000,5.510826,10500
2003-07-22,14.950000,14.950000,14.600000,14.600000,5.381807,15600
2003-07-23,14.500000,14.520000,14.410000,14.500000,5.344946,16200
2003-07-24,14.410000,14.410000,14.390000,14.400000,5.308082,3000
2003-07-25,14.400000,14.400000,14.370000,14.400000,5.308082,5900
2003-07-28,14.400000,14.400000,14.340000,14.400000,5.308082,4200
2003-07-29,14.200000,14.240000,14.100000,14.240000,5.249105,3700
2003-07-30,13.900000,14.200000,13.900000,14.200000,5.234360,23200
2003-07-31,14.200000,14.210000,14.000000,14.060000,5.182755,6200
2003-08-01,14.110000,14.200000,14.110000,14.200000,5.234360,1000
