Date,Open,High,Low,Close,Adj Close,Volume
2006-12-11,9.880000,9.880000,9.410000,9.590000,9.590000,49900
2006-12-12,9.460000,9.460000,8.750000,9.150000,9.150000,191300
2006-12-13,9.260000,9.260000,8.520000,8.650000,8.650000,112700
2006-12-14,8.600000,9.560000,8.250000,9.380000,9.380000,201500
2006-12-15,9.320000,9.730000,9.020000,9.730000,9.730000,60100
2006-12-18,9.730000,9.730000,9.040000,9.300000,9.300000,20700
2006-12-19,9.170000,9.460000,8.950000,9.380000,9.380000,23700
2006-12-20,9.440000,9.770000,9.390000,9.500000,9.500000,44400
2006-12-21,9.490000,9.830000,9.250000,9.660000,9.660000,43500
2006-12-22,9.740000,9.740000,9.350000,9.350000,9.350000,152500
2006-12-26,9.730000,9.850000,9.450000,9.600000,9.600000,15200
2006-12-27,10.010000,10.010000,9.350000,9.580000,9.580000,46100
2006-12-28,9.480000,9.750000,9.480000,9.750000,9.750000,3400
2006-12-29,9.480000,9.750000,9.470000,9.720000,9.720000,17800
2007-01-03,9.940000,9.970000,9.410000,9.410000,9.410000,282900
2007-01-04,9.410000,9.500000,9.250000,9.350000,9.350000,297300
2007-01-05,9.330000,9.420000,9.320000,9.390000,9.390000,10900
2007-01-08,9.190000,9.520000,9.100000,9.500000,9.500000,29500
2007-01-09,9.660000,10.190000,9.520000,10.180000,10.180000,207900
2007-01-10,10.240000,10.240000,9.950000,10.010000,10.010000,56600
2007-01-11,10.100000,10.490000,9.850000,10.490000,10.490000,71300
2007-01-12,10.390000,10.840000,10.370000,10.840000,10.840000,70200
2007-01-16,11.480000,12.640000,10.850000,12.400000,12.400000,351500
2007-01-17,12.410000,12.500000,11.800000,11.860000,11.860000,368300
2007-01-18,11.860000,11.860000,10.920000,11.100000,11.100000,169100
2007-01-19,10.950000,11.190000,10.250000,11.130000,11.130000,152500
2007-01-22,11.150000,11.150000,10.380000,10.700000,10.700000,25500
2007-01-23,10.870000,11.080000,10.760000,11.070000,11.070000,25800
2007-01-24,11.190000,11.190000,10.550000,10.640000,10.640000,43900
2007-01-25,10.560000,10.560000,9.880000,9.990000,9.990000,73600
2007-01-26,9.990000,10.240000,9.640000,9.920000,9.920000,104100
2007-01-29,9.990000,10.140000,9.810000,10.010000,10.010000,42900
2007-01-30,10.150000,10.150000,8.870000,9.130000,9.130000,242000
2007-01-31,9.030000,9.590000,8.330000,9.420000,9.420000,166700
2007-02-01,9.540000,9.970000,9.540000,9.820000,9.820000,251700
2007-02-02,9.840000,9.840000,9.010000,9.230000,9.230000,225600
2007-02-05,9.250000,9.330000,8.920000,9.000000,9.000000,103400
2007-02-06,9.000000,9.390000,9.000000,9.150000,9.150000,190000
2007-02-07,9.110000,9.210000,9.030000,9.050000,9.050000,46100
2007-02-08,9.110000,9.110000,8.790000,8.900000,8.900000,126400
2007-02-09,8.960000,8.990000,8.360000,8.570000,8.570000,56500
2007-02-12,8.510000,8.800000,8.400000,8.610000,8.610000,90700
2007-02-13,8.700000,8.750000,8.500000,8.550000,8.550000,70100
2007-02-14,8.590000,8.640000,8.290000,8.350000,8.350000,95500
2007-02-15,8.350000,8.460000,8.080000,8.150000,8.150000,123800
2007-02-16,8.250000,8.480000,8.100000,8.180000,8.180000,69600
2007-02-20,8.160000,8.320000,7.930000,8.010000,8.010000,298000
2007-02-21,7.920000,8.050000,7.800000,7.910000,7.910000,142400
2007-02-22,8.260000,8.260000,7.710000,7.720000,7.720000,312600
2007-02-23,7.700000,7.970000,7.620000,7.950000,7.950000,50500
2007-02-26,8.030000,8.640000,7.960000,8.430000,8.430000,186600
2007-02-27,8.300000,8.370000,8.100000,8.250000,8.250000,102100
2007-02-28,8.160000,8.790000,8.090000,8.700000,8.700000,107300
2007-03-01,8.700000,8.700000,8.360000,8.450000,8.450000,71200
2007-03-02,8.430000,8.440000,7.470000,7.470000,7.470000,303800
2007-03-05,7.220000,7.420000,6.720000,6.840000,6.840000,313300
2007-03-06,7.050000,7.420000,6.950000,7.300000,7.300000,103700
2007-03-07,7.380000,7.650000,7.210000,7.450000,7.450000,109300
2007-03-08,7.500000,7.690000,7.400000,7.480000,7.480000,45400
2007-03-09,7.510000,7.510000,7.200000,7.260000,7.260000,18300
2007-03-12,7.190000,8.140000,7.190000,8.010000,8.010000,86400
2007-03-13,8.070000,8.080000,7.420000,7.420000,7.420000,45500
2007-03-14,7.480000,7.560000,7.140000,7.360000,7.360000,33400
2007-03-15,7.690000,7.690000,7.430000,7.460000,7.460000,37300
2007-03-16,7.410000,7.630000,7.260000,7.580000,7.580000,26700
2007-03-19,7.670000,7.980000,7.410000,7.670000,7.670000,19900
2007-03-20,7.670000,7.860000,7.670000,7.730000,7.730000,18000
2007-03-21,7.800000,7.980000,7.800000,7.850000,7.850000,54400
2007-03-22,7.910000,8.070000,7.000000,7.370000,7.370000,195700
2007-03-23,7.310000,7.660000,7.010000,7.440000,7.440000,57700
2007-03-26,7.390000,7.600000,7.110000,7.110000,7.110000,86700
2007-03-27,7.060000,7.200000,7.000000,7.060000,7.060000,53200
2007-03-28,7.110000,7.120000,6.860000,7.030000,7.030000,53600
2007-03-29,7.130000,7.130000,6.780000,6.930000,6.930000,48300
2007-03-30,6.960000,7.040000,6.750000,6.960000,6.960000,90700
2007-04-02,6.950000,7.000000,6.830000,6.940000,6.940000,229100
2007-04-03,7.000000,7.060000,6.790000,7.000000,7.000000,51600
2007-04-04,6.870000,7.020000,6.800000,6.870000,6.870000,88800
2007-04-05,6.920000,6.970000,6.790000,6.820000,6.820000,69000
2007-04-09,7.000000,7.000000,6.900000,6.960000,6.960000,28100
2007-04-10,7.000000,7.000000,6.810000,6.840000,6.840000,126900
2007-04-11,6.900000,6.900000,6.300000,6.310000,6.310000,181500
2007-04-12,6.330000,6.650000,5.930000,6.010000,6.010000,506200
