Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,0.648000,0.650000,0.648000,0.650000,0.650000,1200
2018-07-13,0.680000,0.680000,0.632000,0.660000,0.660000,15600
2018-07-16,0.643000,0.643000,0.626000,0.626000,0.626000,5500
2018-07-17,0.617000,0.632000,0.609000,0.624000,0.624000,2500
2018-07-18,0.607000,0.607000,0.599000,0.599000,0.599000,2700
2018-07-19,0.600000,0.600000,0.598000,0.598000,0.598000,14000
2018-07-20,0.611000,0.612000,0.611000,0.611000,0.611000,27400
2018-07-23,0.611000,0.850000,0.610000,0.628000,0.628000,4700
2018-07-24,0.626000,0.628000,0.610000,0.625000,0.625000,84200
2018-07-25,0.629000,0.629000,0.619000,0.621000,0.621000,1000
2018-07-26,0.616000,0.617000,0.615000,0.615000,0.615000,41700
2018-07-27,0.618000,0.620000,0.618000,0.620000,0.620000,3400
2018-07-30,0.619000,0.619000,0.588000,0.588000,0.588000,3800
2018-07-31,0.585000,0.660000,0.575000,0.575000,0.575000,21700
2018-08-01,0.610000,0.610000,0.575000,0.575000,0.575000,1100
2018-08-02,0.589000,0.589000,0.550000,0.550000,0.550000,2800
2018-08-03,0.578000,0.614000,0.575000,0.607000,0.607000,98100
2018-08-06,0.710000,1.000000,0.650000,0.790000,0.790000,42800
2018-08-07,0.610000,1.000000,0.600000,0.620000,0.620000,89800
2018-08-08,0.616000,0.650000,0.541000,0.550000,0.550000,40600
2018-08-09,0.557000,0.640000,0.541000,0.595000,0.595000,31000
2018-08-10,0.600000,0.605000,0.576000,0.576000,0.576000,12500
2018-08-13,0.550000,0.600000,0.538000,0.567000,0.567000,13300
2018-08-14,0.550000,0.640000,0.501000,0.620000,0.620000,19300
2018-08-15,0.640000,0.650000,0.549000,0.575000,0.575000,14100
2018-08-16,0.600000,0.600000,0.543000,0.545000,0.545000,28400
2018-08-17,0.583000,0.600000,0.568000,0.600000,0.600000,12400
2018-08-20,0.607000,0.700000,0.557000,0.607000,0.607000,74100
2018-08-21,0.610000,2.000000,0.558000,1.890000,1.890000,64300
2018-08-22,1.695000,1.695000,0.575000,0.602000,0.602000,31800
2018-08-23,0.607000,0.607000,0.599000,0.600000,0.600000,28400
2018-08-24,0.600000,0.605000,0.595000,0.604000,0.604000,6700
2018-08-27,0.615000,0.916000,0.594000,0.844000,0.844000,53100
2018-08-28,0.781000,0.803000,0.772000,0.803000,0.803000,35400
2018-08-29,0.988000,1.260000,0.920000,0.999000,0.999000,159600
2018-08-30,0.983000,1.100000,0.983000,1.036000,1.036000,96900
2018-08-31,1.081000,1.300000,1.045000,1.125000,1.125000,217200
2018-09-04,1.179000,1.300000,1.110000,1.150000,1.150000,108800
2018-09-05,1.188000,1.300000,1.119000,1.149000,1.149000,123200
2018-09-06,1.200000,1.200000,1.150000,1.200000,1.200000,52500
