Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,25.620001,25.670000,25.600000,25.639999,25.639999,1446700
2019-11-04,25.690001,25.743000,25.680000,25.709000,25.709000,101000
2019-11-05,25.799999,25.799999,25.700001,25.705999,25.705999,81900
2019-11-06,25.770000,25.770000,25.629999,25.674999,25.674999,182100
2019-11-07,25.788000,25.799999,25.698000,25.730000,25.730000,119600
2019-11-08,25.677999,25.752001,25.677999,25.745001,25.745001,95200
2019-11-11,26.049999,26.049999,25.709999,25.740000,25.740000,38000
2019-11-12,25.750000,25.809999,25.740000,25.770000,25.770000,55200
2019-11-13,25.770000,25.780001,25.719999,25.745001,25.745001,24900
2019-11-14,25.785999,25.809999,25.740000,25.790001,25.790001,82300
2019-11-15,25.870001,25.889999,25.770000,25.870001,25.870001,51900
2019-11-18,25.889999,25.920000,25.865999,25.885000,25.885000,24000
2019-11-19,25.980000,25.980000,25.870001,25.905001,25.905001,15200
2019-11-20,25.900000,25.900000,25.780001,25.844999,25.844999,79600
2019-11-21,25.850000,25.850000,25.799999,25.825001,25.825001,21700
2019-11-22,25.900000,25.900000,25.790001,25.834999,25.834999,15800
2019-11-25,25.900000,25.948999,25.900000,25.910000,25.910000,22700
2019-11-26,25.941999,25.981001,25.930000,25.959999,25.959999,26000
2019-11-27,26.010000,26.020000,25.980000,26.000000,26.000000,17000
2019-11-29,26.030001,26.030001,25.948000,25.948000,25.948000,9100
2019-12-02,25.910000,25.910000,25.799999,25.875000,25.875000,175600
2019-12-03,25.799999,25.799999,25.700001,25.754999,25.754999,11900
2019-12-04,25.820999,25.900000,25.820000,25.889999,25.889999,11400
2019-12-05,25.879999,25.895000,25.813000,25.895000,25.895000,1500
2019-12-06,25.900000,26.000000,25.900000,25.980000,25.980000,3600
2019-12-09,25.930000,25.990000,25.920000,25.954000,25.954000,18400
2019-12-10,26.020000,26.020000,25.879999,25.920000,25.920000,263300
2019-12-11,25.915001,26.000000,25.893000,25.965000,25.965000,16200
2019-12-12,26.010000,26.069000,26.000000,26.040001,26.040001,22700
2019-12-13,26.046000,26.090000,25.997999,26.055000,26.055000,4200
2019-12-16,26.135000,26.160000,26.118999,26.139999,26.139999,1700
2019-12-17,26.150999,26.190001,26.100000,26.165001,26.165001,5800
2019-12-18,26.106001,26.180000,26.106001,26.174999,26.174999,4400
2019-12-19,26.139999,26.200001,26.115000,26.150000,26.150000,22500
2019-12-20,26.225000,26.243000,26.190001,26.225000,26.225000,4200
2019-12-23,26.216000,26.260000,26.180000,26.215000,26.215000,12600
2019-12-24,26.230000,26.240000,26.200001,26.200001,26.200001,1600
2019-12-26,26.200001,26.280001,26.200001,26.240000,26.240000,3200
2019-12-27,26.290001,26.290001,26.238001,26.250000,26.250000,3900
2019-12-30,26.224001,26.239000,26.172001,26.200001,26.200001,2900
2019-12-31,26.202999,26.235001,26.160000,26.221001,26.221001,2200
2020-01-02,26.257000,26.340000,26.219999,26.320000,26.320000,9600
2020-01-03,26.274000,26.274000,26.219999,26.243999,26.243999,5100
2020-01-06,26.250000,26.254999,26.250000,26.254999,26.254999,1000
2020-01-07,26.219999,26.285000,26.219999,26.285000,26.285000,11100
2020-01-08,26.370001,26.370001,26.315001,26.365000,26.365000,7600
2020-01-09,26.389999,26.420000,26.340000,26.379999,26.379999,4600
2020-01-10,26.351999,26.430000,26.320000,26.334999,26.334999,21000
2020-01-13,26.360001,26.416000,26.360001,26.379999,26.379999,12100
2020-01-14,26.420000,26.430000,26.360001,26.430000,26.430000,37800
2020-01-15,26.410000,26.410000,26.410000,26.410000,26.410000,100
2020-01-16,26.500000,26.500000,26.445000,26.482000,26.482000,1200
2020-01-17,26.495001,26.520000,26.469999,26.500000,26.500000,900
2020-01-21,26.450001,26.523001,26.450001,26.480000,26.480000,6300
2020-01-22,26.534000,26.534000,26.510000,26.510000,26.510000,1900
2020-01-23,26.440001,26.493000,26.440001,26.490000,26.490000,400
2020-01-24,26.469999,26.490000,26.370001,26.434999,26.434999,29800
2020-01-27,26.280001,26.327000,26.250000,26.309000,26.309000,9700
2020-01-28,26.368000,26.407000,26.368000,26.407000,26.407000,600
2020-01-29,26.403999,26.410000,26.403999,26.410000,26.410000,1000
2020-01-30,26.368999,26.386000,26.368999,26.386000,26.386000,1200
2020-01-31,26.264999,26.264999,26.264999,26.264999,26.264999,0
2020-02-03,26.280001,26.350000,26.267000,26.285000,26.285000,6000
2020-02-04,26.430000,26.504999,26.410000,26.462000,26.462000,2700
2020-02-05,26.559999,26.559999,26.555000,26.555000,26.555000,200
2020-02-06,26.548000,26.559999,26.548000,26.559999,26.559999,1300
2020-02-07,26.545000,26.545000,26.525000,26.540001,26.540001,500
2020-02-10,26.590000,26.594999,26.590000,26.594999,26.594999,1100
2020-02-11,26.618999,26.618999,26.610001,26.610001,26.610001,200
2020-02-12,26.620001,26.669001,26.590000,26.610001,26.610001,2300
2020-02-13,26.590000,26.670000,26.590000,26.620001,26.620001,2100
2020-02-14,26.655001,26.655001,26.655001,26.655001,26.655001,100
2020-02-18,26.610001,26.610001,26.575001,26.584999,26.584999,1200
2020-02-19,26.663000,26.663000,26.663000,26.663000,26.663000,0
2020-02-20,26.594000,26.649000,26.570000,26.649000,26.649000,4000
2020-02-21,26.520000,26.559999,26.520000,26.530001,26.530001,400
2020-02-24,26.316000,26.316000,26.240000,26.299999,26.299999,11900
2020-02-25,26.283001,26.283001,25.940001,25.940001,25.940001,3800
2020-02-26,26.059999,26.059999,25.923000,25.923000,25.923000,3900
2020-02-27,25.650000,25.851999,25.530001,25.530001,25.530001,3600
2020-02-28,24.940001,25.150000,24.899000,25.052999,25.052999,17000
2020-03-02,25.450001,25.860001,25.450001,25.823999,25.823999,21300
