Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,24.610001,24.650000,24.549999,24.600000,24.600000,347300
2019-09-04,24.709999,24.726000,24.660000,24.716999,24.716999,215600
2019-09-05,24.860001,24.910000,24.850000,24.858000,24.858000,22100
2019-09-06,24.879000,24.929001,24.879000,24.896000,24.896000,21900
2019-09-09,24.950001,24.950001,24.840000,24.879999,24.879999,56200
2019-09-10,24.860001,24.865000,24.770000,24.830000,24.830000,29700
2019-09-11,24.920000,24.922001,24.875999,24.922001,24.922001,12500
2019-09-12,24.959999,25.020000,24.950001,24.983999,24.983999,10200
2019-09-13,25.040001,25.040001,24.950001,24.952000,24.952000,28400
2019-09-16,25.049999,25.049999,24.921000,24.950001,24.950001,51900
2019-09-17,24.969999,24.969999,24.895000,24.959999,24.959999,24800
2019-09-18,24.940001,24.959999,24.861000,24.959999,24.959999,35400
2019-09-19,24.990000,25.013000,24.944000,24.944000,24.944000,67200
2019-09-20,24.948999,24.959000,24.858999,24.916000,24.916000,7700
2019-09-23,24.910000,24.940001,24.809999,24.934999,24.934999,20600
2019-09-24,24.969999,24.969999,24.799000,24.826000,24.826000,20000
2019-09-25,24.785999,24.900000,24.785999,24.895000,24.895000,10500
2019-09-26,24.885000,24.920000,24.809999,24.875000,24.875000,11600
2019-09-27,24.940001,24.940001,24.750999,24.822001,24.822001,15300
2019-09-30,24.862000,24.910000,24.862000,24.889999,24.889999,4600
2019-10-01,24.888000,24.888000,24.750000,24.750000,24.750000,3300
2019-10-02,24.639999,24.657000,24.518000,24.590000,24.590000,11200
2019-10-03,24.610001,24.655001,24.583000,24.655001,24.655001,7800
2019-10-04,24.789000,24.830000,24.789000,24.830000,24.830000,3000
2019-10-07,24.812000,24.870001,24.812000,24.816000,24.816000,1700
2019-10-08,24.760000,24.760000,24.600000,24.600000,24.600000,24300
2019-10-09,24.650000,24.730000,24.650000,24.702000,24.702000,19300
2019-10-10,24.690001,24.790001,24.690001,24.764999,24.764999,19300
2019-10-11,24.940001,25.000000,24.903000,24.903000,24.903000,2400
2019-10-14,24.903000,24.903000,24.903000,24.903000,24.903000,0
2019-10-15,25.040001,25.040001,25.000000,25.000000,25.000000,1400
2019-10-16,25.020000,25.020000,24.989000,24.989000,24.989000,5800
2019-10-17,25.059999,25.080000,25.017000,25.017000,25.017000,6700
2019-10-18,24.997999,24.997999,24.941000,24.985001,24.985001,400
2019-10-21,25.059999,25.059999,25.024000,25.045000,25.045000,1600
2019-10-22,25.110001,25.110001,25.059999,25.059999,25.059999,2500
2019-10-23,25.055000,25.070000,25.010000,25.046000,25.046000,3900
2019-10-24,25.110001,25.110001,25.080000,25.084000,25.084000,1100
2019-10-25,25.090000,25.110001,25.090000,25.110001,25.110001,200
2019-10-28,25.160000,25.160000,25.160000,25.160000,25.160000,0
2019-10-29,25.180000,25.180000,25.149000,25.149000,25.149000,600
2019-10-30,25.100000,25.180000,25.100000,25.180000,25.180000,1800
2019-10-31,25.129999,25.160999,25.129999,25.160999,25.160999,300
2019-11-01,25.254999,25.264000,25.219999,25.264000,25.264000,30400
2019-11-04,25.330000,25.330000,25.260000,25.320000,25.320000,4700
2019-11-05,25.291000,25.292000,25.278999,25.278999,25.278999,1400
2019-11-06,25.298000,25.306999,25.283001,25.299999,25.299999,2900
2019-11-07,25.330000,25.358999,25.296000,25.296000,25.296000,1800
2019-11-08,25.330000,25.340000,25.330000,25.330000,25.330000,1400
2019-11-11,25.309000,25.322001,25.309000,25.322001,25.322001,600
2019-11-12,25.389000,25.389000,25.346001,25.346001,25.346001,700
2019-11-13,25.370001,25.370001,25.351999,25.351999,25.351999,1800
2019-11-14,25.379999,25.379999,25.364000,25.364000,25.364000,800
2019-11-15,25.360001,25.454000,25.360001,25.443001,25.443001,1300
2019-11-18,25.438000,25.451000,25.438000,25.451000,25.451000,600
2019-11-19,25.472000,25.472000,25.455000,25.455000,25.455000,2600
2019-11-20,25.400000,25.402000,25.400000,25.402000,25.402000,400
2019-11-21,25.385000,25.385000,25.385000,25.385000,25.385000,0
2019-11-22,25.430000,25.430000,25.415001,25.415001,25.415001,400
2019-11-25,25.485001,25.485001,25.485001,25.485001,25.485001,0
2019-11-26,25.540001,25.540001,25.514000,25.514000,25.514000,4200
2019-11-27,25.549999,25.570000,25.545000,25.545000,25.545000,300
2019-11-29,25.507999,25.507999,25.507999,25.507999,25.507999,0
2019-12-02,25.440001,25.440001,25.410000,25.440001,25.440001,2700
2019-12-03,25.299999,25.363001,25.290001,25.363001,25.363001,1100
2019-12-04,25.452999,25.452999,25.410999,25.430000,25.430000,1700
2019-12-05,25.450001,25.459000,25.443001,25.443001,25.443001,3000
2019-12-06,25.518999,25.518999,25.518999,25.518999,25.518999,0
2019-12-09,25.493999,25.493999,25.493999,25.493999,25.493999,0
2019-12-10,25.475000,25.475000,25.475000,25.475000,25.475000,0
2019-12-11,25.500000,25.510000,25.480000,25.510000,25.510000,40100
2019-12-12,25.590000,25.590000,25.545000,25.590000,25.590000,2900
2019-12-13,25.610001,25.610001,25.600000,25.608000,25.608000,1100
2019-12-16,25.680000,25.684999,25.665001,25.665001,25.665001,300
2019-12-17,25.700001,25.700001,25.674999,25.674999,25.674999,6800
2019-12-18,25.658001,25.665001,25.658001,25.665001,25.665001,500
2019-12-19,25.702000,25.719999,25.650000,25.701000,25.701000,77700
2019-12-20,25.600000,25.730000,25.600000,25.725000,25.725000,7100
2019-12-23,25.725000,25.730000,25.709999,25.726000,25.726000,5400
2019-12-24,25.600000,25.715000,25.600000,25.715000,25.715000,8500
2019-12-26,25.719999,25.740000,25.719999,25.740000,25.740000,600
2019-12-27,25.735001,25.735001,25.735001,25.735001,25.735001,100
2019-12-30,25.660000,25.740000,25.660000,25.705999,25.705999,5600
2019-12-31,25.590000,25.737000,25.590000,25.737000,25.737000,700
2020-01-02,25.740999,25.819000,25.740000,25.819000,25.819000,2000
2020-01-03,25.731001,25.773001,25.731001,25.773001,25.773001,1200
2020-01-06,25.730000,25.791000,25.730000,25.791000,25.791000,5100
2020-01-07,25.767000,25.809999,25.767000,25.809999,25.809999,400
2020-01-08,25.760000,25.830000,25.760000,25.830000,25.830000,3300
2020-01-09,25.860001,25.860001,25.860001,25.860001,25.860001,500
2020-01-10,25.830000,25.877001,25.830000,25.855000,25.855000,4400
2020-01-13,25.780001,25.900000,25.780001,25.900000,25.900000,200
2020-01-14,25.799999,25.930000,25.799999,25.875999,25.875999,1800
2020-01-15,25.910000,25.910000,25.895000,25.895000,25.895000,1800
2020-01-16,25.920000,25.955999,25.920000,25.955999,25.955999,4100
2020-01-17,25.961000,25.969999,25.961000,25.969999,25.969999,600
2020-01-21,25.959999,25.959999,25.959999,25.959999,25.959999,0
2020-01-22,25.989000,25.989000,25.979000,25.979000,25.979000,100
2020-01-23,25.969999,25.969999,25.969999,25.969999,25.969999,0
2020-01-24,25.940001,25.940001,25.910000,25.910000,25.910000,300
2020-01-27,25.792000,25.792000,25.792000,25.792000,25.792000,100
2020-01-28,25.874001,25.874001,25.874001,25.874001,25.874001,100
2020-01-29,25.886999,25.886999,25.865999,25.865999,25.865999,600
2020-01-30,25.855000,25.900000,25.855000,25.900000,25.900000,1000
2020-01-31,25.747999,25.747999,25.747999,25.747999,25.747999,100
2020-02-03,25.879999,25.879999,25.780001,25.830000,25.830000,8100
2020-02-04,25.975000,25.975000,25.975000,25.975000,25.975000,0
2020-02-05,26.004999,26.004999,26.004999,26.004999,26.004999,0
2020-02-06,26.080000,26.080000,26.030001,26.030001,26.030001,200
2020-02-07,25.995001,25.995001,25.995001,25.995001,25.995001,0
2020-02-10,26.035999,26.035999,26.035999,26.035999,26.035999,0
2020-02-11,26.049000,26.049000,26.049000,26.049000,26.049000,300
