Date,Open,High,Low,Close,Adj Close,Volume
1986-05-13,5.333333,6.666666,5.333333,5.333333,1.817622,1125
1986-05-14,null,null,null,null,null,null
1986-05-15,null,null,null,null,null,null
1986-05-16,null,null,null,null,null,null
1986-05-19,null,null,null,null,null,null
1986-05-20,null,null,null,null,null,null
1986-05-21,null,null,null,null,null,null
1986-05-22,null,null,null,null,null,null
1986-05-23,null,null,null,null,null,null
1986-05-27,null,null,null,null,null,null
1986-05-28,null,null,null,null,null,null
1986-05-29,6.666666,6.666666,6.666666,6.666666,2.272028,750
1986-05-30,null,null,null,null,null,null
1986-06-02,null,null,null,null,null,null
1986-06-03,5.866666,5.866666,5.866666,5.866666,1.999386,4875
1986-06-04,null,null,null,null,null,null
1986-06-05,5.866666,5.866666,5.600000,5.866666,1.999386,6000
1986-06-06,null,null,null,null,null,null
1986-06-09,null,null,null,null,null,null
1986-06-10,5.000000,5.333333,5.000000,5.000000,1.704021,15000
1986-06-11,5.000000,5.000000,5.000000,5.000000,1.704021,3750
1986-06-12,null,null,null,null,null,null
1986-06-13,null,null,null,null,null,null
1986-06-16,null,null,null,null,null,null
1986-06-17,null,null,null,null,null,null
1986-06-18,null,null,null,null,null,null
1986-06-19,5.200000,5.200000,4.533333,5.200000,1.772182,1875
1986-06-20,null,null,null,null,null,null
1986-06-23,4.533333,4.533333,4.533333,4.533333,1.544979,1125
1986-06-24,null,null,null,null,null,null
1986-06-25,null,null,null,null,null,null
1986-06-26,5.333333,5.333333,5.333333,5.333333,1.817622,1500
1986-06-27,5.366666,5.366666,5.366666,5.366666,1.828982,750
1986-06-30,null,null,null,null,null,null
1986-07-01,6.400000,6.400000,6.133333,6.400000,2.181147,5250
1986-07-02,6.533333,6.533333,6.533333,6.533333,2.226587,5625
1986-07-03,6.800000,6.800000,6.800000,6.800000,2.317469,6750
1986-07-07,null,null,null,null,null,null
1986-07-08,6.266666,6.266666,6.266666,6.266666,2.135706,3375
1986-07-09,6.800000,6.800000,6.800000,6.800000,2.317469,7500
1986-07-10,null,null,null,null,null,null
1986-07-11,null,null,null,null,null,null
1986-07-14,6.933333,6.933333,6.933333,6.933333,2.362909,1875
1986-07-15,6.666666,6.800000,6.666666,6.666666,2.272028,1500
1986-07-16,null,null,null,null,null,null
1986-07-17,null,null,null,null,null,null
1986-07-18,6.800000,6.800000,6.800000,6.800000,2.317469,1125
1986-07-21,null,null,null,null,null,null
1986-07-22,6.000000,6.800000,6.000000,6.000000,2.044826,67875
1986-07-23,6.266666,6.266666,6.000000,6.266666,2.135706,112500
1986-07-24,5.833333,6.133333,5.833333,5.833333,1.988024,2112000
1986-07-25,5.966666,6.000000,5.866666,5.966666,2.033465,318375
1986-07-28,5.933333,6.033333,5.833333,5.933333,2.022105,216375
1986-07-29,5.900000,5.933333,5.866666,5.900000,2.010745,141375
1986-07-30,6.000000,6.000000,5.866666,6.000000,2.044826,453750
1986-07-31,6.400000,6.533333,5.966666,6.400000,2.181147,653250
1986-08-01,6.533333,6.533333,6.366666,6.533333,2.226587,129000
1986-08-04,6.400000,6.500000,6.366666,6.400000,2.182327,282750
1986-08-05,6.666666,6.666666,6.400000,6.666666,2.273257,544500
1986-08-06,6.633333,6.666666,6.500000,6.633333,2.261892,225750
1986-08-07,6.666666,6.666666,6.600000,6.666666,2.273257,66375
1986-08-08,6.533333,6.600000,6.533333,6.533333,2.227792,53250
1986-08-11,6.566666,6.600000,6.533333,6.566666,2.239161,63000
1986-08-12,6.533333,6.600000,6.466666,6.533333,2.227792,243750
1986-08-13,6.566666,6.666666,6.533333,6.566666,2.239161,111000
1986-08-14,6.933333,6.933333,6.666666,6.933333,2.364188,142500
1986-08-15,7.000000,7.000000,6.933333,7.000000,2.386920,88125
1986-08-18,7.200000,7.266666,6.933333,7.200000,2.455119,87000
1986-08-19,7.400000,7.466666,7.200000,7.400000,2.523317,108375
1986-08-20,7.466666,7.533333,7.400000,7.466666,2.546048,359625
1986-08-21,7.200000,7.533333,7.200000,7.200000,2.455119,247125
1986-08-22,7.200000,7.200000,7.100000,7.200000,2.455119,44250
1986-08-25,7.233333,7.266666,7.133333,7.233333,2.466485,31125
1986-08-26,7.200000,7.266666,7.200000,7.200000,2.455119,420000
1986-08-27,7.266666,7.266666,7.166666,7.266666,2.477850,157500
1986-08-28,7.200000,7.266666,7.166666,7.200000,2.455119,395625
1986-08-29,7.233333,7.266666,7.200000,7.233333,2.466485,130500
1986-09-02,7.233333,7.300000,7.200000,7.233333,2.466485,243000
1986-09-03,7.266666,7.300000,7.200000,7.266666,2.477850,27000
1986-09-04,7.266666,7.266666,7.133333,7.266666,2.477850,36000
1986-09-05,7.200000,7.266666,7.133333,7.200000,2.455119,43875
1986-09-08,7.000000,7.133333,6.933333,7.000000,2.386920,241500
1986-09-09,7.000000,7.000000,6.866666,7.000000,2.386920,70875
1986-09-10,6.866666,6.933333,6.866666,6.866666,2.341455,166875
1986-09-11,6.666666,6.933333,6.633333,6.666666,2.273257,253500
1986-09-12,6.533333,6.600000,6.400000,6.533333,2.227792,246750
1986-09-15,6.566666,6.600000,6.466666,6.566666,2.239161,129375
1986-09-16,6.633333,6.633333,6.500000,6.633333,2.261892,267000
1986-09-17,6.566666,6.600000,6.466666,6.566666,2.239161,778875
1986-09-18,6.600000,6.600000,6.500000,6.600000,2.250525,314250
1986-09-19,6.633333,6.633333,6.500000,6.633333,2.261892,205125
1986-09-22,6.566666,6.633333,6.533333,6.566666,2.239161,1289625
1986-09-23,6.833333,6.833333,6.633333,6.833333,2.330088,105750
1986-09-24,6.800000,6.933333,6.800000,6.800000,2.318723,38625
1986-09-25,6.666666,6.900000,6.666666,6.666666,2.273257,69000
1986-09-26,6.666666,6.833333,6.633333,6.666666,2.273257,121875
1986-09-29,6.633333,6.766666,6.633333,6.633333,2.261892,48375
1986-09-30,6.700000,6.700000,6.600000,6.700000,2.284625,49125
1986-10-01,6.733333,6.733333,6.500000,6.733333,2.295990,1209375
