Date,Open,High,Low,Close,Adj Close,Volume
2010-01-14,25.320000,25.379999,25.190001,25.330000,19.471394,190300
2010-01-15,25.290001,25.290001,24.879999,24.920000,19.156227,344000
2010-01-19,25.100000,25.280001,25.020000,25.260000,19.417583,231700
2010-01-20,24.840000,24.840000,24.490000,24.700001,18.987106,198300
2010-01-21,24.490000,24.500000,23.900000,23.900000,18.372137,177100
2010-01-22,23.850000,23.850000,23.389999,23.459999,18.033907,58400
2010-01-25,23.860001,23.940001,23.570000,23.629999,18.164591,114200
2010-01-26,23.299999,23.549999,23.110001,23.299999,17.910919,82800
2010-01-27,23.139999,23.260000,22.870001,23.200001,17.834049,46400
2010-01-28,23.469999,23.469999,22.870001,23.129999,17.780233,38200
2010-01-29,23.430000,23.520000,22.900000,23.000000,17.680302,50500
2010-02-01,23.240000,23.580000,23.219999,23.580000,18.126156,64200
2010-02-02,23.580000,23.730000,23.400000,23.719999,18.233774,467500
2010-02-03,23.770000,23.799999,23.540001,23.639999,18.172276,26300
2010-02-04,23.250000,23.250000,22.559999,22.559999,17.342068,83200
2010-02-05,22.469999,23.000000,21.790001,22.379999,17.203701,65800
2010-02-08,22.370001,22.420000,22.129999,22.129999,17.011524,45900
2010-02-09,22.570000,22.950001,22.490000,22.730000,17.472748,45900
2010-02-10,22.830000,22.910000,22.530001,22.690001,17.442003,68900
2010-02-11,22.900000,23.280001,22.740000,23.230000,17.857103,197000
2010-02-12,22.840000,22.990000,22.650000,22.990000,17.672617,50600
2010-02-16,23.330000,23.480000,23.170000,23.459999,18.033907,63500
2010-02-17,23.730000,23.730000,23.410000,23.570000,18.118465,42800
2010-02-18,23.459999,23.740000,23.430000,23.709999,18.226086,47700
2010-02-19,23.490000,23.639999,23.350000,23.500000,18.064657,25300
2010-02-22,23.670000,23.670000,23.410000,23.459999,18.033907,43500
2010-02-23,23.420000,23.420000,22.950001,23.049999,17.718739,40800
2010-02-24,23.200001,23.350000,23.049999,23.290001,17.903227,22500
2010-02-25,22.850000,23.190001,22.700001,23.160000,17.803293,36800
2010-02-26,23.330000,23.590000,23.190001,23.389999,17.980099,92200
2010-03-01,23.730000,23.920000,23.540001,23.820000,18.310646,93900
2010-03-02,24.110001,24.150000,23.900000,24.059999,18.495134,158300
2010-03-03,24.209999,24.320000,24.040001,24.120001,18.541260,51500
2010-03-04,24.190001,24.190001,23.950001,24.100000,18.525883,99700
2010-03-05,24.219999,24.590000,24.190001,24.540001,18.864117,1013300
