Date,Open,High,Low,Close,Adj Close,Volume
2019-09-04,16.490000,16.490000,7.000000,7.100000,7.100000,3200
2019-09-05,7.000000,9.500000,7.000000,9.250000,9.250000,8700
2019-09-06,8.000000,9.000000,7.100000,8.050000,8.050000,3200
2019-09-09,8.000000,8.000000,7.650000,7.650000,7.650000,2100
2019-09-10,7.700000,8.100000,7.700000,8.100000,8.100000,800
2019-09-11,8.250000,8.850000,7.400000,8.150000,8.150000,3400
2019-09-12,8.000000,8.650000,8.000000,8.000000,8.000000,24000
2019-09-13,8.050000,8.050000,8.000000,8.000000,8.000000,400
2019-09-16,8.000000,8.000000,7.750000,7.750000,7.750000,600
2019-09-17,7.750000,7.750000,7.750000,7.750000,7.750000,35000
2019-09-18,7.550000,8.000000,7.550000,7.600000,7.600000,7700
2019-09-19,7.800000,7.800000,7.550000,7.600000,7.600000,1100
2019-09-20,7.550000,7.550000,7.550000,7.550000,7.550000,3900
2019-09-23,7.550000,7.650000,7.550000,7.650000,7.650000,29000
2019-09-24,7.550000,7.550000,7.550000,7.550000,7.550000,4400
2019-09-25,7.550000,7.550000,7.500000,7.550000,7.550000,6100
2019-09-26,7.400000,7.450000,7.400000,7.450000,7.450000,3200
2019-09-27,7.500000,7.550000,7.500000,7.500000,7.500000,2500
2019-09-30,7.450000,8.000000,7.450000,7.500000,7.500000,3100
2019-10-01,7.500000,7.700000,7.500000,7.700000,7.700000,2600
2019-10-02,7.550000,7.550000,7.550000,7.550000,7.550000,1600
2019-10-03,7.500000,7.500000,7.500000,7.500000,7.500000,200
2019-10-04,7.550000,7.550000,7.550000,7.550000,7.550000,4000
2019-10-07,7.550000,7.573000,7.550000,7.550000,7.550000,1800
2019-10-08,7.550000,7.550000,7.500000,7.550000,7.550000,1900
2019-10-09,7.510000,7.550000,7.500000,7.550000,7.550000,32900
2019-10-10,7.550000,7.550000,7.550000,7.550000,7.550000,3100
2019-10-11,7.500000,7.600000,7.500000,7.600000,7.600000,6100
2019-10-14,7.550000,7.550000,7.550000,7.550000,7.550000,2500
2019-10-15,7.550000,7.575000,7.550000,7.550000,7.550000,2700
2019-10-16,7.550000,7.550000,7.520000,7.550000,7.550000,9400
2019-10-17,7.600000,7.600000,7.550000,7.550000,7.550000,7500
2019-10-18,7.550000,7.550000,7.550000,7.550000,7.550000,2000
2019-10-21,7.550000,7.725000,7.550000,7.600000,7.600000,3300
2019-10-22,7.600000,7.600000,7.600000,7.600000,7.600000,43800
2019-10-23,7.600000,7.600000,7.600000,7.600000,7.600000,8000
2019-10-24,7.600000,7.650000,7.600000,7.600000,7.600000,2500
2019-10-25,7.600000,7.650000,7.600000,7.600000,7.600000,3500
2019-10-28,7.600000,7.650000,7.600000,7.600000,7.600000,6200
2019-10-29,7.600000,7.650000,7.600000,7.600000,7.600000,4200
2019-10-30,7.610000,7.610000,7.600000,7.600000,7.600000,3400
2019-10-31,7.600000,7.700000,7.600000,7.700000,7.700000,7100
2019-11-01,7.990000,7.990000,7.650000,7.750000,7.750000,10800
2019-11-04,7.725000,7.725000,7.700000,7.700000,7.700000,10900
