Date,Open,High,Low,Close,Adj Close,Volume
1983-07-19,2.132044,2.151785,2.132044,2.132044,1.806350,2705643
1983-07-20,2.132044,2.132044,2.112303,2.112303,1.789626,710445
1983-07-21,2.013597,2.013597,1.993856,1.993856,1.689272,607867
1983-07-22,2.033338,2.072821,2.033338,2.033338,1.722723,322930
1983-07-25,2.132044,2.151785,2.132044,2.132044,1.806350,158932
1983-07-26,2.132044,2.151785,2.112303,2.112303,1.789626,212754
1983-07-27,2.112303,2.132044,2.092562,2.092562,1.772899,413476
1983-07-28,2.092562,2.092562,2.053079,2.053079,1.739448,174762
1983-07-29,2.033338,2.033338,2.013597,2.013597,1.705998,70918
1983-08-01,1.974115,1.974115,1.954374,1.954374,1.655822,87381
1983-08-02,1.796444,1.796444,1.776703,1.776703,1.505292,82315
1983-08-03,1.756962,1.756962,1.737221,1.737221,1.471841,215920
1983-08-04,1.737221,1.756962,1.737221,1.737221,1.471841,44324
1983-08-05,1.737221,1.737221,1.717480,1.717480,1.455116,23428
1983-08-08,1.717480,1.737221,1.697739,1.697739,1.438391,115875
1983-08-09,1.697739,1.717480,1.677998,1.677998,1.421665,49389
1983-08-10,1.717480,1.737221,1.717480,1.717480,1.455116,124739
1983-08-11,1.776703,1.816186,1.776703,1.776703,1.505292,160832
1983-08-12,1.816186,1.855668,1.816186,1.816186,1.538743,107010
1983-08-15,1.875409,1.895150,1.875409,1.875409,1.588919,136137
1983-08-16,1.875409,1.875409,1.835927,1.835927,1.555469,146268
1983-08-17,1.835927,1.835927,1.816186,1.816186,1.538743,126639
1983-08-18,1.816186,1.835927,1.796444,1.796444,1.522017,69018
1983-08-19,1.816186,1.855668,1.816186,1.816186,1.538743,46856
1983-08-22,1.855668,1.895150,1.855668,1.855668,1.572194,72184
1983-08-23,1.875409,1.914891,1.875409,1.875409,1.588919,63320
1983-08-24,1.875409,1.895150,1.875409,1.875409,1.588919,40524
1983-08-25,1.875409,1.895150,1.875409,1.875409,1.588919,24061
1983-08-26,1.875409,1.895150,1.855668,1.855668,1.572194,137403
1983-08-29,1.855668,1.895150,1.855668,1.855668,1.572194,52555
1983-08-30,1.855668,1.855668,1.835927,1.835927,1.555469,107010
1983-08-31,1.835927,1.835927,1.796444,1.796444,1.522017,36725
1983-09-01,1.796444,1.816186,1.776703,1.776703,1.505292,15197
1983-09-02,1.776703,1.816186,1.776703,1.776703,1.505292,32926
1983-09-06,1.776703,1.796444,1.776703,1.776703,1.505292,50022
1983-09-07,1.717480,1.717480,1.658256,1.658256,1.404939,72184
1983-09-08,1.697739,1.737221,1.697739,1.697739,1.438391,20895
1983-09-09,1.697739,1.697739,1.677998,1.677998,1.421665,52555
1983-09-12,1.579292,1.579292,1.559551,1.559551,1.321312,82315
1983-09-13,1.520068,1.520068,1.500327,1.500327,1.271135,13930
1983-09-14,1.500327,1.520068,1.480586,1.480586,1.254410,140569
1983-09-15,1.480586,1.500327,1.480586,1.480586,1.254410,121573
1983-09-16,1.500327,1.539810,1.500327,1.500327,1.271135,39891
1983-09-19,1.520068,1.539810,1.520068,1.520068,1.287861,32293
1983-09-20,1.559551,1.579292,1.559551,1.559551,1.321312,14563
1983-09-21,1.677998,1.697739,1.677998,1.677998,1.421665,92446
1983-09-22,1.677998,1.677998,1.658256,1.658256,1.404939,124739
1983-09-23,1.658256,1.677998,1.658256,1.658256,1.404939,70918
1983-09-26,1.658256,1.677998,1.658256,1.658256,1.404939,13930
1983-09-27,1.658256,1.658256,1.618774,1.618774,1.371489,34193
1983-09-28,1.618774,1.658256,1.618774,1.618774,1.371489,8232
1983-09-29,1.618774,1.658256,1.618774,1.618774,1.371489,146268
1983-09-30,1.658256,1.677998,1.658256,1.658256,1.404939,399546
1983-10-03,1.658256,1.658256,1.638515,1.638515,1.388214,8865
1983-10-04,1.618774,1.618774,1.579292,1.579292,1.338038,90547
1983-10-05,1.579292,1.599033,1.579292,1.579292,1.338038,9498
1983-10-06,1.579292,1.599033,1.579292,1.579292,1.338038,18996
1983-10-07,1.579292,1.599033,1.579292,1.579292,1.338038,13930
1983-10-10,1.579292,1.599033,1.579292,1.579292,1.338038,2533
1983-10-11,1.579292,1.599033,1.559551,1.559551,1.321312,29127
1983-10-12,1.539810,1.539810,1.500327,1.500327,1.271135,33559
1983-10-13,1.539810,1.559551,1.539810,1.539810,1.304587,306466
1983-10-14,1.539810,1.559551,1.539810,1.539810,1.304587,198190
1983-10-17,1.539810,1.559551,1.539810,1.539810,1.304587,70918
1983-10-18,1.500327,1.500327,1.480586,1.480586,1.254410,61420
1983-10-19,1.480586,1.500327,1.441104,1.441104,1.220959,32293
1983-10-20,1.441104,1.480586,1.441104,1.441104,1.220959,22795
1983-10-21,1.441104,1.480586,1.441104,1.441104,1.220959,20262
1983-10-24,1.401622,1.401622,1.381880,1.381880,1.170783,49389
1983-10-25,1.381880,1.381880,1.342398,1.342398,1.137332,13930
1983-10-26,1.342398,1.401622,1.342398,1.342398,1.137332,12664
1983-10-27,1.342398,1.381880,1.322657,1.322657,1.120606,22162
1983-10-28,1.342398,1.362139,1.342398,1.342398,1.137332,10764
1983-10-31,1.362139,1.381880,1.362139,1.362139,1.154057,86115
1983-11-01,1.362139,1.381880,1.362139,1.362139,1.154057,174762
1983-11-02,1.362139,1.381880,1.362139,1.362139,1.154057,17729
1983-11-03,1.362139,1.381880,1.362139,1.362139,1.154057,50022
1983-11-04,1.362139,1.381880,1.362139,1.362139,1.154057,74084
1983-11-07,1.362139,1.381880,1.362139,1.362139,1.154057,174762
1983-11-08,1.362139,1.381880,1.362139,1.362139,1.154057,24695
1983-11-09,1.362139,1.381880,1.362139,1.362139,1.154057,34193
1983-11-10,1.362139,1.381880,1.362139,1.362139,1.154057,18996
1983-11-11,1.381880,1.401622,1.381880,1.381880,1.170783,185526
1983-11-14,1.401622,1.441104,1.401622,1.401622,1.187509,136770
1983-11-15,1.401622,1.441104,1.401622,1.401622,1.187509,32926
1983-11-16,1.401622,1.441104,1.401622,1.401622,1.187509,8232
1983-11-17,1.401622,1.441104,1.381880,1.381880,1.170783,535050
1983-11-18,1.401622,1.441104,1.401622,1.401622,1.187509,122840
1983-11-21,1.441104,1.460845,1.441104,1.441104,1.220959,9498
1983-11-22,1.460845,1.480586,1.460845,1.460845,1.237685,50022
1983-11-23,1.460845,1.480586,1.460845,1.460845,1.237685,55088
1983-11-25,1.460845,1.480586,1.460845,1.460845,1.237685,13930
1983-11-28,1.460845,1.480586,1.460845,1.460845,1.237685,23428
1983-11-29,1.460845,1.480586,1.460845,1.460845,1.237685,92446
1983-11-30,1.460845,1.480586,1.441104,1.441104,1.220959,40524
1983-12-01,1.401622,1.401622,1.381880,1.381880,1.170783,34193
1983-12-02,1.381880,1.401622,1.381880,1.381880,1.170783,76617
1983-12-05,1.381880,1.381880,1.362139,1.362139,1.154057,28494
1983-12-06,1.322657,1.322657,1.302916,1.302916,1.103881,160198
1983-12-07,1.283175,1.283175,1.263433,1.263433,1.070430,74084
1983-12-08,1.263433,1.263433,1.243692,1.243692,1.053704,77250
1983-12-09,1.263433,1.263433,1.263433,1.263433,1.070430,331794
1983-12-12,1.263433,1.263433,1.263433,1.263433,1.070430,44957
1983-12-13,1.263433,1.263433,1.243692,1.243692,1.053704,32293
1983-12-14,1.243692,1.263433,1.243692,1.243692,1.053704,72184
1983-12-15,1.243692,1.263433,1.243692,1.243692,1.053704,194391
1983-12-16,1.263433,1.283175,1.263433,1.263433,1.070430,192491
1983-12-19,1.263433,1.263433,1.223951,1.223951,1.036979,33559
1983-12-20,1.204210,1.204210,1.164728,1.164728,0.986803,52555
1983-12-21,1.144987,1.144987,1.125245,1.125245,0.953352,48123
1983-12-22,1.125245,1.125245,1.105504,1.105504,0.936626,170330
1983-12-23,1.204210,1.223951,1.204210,1.204210,1.020254,110809
1983-12-27,1.204210,1.223951,1.184469,1.184469,1.003528,114608
1983-12-28,1.184469,1.204210,1.184469,1.184469,1.003528,286204
1983-12-29,1.184469,1.204210,1.184469,1.184469,1.003528,142469
1983-12-30,1.283175,1.302916,1.283175,1.283175,1.087156,227950
1984-01-03,1.283175,1.283175,1.263433,1.263433,1.070430,110176
1984-01-04,1.283175,1.302916,1.283175,1.283175,1.087156,33559
1984-01-05,1.362139,1.381880,1.362139,1.362139,1.154057,214020
1984-01-06,1.362139,1.401622,1.362139,1.362139,1.154057,67752
1984-01-09,1.381880,1.401622,1.381880,1.381880,1.170783,36725
1984-01-10,1.381880,1.381880,1.362139,1.362139,1.154057,50022
1984-01-11,1.362139,1.362139,1.322657,1.322657,1.120606,132338
1984-01-12,1.342398,1.362139,1.342398,1.342398,1.137332,38625
1984-01-13,1.342398,1.342398,1.322657,1.322657,1.120606,40524
1984-01-16,1.302916,1.302916,1.283175,1.283175,1.087156,39891
1984-01-17,1.283175,1.302916,1.283175,1.283175,1.087156,1266
1984-01-18,1.283175,1.302916,1.283175,1.283175,1.087156,8232
1984-01-19,1.283175,1.302916,1.283175,1.283175,1.087156,0
1984-01-20,1.283175,1.302916,1.283175,1.283175,1.087156,168430
1984-01-23,1.283175,1.302916,1.283175,1.283175,1.087156,20895
1984-01-24,1.283175,1.322657,1.283175,1.283175,1.087156,10131
1984-01-25,1.283175,1.302916,1.283175,1.283175,1.087156,8865
1984-01-26,1.283175,1.283175,1.263433,1.263433,1.070430,19629
