Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,7.750000,7.750000,7.750000,7.750000,7.750000,100
2015-01-07,7.500000,7.500000,7.500000,7.500000,7.500000,100
2015-01-08,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-09,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-12,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-13,7.500000,7.500000,7.500000,7.500000,7.500000,300
2015-01-14,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-15,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-16,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-20,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-01-21,7.000000,7.000000,7.000000,7.000000,7.000000,200
2015-01-22,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-23,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-26,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-27,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-28,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-29,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-01-30,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-02,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-03,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-04,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-05,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-06,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-09,7.000000,7.000000,7.000000,7.000000,7.000000,0
2015-02-10,4.000000,4.000000,4.000000,4.000000,4.000000,600
2015-02-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-02-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-02-13,4.000000,4.000000,4.000000,4.000000,4.000000,100
2015-02-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-02-18,4.000000,4.000000,3.860000,3.860000,3.860000,200
2015-02-19,3.860000,3.860000,3.860000,3.860000,3.860000,0
2015-02-20,5.000000,5.000000,4.500000,5.000000,5.000000,3100
2015-02-23,5.000000,5.000000,4.500000,4.500000,4.500000,1000
2015-02-24,4.500000,4.500000,4.500000,4.500000,4.500000,0
2015-02-25,4.000000,4.000000,4.000000,4.000000,4.000000,100
2015-02-26,4.500000,4.500000,4.000000,4.000000,4.000000,400
2015-02-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-03-02,3.500000,3.500000,2.500000,2.500000,2.500000,300
2015-03-03,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-03-04,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-03-05,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-03-06,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-03-09,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-03-10,2.500000,2.500000,1.550000,1.550000,1.550000,200
2015-03-11,2.250000,3.240000,2.250000,3.240000,3.240000,500
2015-03-12,3.240000,3.250000,3.240000,3.250000,3.250000,400
2015-03-13,2.120000,3.250000,2.120000,3.000000,3.000000,3000
2015-03-16,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-17,2.800000,2.800000,2.800000,2.800000,2.800000,300
2015-03-18,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-03-19,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-03-20,3.100000,3.100000,3.100000,3.100000,3.100000,100
2015-03-23,3.100000,3.100000,2.200000,2.800000,2.800000,700
2015-03-24,2.250000,2.800000,2.250000,2.300000,2.300000,7700
2015-03-25,2.800000,2.800000,2.520000,2.800000,2.800000,4400
2015-03-26,2.800000,3.000000,2.800000,3.000000,3.000000,7100
2015-03-27,3.200000,3.750000,3.000000,3.750000,3.750000,37300
2015-03-30,3.700000,4.000000,3.700000,4.000000,4.000000,4800
2015-03-31,4.000000,4.600000,4.000000,4.250000,4.250000,17800
2015-04-01,4.500000,5.190000,4.300000,5.000000,5.000000,13200
2015-04-02,4.900000,5.150000,4.900000,5.150000,5.150000,4700
2015-04-06,5.150000,5.550000,5.150000,5.450000,5.450000,15300
2015-04-07,5.550000,5.550000,5.550000,5.550000,5.550000,1000
2015-04-08,5.000000,5.100000,4.750000,5.100000,5.100000,26900
2015-04-09,5.100000,5.100000,4.850000,4.940000,4.940000,23600
2015-04-10,4.950000,4.950000,4.730000,4.850000,4.850000,18700
2015-04-13,4.850000,4.900000,4.530000,4.900000,4.900000,4600
2015-04-14,4.900000,5.000000,4.700000,4.780000,4.780000,10000
2015-04-15,4.650000,4.650000,4.600000,4.600000,4.600000,1200
2015-04-16,4.550000,4.730000,4.550000,4.640000,4.640000,3600
2015-04-17,4.900000,4.900000,4.700000,4.700000,4.700000,1400
2015-04-20,4.750000,4.750000,4.700000,4.700000,4.700000,600
2015-04-21,4.570000,4.570000,4.500000,4.550000,4.550000,9800
2015-04-22,4.100000,4.500000,3.880000,4.500000,4.500000,3000
2015-04-23,4.400000,4.550000,3.960000,4.550000,4.550000,5600
2015-04-24,4.420000,4.420000,4.400000,4.400000,4.400000,400
2015-04-27,4.600000,4.600000,4.250000,4.250000,4.250000,1800
2015-04-28,4.200000,4.200000,4.200000,4.200000,4.200000,1000
2015-04-29,4.200000,4.200000,4.100000,4.100000,4.100000,17200
2015-04-30,4.110000,4.110000,3.800000,3.900000,3.900000,27700
2015-05-01,4.100000,4.100000,3.800000,4.000000,4.000000,14800
2015-05-04,4.020000,4.020000,3.550000,3.750000,3.750000,2600
2015-05-05,3.950000,3.950000,3.900000,3.910000,3.910000,8900
2015-05-06,3.900000,3.900000,3.900000,3.900000,3.900000,1300
2015-05-07,3.890000,3.900000,3.750000,3.800000,3.800000,17600
2015-05-08,3.800000,3.940000,3.700000,3.800000,3.800000,16400
2015-05-11,3.800000,3.800000,3.500000,3.500000,3.500000,15200
2015-05-12,3.520000,3.520000,2.800000,2.900000,2.900000,10000
2015-05-13,2.850000,3.990000,2.850000,3.450000,3.450000,86200
2015-05-14,3.800000,3.800000,3.450000,3.500000,3.500000,7500
2015-05-15,3.510000,3.510000,3.350000,3.400000,3.400000,6100
2015-05-18,3.360000,3.360000,3.000000,3.000000,3.000000,4000
2015-05-19,3.000000,3.150000,2.980000,3.000000,3.000000,12300
2015-05-20,3.090000,3.120000,3.090000,3.100000,3.100000,21100
2015-05-21,3.000000,3.360000,2.860000,3.160000,3.160000,14100
2015-05-22,3.000000,3.250000,2.980000,3.130000,3.130000,16300
2015-05-26,3.000000,3.000000,3.000000,3.000000,3.000000,100
2015-05-27,2.990000,3.400000,2.950000,3.000000,3.000000,15800
2015-05-28,3.190000,3.200000,2.900000,2.900000,2.900000,19100
2015-05-29,3.050000,3.110000,3.050000,3.050000,3.050000,6700
2015-06-01,3.050000,3.150000,3.050000,3.100000,3.100000,14500
2015-06-02,3.150000,3.150000,3.000000,3.150000,3.150000,8400
2015-06-03,3.100000,3.150000,3.050000,3.100000,3.100000,25600
2015-06-04,3.090000,3.090000,3.000000,3.035000,3.035000,30900
2015-06-05,3.000000,3.050000,3.000000,3.000000,3.000000,30000
2015-06-08,3.020000,3.030000,2.910000,2.910000,2.910000,39300
2015-06-09,2.860000,2.990000,2.850000,2.890000,2.890000,29600
2015-06-10,2.890000,3.000000,2.800000,2.900000,2.900000,16800
2015-06-11,2.890000,2.910000,2.850000,2.850000,2.850000,5800
2015-06-12,2.840000,2.850000,2.750000,2.750000,2.750000,1700
2015-06-15,2.750000,2.750000,2.740000,2.740000,2.740000,1000
2015-06-16,2.750000,3.050000,2.650000,2.690000,2.690000,19800
2015-06-17,2.650000,2.650000,2.550000,2.600000,2.600000,5300
2015-06-18,2.610000,2.620000,2.500000,2.600000,2.600000,15400
2015-06-19,2.600000,2.600000,2.450000,2.450000,2.450000,700
2015-06-22,2.750000,2.900000,2.430000,2.620000,2.620000,10300
2015-06-23,2.500000,2.610000,2.340000,2.610000,2.610000,14900
2015-06-24,2.390000,2.560000,2.260000,2.260000,2.260000,25600
2015-06-25,2.270000,2.270000,1.890000,1.960000,1.960000,59600
2015-06-26,2.070000,2.070000,1.650000,1.650000,1.650000,41100
2015-06-29,1.660000,1.670000,1.600000,1.670000,1.670000,5500
2015-06-30,1.790000,2.200000,1.790000,1.900000,1.900000,34700
2015-07-01,1.900000,1.950000,1.750000,1.950000,1.950000,4300
2015-07-02,2.000000,2.000000,1.800000,2.000000,2.000000,21300
2015-07-06,1.890000,1.950000,1.740000,1.840000,1.840000,40600
2015-07-07,1.950000,1.970000,1.650000,1.650000,1.650000,16600
2015-07-08,1.830000,1.830000,1.600000,1.600000,1.600000,4700
2015-07-09,1.720000,1.720000,1.600000,1.700000,1.700000,42400
2015-07-10,1.650000,1.650000,1.620000,1.640000,1.640000,30400
2015-07-13,1.610000,1.610000,1.600000,1.600000,1.600000,12200
2015-07-14,1.600000,1.610000,1.550000,1.610000,1.610000,51200
2015-07-15,1.550000,1.590000,1.550000,1.550000,1.550000,39200
2015-07-16,1.550000,1.590000,1.070000,1.300000,1.300000,110000
2015-07-17,1.300000,1.300000,1.100000,1.100000,1.100000,25900
2015-07-20,1.110000,1.110000,0.860000,1.000000,1.000000,103800
2015-07-21,1.000000,1.090000,1.000000,1.050000,1.050000,52000
2015-07-22,1.060000,1.060000,1.050000,1.050000,1.050000,3100
2015-07-23,1.100000,1.100000,1.080000,1.090000,1.090000,8600
2015-07-24,1.090000,1.090000,1.000000,1.010000,1.010000,65000
2015-07-27,1.010000,1.040000,0.980000,1.000000,1.000000,95000
2015-07-28,1.000000,1.010000,0.860000,1.010000,1.010000,58400
2015-07-29,0.950000,1.010000,0.900000,1.000000,1.000000,31500
2015-07-30,1.000000,1.010000,1.000000,1.000000,1.000000,15600
