Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,84.750000,84.879997,84.690002,84.760002,75.747009,20600
2017-11-10,84.739998,84.739998,84.400002,84.400002,75.425278,36300
2017-11-13,84.699997,84.699997,84.325996,84.375000,75.402946,20400
2017-11-14,84.419998,84.480003,84.330002,84.385002,75.411865,58200
2017-11-15,84.769997,84.769997,84.379997,84.610001,75.612968,30100
2017-11-16,84.550003,84.629997,84.419998,84.419998,75.443161,28300
2017-11-17,84.730003,84.730003,84.580002,84.643997,75.643333,12000
2017-11-20,84.800003,84.809998,84.510002,84.550003,75.559319,34700
2017-11-21,84.730003,84.900002,84.730003,84.750000,75.738091,6200
2017-11-22,84.970001,85.087997,84.876999,85.080002,76.032967,14500
2017-11-24,85.089996,85.115997,84.970001,85.050003,76.006142,7100
2017-11-27,85.089996,85.089996,84.900002,85.010002,75.970421,25100
2017-11-28,85.139999,85.139999,85.010002,85.010002,75.970421,4600
2017-11-29,85.019997,85.019997,84.671997,84.839996,75.818512,15500
2017-11-30,84.820000,84.919998,84.690002,84.690002,75.684418,21000
2017-12-01,84.820000,84.917999,84.500000,84.750000,75.936241,11600
2017-12-04,85.019997,85.019997,84.646004,84.779999,75.963104,11400
2017-12-05,84.820000,84.980003,84.669998,84.889999,76.061676,12400
2017-12-06,85.230003,85.230003,85.029999,85.029999,76.187111,19600
2017-12-07,85.199997,85.199997,84.900002,84.910004,76.079559,14000
2017-12-08,84.900002,84.949997,84.820000,84.867996,76.041916,4200
2017-12-11,85.000000,85.029999,84.860001,84.889999,76.061676,11500
2017-12-12,84.889999,84.889999,84.699997,84.790001,75.972069,18400
2017-12-13,84.989998,85.190002,84.860001,85.169998,76.312531,12200
2017-12-14,85.139999,85.239998,85.059998,85.239998,76.375259,9200
2017-12-15,85.300003,85.355003,85.180000,85.349998,76.473816,8000
2017-12-18,85.489998,85.489998,85.070000,85.110001,76.258766,16200
2017-12-19,85.239998,85.239998,84.699997,84.800003,75.981033,13400
2017-12-20,84.570000,84.665001,84.541000,84.599998,75.801804,8200
2017-12-21,84.660004,84.760002,84.599998,84.721001,75.910240,8100
2017-12-22,84.709999,85.449997,84.680000,84.730003,75.918289,5700
2017-12-26,88.989998,88.989998,84.510002,84.510002,75.941666,10900
2017-12-27,84.790001,84.949997,84.739998,84.940002,76.328041,5800
2017-12-28,85.110001,85.150002,84.801003,84.989998,76.373001,13900
2017-12-29,84.910004,85.056999,84.862000,85.000000,76.381973,4800
2018-01-02,85.059998,85.059998,84.519997,84.629997,76.049477,27500
2018-01-03,84.680000,84.839996,84.680000,84.779999,76.184296,8400
2018-01-04,84.769997,84.800003,84.599998,84.800003,76.202263,27400
2018-01-05,84.769997,84.837997,84.599998,84.699997,76.112396,18000
2018-01-08,84.860001,84.860001,84.638000,84.709999,76.121368,11900
2018-01-09,84.680000,84.680000,84.410004,84.430000,75.869789,23400
2018-01-10,84.349998,84.538002,84.231003,84.519997,75.950638,11700
2018-01-11,84.480003,84.699997,84.480003,84.589996,76.013580,12300
2018-01-12,84.500000,84.760002,84.500000,84.739998,76.148354,19800
2018-01-16,84.879997,84.879997,84.654999,84.720001,76.130386,12900
2018-01-17,84.879997,84.879997,84.519997,84.550003,75.977600,17600
2018-01-18,85.099998,85.099998,84.269997,84.279999,75.734985,14400
2018-01-19,84.279999,84.279999,84.120003,84.129997,75.600204,15100
2018-01-22,84.180000,84.219002,84.070999,84.082001,75.557045,11900
2018-01-23,84.300003,84.389999,84.260002,84.339996,75.788887,19700
2018-01-24,84.250000,84.250000,84.115997,84.223000,75.683731,6400
2018-01-25,84.419998,84.589996,84.207001,84.580002,76.004570,14800
2018-01-26,84.639999,84.639999,84.362999,84.471001,75.906624,11900
2018-01-29,84.379997,84.379997,84.160004,84.250000,75.708015,20700
2018-01-30,84.220001,84.220001,84.019997,84.099998,75.573250,10100
2018-01-31,84.300003,84.309998,84.059998,84.269997,75.725967,9600
2018-02-01,84.110001,84.110001,83.720001,83.720001,75.421494,15200
2018-02-02,83.629997,83.629997,83.290001,83.320000,75.061142,15600
2018-02-05,83.320000,83.599998,83.070000,83.463997,75.190895,25300
2018-02-06,83.550003,83.550003,83.199997,83.375000,75.110703,5100
2018-02-07,83.269997,83.449997,83.129997,83.129997,74.889969,4200
2018-02-08,83.000000,83.028999,82.730003,82.769997,74.565643,13400
2018-02-09,82.570000,82.750000,82.529999,82.583000,74.397194,27600
2018-02-12,82.720001,82.813004,82.610001,82.650002,74.457565,5600
2018-02-13,82.750000,82.750000,82.429001,82.440002,74.268372,9100
2018-02-14,82.360001,82.500000,82.205002,82.370003,74.205322,6000
2018-02-15,82.199997,82.750000,82.050003,82.540001,74.358475,14900
2018-02-16,82.790001,82.790001,82.559998,82.638000,74.446732,8400
2018-02-20,82.589996,82.589996,82.400002,82.473000,74.298103,6700
2018-02-21,82.599998,82.599998,82.139999,82.150002,74.007133,6700
2018-02-22,82.440002,82.470001,82.246002,82.267998,74.113396,25300
2018-02-23,82.500000,82.565002,82.404999,82.529999,74.349449,4300
2018-02-26,82.680000,82.750999,82.589996,82.629997,74.439537,4100
2018-02-27,82.540001,82.599998,82.260002,82.291000,74.134140,4100
2018-02-28,82.379997,82.510002,82.379997,82.449997,74.277351,5300
2018-03-01,83.905998,83.905998,82.089996,82.349998,74.370415,9800
2018-03-02,82.180000,82.180000,82.000000,82.000000,74.054306,9100
2018-03-05,82.199997,82.250000,81.989998,82.053001,74.102165,7900
2018-03-06,81.199997,82.220001,81.199997,82.089996,74.135605,5600
2018-03-07,82.129997,82.158997,82.029999,82.029999,74.081413,2900
2018-03-08,82.029999,82.269997,82.029999,82.160004,74.198830,1600
2018-03-09,82.000000,82.099998,81.977997,82.099998,74.144623,7000
2018-03-12,82.129997,82.129997,82.014999,82.019997,74.072380,10800
2018-03-13,82.129997,82.129997,81.948997,82.120003,74.162674,5800
2018-03-14,82.150002,82.250000,82.089996,82.202003,74.236755,2900
2018-03-15,82.209999,82.330002,82.209999,82.239998,74.271065,3100
2018-03-16,82.220001,82.239998,82.089996,82.220001,74.252991,3300
2018-03-19,82.150002,82.205002,82.029999,82.057999,74.106697,6800
2018-03-20,81.870003,81.882004,81.830002,81.830002,73.900803,6500
2018-03-21,81.680000,81.767998,81.595001,81.641998,73.730988,3600
2018-03-22,82.099998,82.099998,81.855003,81.962997,74.020920,3000
2018-03-23,81.820000,81.855003,81.782997,81.815002,73.887260,1900
2018-03-26,81.830002,81.973999,81.721001,81.790001,73.864670,2700
2018-03-27,82.019997,82.089996,82.019997,82.080002,74.126572,3600
2018-03-28,82.370003,82.370003,82.300003,82.300003,74.325233,900
2018-03-29,82.324997,82.639999,82.324997,82.589996,74.587166,1000
2018-04-02,82.339996,82.389999,82.217003,82.370003,74.620682,2200
2018-04-03,82.220001,82.330002,82.080002,82.199997,74.466660,4000
2018-04-04,82.160004,82.339996,82.160004,82.250000,74.511971,4000
2018-04-05,82.139999,82.178001,82.127998,82.150002,74.421371,2800
2018-04-06,82.430000,82.610001,82.339996,82.610001,74.838089,15100
2018-04-09,82.400002,82.511002,82.250000,82.430000,74.675018,11900
2018-04-10,82.610001,82.639999,82.429001,82.429001,74.674103,5000
2018-04-11,82.820000,82.820000,82.639999,82.650002,74.874321,1700
2018-04-12,82.419998,82.629997,82.315002,82.605003,74.833557,4500
2018-04-13,82.349998,82.469002,82.349998,82.351997,74.604347,1200
2018-04-16,82.300003,82.410004,82.300003,82.360001,74.611610,2100
2018-04-17,82.408997,82.519997,82.349998,82.510002,74.747475,2900
2018-04-18,82.311996,82.311996,82.247002,82.247002,74.509239,2500
2018-04-19,81.949997,81.949997,81.775002,81.794998,74.099777,1900
2018-04-20,81.760002,81.760002,81.625000,81.625000,73.945747,4500
2018-04-23,81.559998,81.629997,81.449997,81.470001,73.805321,3600
2018-04-24,81.510002,81.510002,81.379997,81.379997,73.723808,1600
2018-04-25,81.238998,81.238998,81.128998,81.184998,73.547173,3600
2018-04-26,81.379997,81.379997,81.239998,81.330002,73.678505,1400
2018-04-27,81.475998,81.475998,81.424004,81.424004,73.763664,500
2018-04-30,81.599998,81.599998,81.489998,81.489998,73.823486,2000
2018-05-01,81.169998,81.250000,80.882004,81.014999,73.594543,8700
2018-05-02,81.029999,81.098999,81.000000,81.010002,73.590004,11100
2018-05-03,81.089996,81.175003,81.089996,81.089996,73.662659,4800
2018-05-04,81.220001,81.220001,80.950996,81.040001,73.617264,4800
2018-05-07,81.050003,81.110001,81.021004,81.055000,73.630882,5300
2018-05-08,81.000000,81.000000,80.889999,80.934998,73.521866,2000
2018-05-09,80.949997,80.949997,80.860001,80.940002,73.526405,2000
2018-05-10,81.070000,81.180000,81.040001,81.180000,73.744431,4400
2018-05-11,81.389999,81.389999,81.199997,81.330002,73.880669,2000
2018-05-14,81.220001,81.349998,81.220001,81.230003,73.789864,8100
2018-05-15,80.860001,80.959999,80.699997,80.699997,73.308388,6800
2018-05-16,80.839996,80.839996,80.654999,80.680000,73.290215,2600
2018-05-17,80.570000,80.660004,80.570000,80.599998,73.217552,2200
2018-05-18,80.739998,80.739998,80.739998,80.739998,73.344719,1100
2018-05-21,80.669998,80.800003,80.669998,80.796997,73.396523,6700
2018-05-22,80.809998,80.860001,80.709999,80.727997,73.333817,2400
2018-05-23,80.750000,81.139999,80.750000,81.139999,73.708107,5400
2018-05-24,81.275002,81.320000,81.260002,81.260002,73.817078,1700
2018-05-25,81.462997,81.462997,81.462997,81.462997,74.001503,1300
2018-05-29,81.709999,82.040001,81.480003,82.040001,74.525658,3000
2018-05-30,81.750000,81.750000,81.459999,81.635002,74.157730,2400
2018-05-31,81.626999,81.752998,81.550003,81.752998,74.264946,1600
2018-06-01,81.279999,81.330002,81.059998,81.238998,74.017128,5900
2018-06-04,81.209999,81.209999,80.970001,80.970001,73.772034,3200
2018-06-05,81.010002,81.160004,80.989998,81.121002,73.909630,6400
2018-06-06,81.000000,81.000000,80.778000,80.894997,73.703705,5500
2018-06-07,80.860001,81.120003,80.839996,81.010002,73.808487,2300
2018-06-08,80.984001,81.023003,80.980003,80.980003,73.781136,2800
2018-06-11,80.919998,80.980003,80.769997,80.970001,73.772034,2900
2018-06-12,80.779999,81.059998,80.779999,81.000000,73.799362,1300
2018-06-13,81.010002,81.121002,80.750000,80.910004,73.717377,10100
2018-06-14,81.019997,81.150002,81.019997,81.148003,73.934212,1700
2018-06-15,81.320000,81.349998,81.153999,81.153999,73.939682,9300
2018-06-18,81.160004,81.160004,80.932999,80.999001,73.798447,2800
2018-06-19,80.510002,81.199997,80.510002,81.129997,73.917809,4700
2018-06-20,81.139999,81.139999,80.768997,80.768997,73.588882,3400
2018-06-21,80.843002,80.849998,80.699997,80.699997,73.526039,2100
2018-06-22,80.669998,80.779999,80.650002,80.650002,73.480484,3200
2018-06-25,80.699997,80.769997,80.660004,80.669998,73.498688,1800
2018-06-26,80.769997,80.849998,80.674004,80.739998,73.562492,4600
2018-06-27,80.986000,81.120003,80.940002,81.120003,73.908684,1100
2018-06-28,81.089996,81.089996,80.973999,81.059998,73.854034,800
2018-06-29,81.059998,81.089996,80.985001,80.985001,73.785690,900
2018-07-02,80.910004,80.910004,80.650002,80.785004,73.808548,6200
2018-07-03,81.089996,81.089996,81.023003,81.023003,74.026016,600
2018-07-05,81.139999,81.164001,81.120003,81.164001,74.154800,1800
2018-07-06,81.250000,81.389999,81.209999,81.389999,74.361298,5100
2018-07-09,81.370003,81.370003,81.257004,81.370003,74.343002,6000
2018-07-10,81.349998,81.370003,81.345001,81.349998,74.324745,1500
2018-07-11,81.410004,81.410004,81.318001,81.324997,74.301903,1000
2018-07-12,81.477997,81.477997,81.459999,81.459999,74.425270,500
2018-07-13,81.629997,81.709999,81.623001,81.650002,74.598831,3900
2018-07-16,81.500000,81.570000,81.400002,81.570000,74.525742,5400
2018-07-17,81.589996,81.589996,81.459999,81.459999,74.425270,3600
2018-07-18,81.589996,81.589996,81.319000,81.370003,74.343002,14500
2018-07-19,81.459999,81.480003,81.431000,81.480003,74.443489,1800
2018-07-20,81.400002,81.400002,81.257004,81.286003,74.266281,3500
2018-07-23,81.269997,81.269997,81.000000,81.000000,74.004974,2400
2018-07-24,81.120003,81.260002,81.111000,81.217003,74.203232,9600
2018-07-25,81.379997,81.379997,81.300003,81.309998,74.288200,5200
2018-07-26,81.489998,81.489998,81.362000,81.362000,74.335701,3200
2018-07-27,81.554001,81.559998,81.500000,81.500000,74.461807,1500
2018-07-30,81.529999,81.529999,81.313004,81.400002,74.370445,3600
2018-07-31,81.669998,81.675003,81.614998,81.650002,74.598831,1400
2018-08-01,80.970001,80.980003,80.879997,80.949997,74.157272,4000
2018-08-02,80.599998,81.237000,80.599998,81.139999,74.331345,7000
2018-08-03,81.419998,81.449997,81.309998,81.399002,74.568619,4300
2018-08-06,81.400002,81.610001,81.400002,81.500000,74.661140,8000
2018-08-07,81.379997,81.489998,81.379997,81.459999,74.624489,1500
2018-08-08,80.889999,81.348000,80.889999,81.250000,74.432129,5300
2018-08-09,81.440002,81.449997,81.430000,81.440002,74.606209,1400
2018-08-10,81.570000,81.570000,81.330002,81.370003,74.542030,2800
2018-08-13,81.343002,81.433998,81.343002,81.349998,74.523720,2500
2018-08-14,81.510002,81.559998,81.510002,81.510002,74.670311,1100
2018-08-15,81.510002,81.699997,81.510002,81.599998,74.752747,2500
2018-08-16,81.750000,81.750000,81.699997,81.699997,74.844368,3200
2018-08-17,81.830002,81.889999,81.759003,81.839996,74.972603,2800
2018-08-20,81.980003,82.120003,81.980003,82.110001,75.219940,4500
2018-08-21,81.940002,81.970001,81.898003,81.919998,75.045891,5900
2018-08-22,81.989998,81.989998,81.860001,81.860001,74.990921,700
2018-08-23,81.900002,81.900002,81.849998,81.875000,75.004639,2800
2018-08-24,81.800003,81.875000,81.779999,81.875000,75.004639,2600
2018-08-27,81.830002,81.940002,81.800003,81.849998,74.981750,11800
2018-08-28,81.769997,81.790001,81.599998,81.676003,74.822372,4700
2018-08-29,81.769997,81.769997,81.595001,81.665001,74.812302,6300
2018-08-30,81.680000,81.699997,81.620003,81.620003,74.771065,3500
2018-08-31,81.610001,81.839996,81.610001,81.629997,74.780212,12300
2018-09-04,81.209999,81.228996,81.039001,81.228996,74.646042,7600
2018-09-05,81.169998,81.199997,81.110001,81.154999,74.578072,1600
2018-09-06,81.246002,81.379997,81.246002,81.330002,74.738869,5200
2018-09-07,81.230003,81.230003,81.009003,81.070000,74.499939,6900
2018-09-10,81.050003,81.130997,81.050003,81.123001,74.548637,1400
2018-09-11,81.129997,81.129997,81.010002,81.016998,74.451233,3300
2018-09-12,81.029999,81.169998,81.019997,81.169998,74.591843,5800
2018-09-13,81.308998,81.370003,81.308998,81.370003,74.775612,1600
2018-09-14,81.142998,81.230003,81.142998,81.220001,74.637802,900
2018-09-17,81.080002,81.290001,81.080002,81.150002,74.573448,3300
2018-09-18,81.089996,81.089996,80.889999,80.889999,74.334541,5300
2018-09-19,80.820000,80.820000,80.800003,80.800003,74.251823,1400
2018-09-20,80.849998,80.967003,80.849998,80.939003,74.379570,2500
2018-09-21,81.010002,81.010002,80.925003,80.959999,74.398857,4300
2018-09-24,81.029999,81.029999,80.809998,80.870003,74.316139,15300
2018-09-25,80.849998,80.849998,80.720001,80.794998,74.247231,1300
2018-09-26,80.599998,81.089996,80.599998,81.089996,74.518311,1900
2018-09-27,81.139999,81.149002,81.040001,81.040001,74.472382,1400
2018-09-28,81.290001,81.290001,81.129997,81.129997,74.555084,2000
2018-10-01,80.910004,80.910004,80.800003,80.879997,74.556000,1400
2018-10-02,80.970001,80.970001,80.879997,80.906998,74.580894,5500
2018-10-03,80.860001,80.900002,80.470001,80.580002,74.279488,3800
2018-10-04,80.389999,80.389999,80.180000,80.300003,74.021355,3600
2018-10-05,80.199997,80.199997,79.900002,80.033997,73.776146,22600
2018-10-08,80.010002,80.080002,79.919998,80.004997,73.749420,8700
2018-10-09,80.035004,80.112999,80.035004,80.112999,73.848984,900
2018-10-10,80.074997,80.074997,79.879997,79.917999,73.669228,7700
2018-10-11,80.120003,80.338997,80.080002,80.338997,74.057289,11000
2018-10-12,80.209999,80.399002,80.205002,80.339996,74.058228,5700
2018-10-15,80.330002,80.330002,80.089996,80.160004,73.892296,2400
2018-10-16,80.150002,80.199997,80.144997,80.167999,73.899689,2500
2018-10-17,80.180000,80.180000,80.044998,80.044998,73.786301,2600
2018-10-18,80.019997,80.120003,79.872002,80.050003,73.790894,4200
2018-10-19,79.908997,80.000000,79.889999,79.970001,73.717171,2100
2018-10-22,80.000000,80.010002,79.949997,79.957001,73.705185,5000
2018-10-23,80.000000,80.028999,79.825996,79.900002,73.652641,3000
2018-10-24,80.120003,80.120003,80.029999,80.040001,73.781700,253400
2018-10-25,80.004997,80.059998,79.961998,80.004997,73.749420,6900
2018-10-26,80.260002,80.260002,80.040001,80.082001,73.820396,3000
2018-10-29,80.120003,80.120003,79.930000,80.025002,73.767845,5200
