Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,10.200000,10.600000,9.850000,9.850000,9.850000,11500
2020-11-23,10.250000,10.310000,10.033000,10.033000,10.033000,7600
2020-11-24,10.046000,10.380000,10.046000,10.250000,10.250000,10000
2020-11-25,10.290000,10.700000,10.090000,10.110000,10.110000,32600
2020-11-27,10.787000,10.787000,10.000000,10.245000,10.245000,18900
2020-11-30,10.120000,10.560000,10.090000,10.340000,10.340000,59200
2020-12-01,10.200000,10.500000,10.090000,10.500000,10.500000,90800
2020-12-02,10.480000,10.480000,10.100000,10.240000,10.240000,6600
2020-12-03,10.300000,10.300000,10.240000,10.280000,10.280000,137600
2020-12-04,10.490000,10.490000,10.010000,10.290000,10.290000,949200
2020-12-07,10.686000,10.686000,10.300000,10.300000,10.300000,76600
2020-12-08,10.410000,10.450000,10.010000,10.350000,10.350000,90400
2020-12-09,10.420000,10.705000,10.330000,10.400000,10.400000,267300
2020-12-10,10.590000,10.750000,10.550000,10.590000,10.590000,212400
2020-12-11,10.750000,11.110000,10.500000,10.660000,10.660000,876100
2020-12-14,10.800000,10.800000,10.510000,10.600000,10.600000,9500
2020-12-15,10.550000,10.550000,10.350000,10.450000,10.450000,292400
2020-12-16,10.420000,10.745000,10.357000,10.510000,10.510000,40500
2020-12-17,10.640000,10.640000,10.485000,10.540000,10.540000,51800
2020-12-18,10.550000,10.600000,10.530000,10.575000,10.575000,26600
2020-12-21,10.773000,10.890000,10.410000,10.570000,10.570000,23800
2020-12-22,10.880000,10.900000,10.485000,10.780000,10.780000,486500
2020-12-23,10.690000,10.900000,10.660000,10.900000,10.900000,702200
2020-12-24,10.990000,10.990000,10.590000,10.610000,10.610000,195900
2020-12-28,10.790000,10.960000,10.645000,10.680000,10.680000,99500
2020-12-29,10.710000,10.710000,10.365000,10.400000,10.400000,106900
2020-12-30,10.350000,10.590000,9.630000,10.530000,10.530000,1902100
2020-12-31,10.610000,10.610000,10.400000,10.420000,10.420000,38000
2021-01-04,10.500000,10.790000,10.500000,10.570000,10.570000,163400
2021-01-05,10.670000,10.680000,10.450000,10.485000,10.485000,64800
2021-01-06,10.660000,10.660000,10.410000,10.450000,10.450000,25800
2021-01-07,10.420000,10.720000,10.420000,10.660000,10.660000,481900
2021-01-08,10.750000,11.380000,10.700000,11.210000,11.210000,637400
2021-01-11,11.120000,11.220000,10.910000,11.020000,11.020000,674900
2021-01-12,11.180000,11.300000,11.100000,11.200000,11.200000,664800
