Date,Open,High,Low,Close,Adj Close,Volume
2006-11-15,16.000000,16.000000,13.600000,16.000000,16.000000,5231
2006-11-16,16.639999,17.600000,16.000000,16.000000,16.000000,2569
2006-11-17,16.000000,20.000000,16.000000,18.400000,18.400000,5606
2006-11-20,22.400000,22.400000,17.280001,18.400000,18.400000,4088
2006-11-21,18.400000,19.200001,16.000000,16.000000,16.000000,4900
2006-11-22,16.000000,16.000000,16.000000,16.000000,16.000000,300
2006-11-24,16.000000,16.000000,15.200000,15.200000,15.200000,1625
2006-11-27,15.200000,16.000000,13.600000,13.600000,13.600000,4863
2006-11-28,13.600000,16.160000,8.160000,10.400000,10.400000,1581
2006-11-29,13.600000,16.160000,13.600000,16.160000,16.160000,31
2006-11-30,16.160000,16.160000,16.160000,16.160000,16.160000,0
2006-12-01,14.400000,14.400000,8.320000,8.320000,8.320000,144
2006-12-04,9.600000,12.000000,8.320000,12.000000,12.000000,256
2006-12-05,12.000000,12.000000,6.400000,6.400000,6.400000,2819
2006-12-06,9.600000,9.600000,9.600000,9.600000,9.600000,313
2006-12-07,9.600000,9.600000,6.400000,9.600000,9.600000,606
2006-12-08,9.600000,12.000000,6.400000,12.000000,12.000000,944
2006-12-11,12.000000,12.000000,12.000000,12.000000,12.000000,31
2006-12-12,8.800000,10.400000,8.000000,8.000000,8.000000,2938
2006-12-13,7.520000,9.600000,7.200000,9.600000,9.600000,2313
2006-12-14,9.600000,9.600000,9.600000,9.600000,9.600000,0
2006-12-15,7.680000,8.000000,7.200000,7.200000,7.200000,2969
2006-12-18,7.040000,7.040000,6.400000,6.400000,6.400000,338
2006-12-19,7.040000,7.040000,6.880000,6.880000,6.880000,538
2006-12-20,6.880000,6.880000,6.880000,6.880000,6.880000,0
2006-12-21,6.400000,6.720000,6.400000,6.400000,6.400000,388
2006-12-22,6.400000,6.400000,6.400000,6.400000,6.400000,0
2006-12-26,6.400000,6.400000,6.400000,6.400000,6.400000,0
2006-12-27,6.400000,6.400000,5.600000,6.400000,6.400000,4969
2006-12-28,5.280000,5.280000,5.280000,5.280000,5.280000,63
2006-12-29,5.280000,6.400000,5.280000,6.400000,6.400000,1456
2007-01-03,5.600000,6.400000,5.600000,5.600000,5.600000,3813
2007-01-04,5.760000,5.760000,5.760000,5.760000,5.760000,625
2007-01-05,5.760000,5.760000,5.760000,5.760000,5.760000,656
2007-01-08,5.760000,6.080000,5.440000,5.440000,5.440000,3456
2007-01-09,5.440000,5.440000,3.680000,4.000000,4.000000,4019
2007-01-10,4.320000,4.320000,4.320000,4.320000,4.320000,63
2007-01-11,4.000000,4.000000,4.000000,4.000000,4.000000,594
2007-01-12,3.680000,3.680000,3.680000,3.680000,3.680000,31
2007-01-16,3.680000,3.680000,3.680000,3.680000,3.680000,0
2007-01-17,3.840000,4.800000,3.840000,4.800000,4.800000,3813
2007-01-18,3.680000,4.640000,3.680000,4.320000,4.320000,2144
2007-01-19,4.320000,4.320000,4.320000,4.320000,4.320000,0
2007-01-22,4.640000,4.640000,4.640000,4.640000,4.640000,63
2007-01-23,4.000000,4.640000,4.000000,4.640000,4.640000,438
2007-01-24,4.480000,4.480000,4.480000,4.480000,4.480000,63
