Date,Open,High,Low,Close,Adj Close,Volume
1993-08-25,12.750000,15.250000,12.000000,15.000000,12.411139,1186400
1993-08-26,15.250000,15.250000,13.750000,14.500000,11.997433,428000
1993-08-27,14.500000,15.250000,14.000000,14.250000,11.790583,203300
1993-08-30,14.500000,15.000000,13.750000,14.000000,11.583727,63100
1993-08-31,14.250000,14.250000,13.750000,14.000000,11.583727,134600
1993-09-01,14.250000,15.750000,13.750000,15.250000,12.617987,173800
1993-09-02,15.250000,15.750000,15.000000,15.000000,12.411139,258600
1993-09-03,15.500000,15.500000,15.000000,15.000000,12.411139,65800
1993-09-07,15.500000,15.500000,15.000000,15.000000,12.411139,102300
1993-09-08,14.750000,15.750000,14.750000,15.625000,12.928267,82300
1993-09-09,16.000000,16.000000,15.500000,15.500000,12.824843,19800
1993-09-10,16.000000,17.750000,15.500000,16.500000,13.652247,112300
1993-09-13,16.750000,16.750000,16.250000,16.250000,13.445401,131900
1993-09-14,15.750000,16.500000,15.750000,16.500000,13.652247,50400
1993-09-15,16.500000,17.000000,16.000000,16.875000,13.962526,121200
1993-09-16,17.000000,17.000000,16.500000,17.000000,14.065950,43900
1993-09-17,17.000000,17.000000,16.500000,16.750000,13.859105,18400
1993-09-20,17.000000,17.000000,16.500000,16.500000,13.652247,23900
1993-09-21,16.500000,17.000000,16.250000,16.250000,13.445401,104600
1993-09-22,16.750000,16.750000,16.250000,16.750000,13.859105,19600
1993-09-23,16.750000,16.750000,16.250000,16.750000,13.859105,9400
1993-09-24,16.750000,16.750000,15.000000,15.000000,12.411139,98900
1993-09-27,15.750000,15.750000,15.000000,15.250000,12.617987,73100
1993-09-28,16.000000,16.250000,15.500000,16.250000,13.445401,23900
1993-09-29,16.250000,16.500000,15.750000,16.500000,13.652247,15700
1993-09-30,16.500000,17.250000,16.250000,17.250000,14.272808,44200
1993-10-01,17.000000,17.750000,16.500000,17.250000,14.272808,21400
1993-10-04,17.500000,18.500000,17.250000,18.500000,15.307071,53600
1993-10-05,18.500000,19.500000,18.000000,18.750000,15.513920,58000
1993-10-06,19.250000,19.250000,18.750000,18.750000,15.513920,30700
1993-10-07,19.250000,20.250000,18.750000,19.250000,15.927627,52600
1993-10-08,19.750000,19.750000,18.125000,19.000000,15.720770,85800
1993-10-11,18.500000,19.000000,18.500000,18.500000,15.307071,3300
