Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,0.070000,0.070000,0.040000,0.040000,0.040000,120000
2009-12-15,0.030000,0.030000,0.020000,0.020000,0.020000,135000
2009-12-16,0.025000,0.043000,0.020000,0.030000,0.030000,842400
2009-12-17,0.030000,0.030000,0.025000,0.028000,0.028000,362700
2009-12-18,0.026000,0.026000,0.021000,0.024000,0.024000,214000
2009-12-21,0.024000,0.028000,0.024000,0.025000,0.025000,352000
2009-12-22,0.024000,0.024000,0.024000,0.024000,0.024000,26000
2009-12-23,0.024000,0.030000,0.024000,0.030000,0.030000,30800
2009-12-24,0.026000,0.040000,0.026000,0.040000,0.040000,257000
2009-12-28,0.050000,0.050000,0.020000,0.040000,0.040000,327500
2009-12-29,0.030000,0.050000,0.030000,0.050000,0.050000,5100
2009-12-30,0.050000,0.050000,0.040000,0.040000,0.040000,14800
2009-12-31,0.090000,0.090000,0.040000,0.040000,0.040000,52300
2010-01-04,0.055000,0.075000,0.050000,0.070000,0.070000,730400
2010-01-05,0.070000,0.080000,0.057000,0.060000,0.060000,370200
2010-01-06,0.060000,0.060000,0.040000,0.050000,0.050000,240000
2010-01-07,0.050000,0.050000,0.040000,0.045000,0.045000,193000
2010-01-08,0.045000,0.045000,0.035000,0.045000,0.045000,145500
2010-01-11,0.045000,0.045000,0.035000,0.040000,0.040000,276800
2010-01-12,0.039000,0.039000,0.035000,0.038000,0.038000,160000
2010-01-13,0.035000,0.055000,0.035000,0.040000,0.040000,372500
2010-01-14,0.041000,0.070000,0.041000,0.055000,0.055000,167600
2010-01-15,0.050000,0.062000,0.043000,0.061000,0.061000,298400
2010-01-19,0.050000,0.060000,0.050000,0.055000,0.055000,95000
2010-01-20,0.045000,0.045000,0.045000,0.045000,0.045000,70000
2010-01-21,0.045000,0.045000,0.040000,0.040000,0.040000,40000
2010-01-22,0.040000,0.060000,0.040000,0.050000,0.050000,235000
2010-01-25,0.058000,0.058000,0.050000,0.050000,0.050000,75000
2010-01-26,0.050000,0.057000,0.045000,0.057000,0.057000,88300
2010-01-27,0.057000,0.057000,0.042000,0.050000,0.050000,105000
2010-01-28,0.050000,0.050000,0.050000,0.050000,0.050000,2000
2010-01-29,0.049000,0.050000,0.049000,0.050000,0.050000,56700
2010-02-01,0.045000,0.050000,0.040000,0.040000,0.040000,32000
2010-02-02,0.040000,0.048000,0.040000,0.048000,0.048000,11500
2010-02-03,0.048000,0.050000,0.048000,0.050000,0.050000,26000
2010-02-04,0.040000,0.045000,0.040000,0.040000,0.040000,156000
2010-02-05,0.043000,0.058000,0.040000,0.058000,0.058000,771400
2010-02-08,0.058000,0.060000,0.058000,0.058000,0.058000,71900
2010-02-09,0.055000,0.055000,0.040000,0.050000,0.050000,124600
2010-02-10,0.040000,0.046000,0.040000,0.045000,0.045000,231000
2010-02-11,0.047000,0.050000,0.045000,0.045000,0.045000,322000
2010-02-12,0.045000,0.050000,0.038000,0.045000,0.045000,227300
2010-02-16,0.045000,0.045000,0.045000,0.045000,0.045000,0
2010-02-17,0.040000,0.040000,0.030000,0.040000,0.040000,83300
2010-02-18,0.031000,0.035000,0.030000,0.034000,0.034000,141000
2010-02-19,0.030000,0.034000,0.030000,0.034000,0.034000,15100
2010-02-22,0.031000,0.040000,0.026000,0.040000,0.040000,207400
2010-02-23,0.040000,0.040000,0.030000,0.038000,0.038000,176900
2010-02-24,0.038000,0.038000,0.038000,0.038000,0.038000,3500
2010-02-25,0.038000,0.038000,0.038000,0.038000,0.038000,0
2010-02-26,0.030000,0.033000,0.025000,0.033000,0.033000,293900
2010-03-01,0.033000,0.033000,0.033000,0.033000,0.033000,10000
2010-03-02,0.033000,0.033000,0.033000,0.033000,0.033000,0
2010-03-03,0.038000,0.040000,0.033000,0.033000,0.033000,98900
2010-03-04,0.033000,0.040000,0.033000,0.040000,0.040000,109600
2010-03-05,0.040000,0.040000,0.040000,0.040000,0.040000,0
2010-03-08,0.035000,0.040000,0.034000,0.040000,0.040000,212400
2010-03-09,0.030000,0.035000,0.030000,0.035000,0.035000,27200
2010-03-10,0.040000,0.040000,0.030000,0.034000,0.034000,721900
2010-03-11,0.034000,0.045000,0.034000,0.035000,0.035000,126600
2010-03-12,0.035000,0.035000,0.030000,0.033000,0.033000,287100
2010-03-15,0.039000,0.039000,0.039000,0.039000,0.039000,100
2010-03-16,0.030000,0.034000,0.030000,0.034000,0.034000,123400
2010-03-17,0.034000,0.040000,0.034000,0.040000,0.040000,37100
2010-03-18,0.035000,0.035000,0.035000,0.035000,0.035000,53000
2010-03-19,0.035000,0.035000,0.035000,0.035000,0.035000,20000
2010-03-22,0.035000,0.040000,0.035000,0.040000,0.040000,1109000
